asset_name,2022-12-01,2022-12-02,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-27,2023-02-28
LIBERTY MEDIA CORP 3RD NEW,0.033804,-0.027937,-0.003756,-0.026389,-0.006902,0.016613,0.028348,-0.008756,0.012269,-0.023109,-0.039868,0.000517,0.005683,0.00839,0.015113,-0.001673,0.003519,-0.01102,-0.014351,0.012847,0.010993,-0.004517,0.030415,0.013862,0.048416,-0.021632,0.012232,0.011154,0.01716,0.009339,-0.014326,-0.008781,0.009775,0.060203,0.006135,-0.01021,0.004011,0.001284,0.000428,-0.006695,0.015345,0.001836,0.010856,0.001674,-0.011417,0.011831,0.005707,0.00609,-0.016921,0.003638,-0.008366,0.003796,-0.020031,0.000715,-0.013998,0.011155,0.006733,-0.018073,0.005217,-0.021482
ARES MANAGEMENT CORP,-0.004975,-0.026026,-0.046729,-0.002347,-0.016194,-0.012943,-0.014253,0.028051,0.032771,-0.01321,-0.03947,-0.012321,-0.023041,0.012769,0.02032,-0.022096,0.006244,-0.011228,-0.009114,0.035434,-0.003349,-0.001315,0.015362,-0.027954,0.024755,0.038768,0.008634,0.022504,0.036322,0.009381,0.007745,-0.001281,-0.026164,0.035559,0.012845,-0.013561,-0.002037,0.035842,0.02081,-0.020748,0.022296,0.020123,-0.000354,0.004726,-0.004822,0.014536,-0.003611,-0.025251,0.023507,-0.004453,-0.012123,-0.003336,-0.001793,-0.004671,-0.031164,0.00385,0.014104,-0.021959,-0.000249,0.005989
BURLINGTON STORES INC,-0.005468,0.028776,0.00025,-0.003046,-0.00576,0.002066,-0.020059,0.003232,0.005727,-0.002542,-0.024112,-0.029461,0.009903,0.006928,0.020641,0.001089,0.037762,0.022761,-0.008638,0.013292,-0.014915,0.016769,0.04904,0.020669,0.014361,-0.011612,-0.003163,0.019854,-0.009956,0.011223,0.01869,-0.012943,-0.015718,-0.004889,0.019519,-0.00703,-0.00521,0.007072,0.006178,0.013164,0.002049,0.018797,-0.014264,-0.002383,0.001042,-0.012148,-0.019719,-0.0056,0.006803,0.018839,0.010146,-0.005174,-0.008304,0.004584,-0.02584,0.004864,-0.003809,0.009043,-0.032012,-0.013173
POOL CORP,0.026472,-0.022772,-0.031232,-0.006623,0.009717,0.025383,0.005407,0.000332,0.013137,-0.001967,-0.044115,-0.021935,-0.01559,-0.014182,0.02604,-0.021176,0.001705,0.001342,-0.031143,0.035213,-0.014955,-0.004961,0.011967,-0.004697,0.040627,0.007929,0.022812,0.054605,0.01161,0.006632,0.013979,0.016047,-0.041346,0.023087,0.018541,0.013861,-0.002086,0.002503,0.041108,-0.00767,0.024251,0.032494,0.060356,-0.044058,-0.02857,-0.000536,-0.017099,-0.02124,-0.020454,0.015193,0.00128,0.024618,0.01334,-0.033667,-0.050534,0.000392,0.008052,-0.011815,-0.000617,0.002162
INTERPUBLIC GROUP COS INC,0.00291,-0.022345,-0.01959,-0.010596,-0.017748,0.001558,-0.002488,0.024634,0.018868,-0.000896,-0.024813,-0.004905,-0.008934,0.009636,0.012931,-0.002736,0.018592,0.005386,-0.020238,0.020049,-0.008041,0.01441,0.026931,0.015274,0.013341,-0.004202,0.003938,0.008126,-0.00139,0.000835,-0.010567,0.000843,-0.008705,0.026912,0.007172,-0.000822,-0.00466,-0.009088,-0.005281,0.004471,0.014186,0.016731,0.045859,0.00877,0.005625,-0.009408,-0.020277,-0.027509,0.000269,0.011042,0.001066,-0.002661,-0.007471,0.004301,-0.020878,-0.00164,0.00356,-0.012006,-0.00718,-0.002782
NETAPP INC,0.006804,-0.024093,-0.026645,-0.024436,-0.001585,0.014925,0.005789,0.015555,-0.00582,-0.008011,-0.046746,-0.01727,-0.018733,0.004731,0.009753,-0.017985,0.001187,0.000169,-0.014733,0.032829,-0.000499,0.012155,0.018753,-0.001615,0.037828,0.002357,0.006426,0.003738,-0.006206,0.009524,0.001701,0.002933,-0.006927,0.014881,0.023522,-0.002238,-0.007329,-0.008739,-0.0038,-0.000458,0.010991,0.013287,0.028908,-0.02071,-0.022774,0.020278,-0.014981,-0.006324,0.005304,0.020802,0.0,0.014619,-0.011061,-0.007947,-0.021659,-0.001819,0.005924,-0.012685,-0.00933,-0.003397
ASPEN TECHNOLOGY INC NEW,0.039002,0.002088,-0.042252,-0.042027,0.026659,-0.007609,-0.032495,-0.009767,0.010189,-0.025193,-0.025419,-0.025016,-0.005669,0.017103,0.004474,0.001517,-0.01173,-0.003066,-0.005556,0.02569,-0.00107,0.004187,-0.001164,-0.029172,0.00565,0.002685,0.001934,0.019993,-0.013731,-0.012495,0.019528,-0.046223,-0.007326,0.014347,0.01333,-0.004619,-0.020076,-0.023061,0.005058,0.026003,0.015533,0.040604,-0.012958,-0.016704,0.030539,0.023204,-0.011055,-0.007118,-0.006544,0.02412,0.016221,0.008191,-0.015925,0.003565,-0.009488,0.020055,0.009715,-0.016631,0.003634,-0.01583
TEXAS PACIFIC LAND CORP,-0.013207,0.016538,-0.024075,-0.025717,-0.012909,-0.010313,-0.013508,0.057368,0.022479,0.007333,0.021342,-0.049252,-0.016734,0.019916,0.030042,-0.05385,0.019903,-0.011387,-0.05577,-0.00456,0.00552,-0.10307,-0.02164,-0.017938,0.023562,-0.001746,0.014151,-0.012573,0.013197,0.006742,2.8e-05,-0.020749,0.012568,0.001789,-0.015507,0.004108,0.006723,0.00368,-0.021725,-0.028745,0.004055,-0.022637,-0.008607,0.03902,-0.047264,0.039251,-0.045685,-0.011603,0.025147,-0.012564,0.01524,-0.015893,-0.012324,-0.042555,0.00292,-0.006189,-0.010957,-0.001447,0.007279,0.00036
VIATRIS INC,0.019039,-0.006228,-0.022381,0.000916,-0.002745,0.005505,-0.016423,0.033395,0.017953,-0.001764,-0.015901,-0.016158,-0.004562,-0.015582,0.010242,-0.009217,0.024186,0.002725,-0.01087,0.019231,0.0,0.022462,0.032513,0.00766,0.02196,-0.007438,-0.014155,-0.005912,-0.009346,-0.010292,0.025997,-0.03125,0.004359,0.006944,0.018966,-0.018613,0.003448,0.0,0.021478,0.004205,0.018426,0.008224,-0.00571,-0.00082,-0.010673,0.004979,-0.01569,-0.016779,0.010239,0.011824,-0.01419,0.003387,-0.016878,0.003433,-0.016253,-0.00087,0.004352,-0.0026,-0.026933,0.017857
EVERGY INC,-0.005573,-0.006454,-0.005812,0.00533,0.020523,0.039048,0.00629,0.012021,0.001742,-0.003162,-0.003965,-0.014172,-0.003554,0.005187,0.016288,-0.006506,0.01166,0.00221,-0.003938,0.004586,-0.009288,0.0,0.015255,-0.014087,0.028417,-0.007718,-0.001556,0.003584,-0.007608,-0.016114,-0.005088,-0.032763,-0.020985,0.006582,0.008384,0.02012,0.009454,-0.008558,0.005537,-0.00081,0.015562,0.003831,0.005565,-0.025301,0.007787,-0.002254,-0.021943,-0.007588,0.015126,0.004585,-0.01141,0.011542,-0.005542,0.017866,-0.01562,-0.003272,-0.00279,-0.00214,-0.007257,-0.022927
HUBBELL INC,-0.006809,-0.00971,-0.014487,-0.003411,0.005542,0.016776,-0.003268,0.019992,0.002705,-0.027093,-0.031022,-0.035083,0.017621,-0.003505,0.015215,-0.020038,0.004175,0.005133,-0.010256,0.003582,-0.002804,-0.00081,-0.022133,-0.021239,0.019784,0.010967,0.014565,0.008647,-0.009165,0.007715,-0.02724,-0.00874,-0.019389,0.005278,-0.0004,0.021368,-0.006276,0.012675,0.000606,-0.004934,-0.004263,0.041239,-0.006084,0.018278,0.004021,0.010116,-0.022808,0.006483,0.009143,0.01046,0.000245,0.022777,-0.003028,0.007233,-0.013211,-0.005387,0.011359,0.01303,-0.002012,-0.001152
SNAP INC,0.054316,-0.034039,-0.038095,-0.067327,-0.012739,0.010753,0.005319,0.001058,-0.005285,0.013815,-0.081761,-0.033105,-0.033058,0.002442,0.052375,0.00463,-0.011521,-0.002331,-0.001168,0.030409,0.015891,-0.011173,0.050847,-0.017204,0.008753,-0.002169,0.023913,0.025478,-0.00207,0.016598,-0.013265,-0.026887,0.022317,0.038462,0.021021,0.005882,-0.057505,0.053775,0.070658,0.016499,0.042381,-0.102941,0.099325,-0.035088,0.097273,0.011599,-0.053235,-0.050173,-0.030055,0.005634,0.013072,0.037788,-0.047069,-0.034483,-0.053089,0.009174,0.020202,-0.028713,0.007136,0.027328
TYLER TECHNOLOGIES INC,0.027689,-0.028419,-0.054672,-0.02918,-0.016684,0.031118,0.014571,0.006593,0.029827,-0.000896,-0.035235,-0.007806,-0.000781,-0.0025,0.032482,-0.023633,-0.005313,0.00228,-0.018513,0.033533,-0.009402,-0.009553,0.004228,-0.044156,0.014322,0.025988,-0.018559,0.016035,-0.00481,0.000632,0.00745,-0.043839,0.000688,0.034912,0.028165,-0.018159,-0.002665,0.008581,0.020537,-0.030904,0.017079,0.042414,0.026244,-0.036839,-0.015245,0.026809,-0.030302,0.002883,-0.01373,0.010479,0.000828,0.020172,0.018992,0.0133,-0.030093,0.003991,0.014974,-0.036955,-0.007369,-0.010442
FIRST HORIZON CORP,-0.006036,-0.00081,-0.007699,0.000408,0.004082,-0.002033,-0.002851,0.000817,-0.003673,0.00041,0.006143,-0.00041,0.00041,0.002866,0.00245,-0.003259,0.000409,0.0,-0.000409,0.000817,0.000408,-0.001633,0.001635,-0.000816,0.002859,-0.002851,0.002859,0.005295,-0.001216,0.0,-0.005679,0.002448,0.001221,0.002439,-0.001217,-0.001624,-0.001627,0.002851,0.002031,-0.001216,0.003653,0.000809,-0.001212,-0.001214,0.0,0.002025,-0.002425,-0.000405,0.002432,0.0,-0.001213,0.007287,-0.002412,0.000806,0.000403,0.000402,-0.000402,0.0,-0.004024,0.000808
LEIDOS HOLDINGS INC,0.002653,0.007936,-0.007602,-0.001459,-0.009042,0.005346,-0.020444,0.008704,-0.011505,0.005819,-0.014232,-0.004654,-0.003245,-0.000287,0.013503,-0.009922,0.003722,0.007036,-0.016807,0.008643,0.001523,-0.004563,-0.003247,-0.003449,0.009038,-0.044021,-0.003488,-0.003501,-0.009234,-0.003647,-0.005186,-0.023508,-0.010153,0.015756,0.003227,0.00965,0.008736,-0.00377,-0.013193,0.008498,0.015723,-0.010219,0.001022,0.001327,0.002855,0.006711,-0.000404,-0.010206,0.029301,-0.001091,-0.054215,0.028242,0.015213,0.018204,-0.012149,0.0013,-0.005692,-0.002913,-0.01803,-0.004308
SNAP ON INC,0.006401,0.011646,-0.021555,-0.010764,-0.003669,-0.008763,-0.001367,0.007869,0.002249,-0.01359,-0.011459,-0.020015,-0.007044,0.002409,0.020341,-0.017318,0.010965,0.008606,-0.014105,0.016559,-0.007471,0.003895,0.012817,-0.009771,0.031993,0.012594,0.016722,0.010269,0.005305,0.002296,-0.013786,-0.018298,-0.026568,0.016717,0.001762,0.008919,-0.001411,0.009351,0.006506,-0.007936,0.025648,0.006593,0.030355,0.006551,-0.008627,-0.011965,-0.012346,-0.007723,0.008305,0.015199,-0.011562,0.006384,-0.005358,-0.000673,-0.024853,-0.000569,0.008025,0.002274,0.000324,0.007413
CARLISLE COMPANIES,-0.003839,-0.009042,-0.015439,-0.014352,-0.004325,0.003427,-0.013859,0.014739,0.006151,-0.016644,-0.01853,-0.023335,-0.00703,-0.004045,0.011678,-0.008824,0.003755,0.001345,-0.009949,0.007166,-0.007915,-0.005771,0.01686,-0.035049,0.029318,0.004268,0.005092,0.03094,-0.017503,-0.010334,-0.005262,-0.00487,-0.013037,0.008464,0.01861,0.000125,0.001748,0.010052,0.021838,-0.015294,0.025299,0.018736,0.006769,-0.026468,-0.014971,0.016009,0.002234,0.009712,0.007726,0.006689,-0.001243,0.014629,-0.000729,0.024399,-0.024268,-0.010627,-0.00109,0.003195,0.005864,-0.003089
STANLEY BLACK & DECKER INC,0.007342,-0.004616,-0.040517,-0.01132,-0.006175,0.013204,0.012265,0.013126,0.031394,-0.018239,-0.039493,-0.022544,-0.019919,-0.002139,-0.018223,0.000273,0.008869,0.006357,-0.029969,0.051676,-0.010407,0.014244,0.031631,0.000509,0.0309,0.013445,0.02276,0.021302,0.005244,0.030602,-0.002362,-0.010147,-0.050114,0.029137,0.030759,-0.009495,-0.020883,-0.016084,0.020611,-0.016133,0.053557,0.020714,0.051887,-0.021587,-0.017587,-0.019095,-0.0292,-0.034408,0.012743,0.039963,-0.00112,0.03118,-0.018925,-0.011308,-0.061,0.012419,0.024298,-0.023491,-0.002476,0.012058
PARAMOUNT GLOBAL,0.004482,0.010412,-0.042689,-0.069708,-0.007713,0.004997,0.050829,0.034175,0.0,-0.003559,-0.08781,-0.019819,-0.02253,-0.002364,0.0,0.003555,-0.016529,-0.008403,-0.024818,0.040968,0.006559,0.011256,0.083773,0.008649,0.019829,0.027325,0.017391,0.00553,0.0115,-0.008403,0.028913,-0.030039,-0.022478,0.037302,0.042365,-0.015596,0.052809,0.021888,0.029451,-0.019939,0.024326,0.053541,0.034836,-0.025743,-0.021951,-0.02951,-0.039829,-0.0281,-0.009179,0.033349,0.006275,0.093096,-0.04238,0.008085,-0.032081,0.016136,0.006009,-0.048635,-0.009417,-0.030331
COREBRIDGE FINANCIAL INC,-0.001799,-0.006306,-0.038078,-0.02639,-0.027106,-0.004478,-0.008496,0.027218,0.001472,-0.00343,-0.021141,-0.041159,0.028617,0.014941,0.04264,-0.021909,0.00896,-0.015294,-0.006513,0.019163,-0.007422,0.003988,0.026812,-0.034333,0.006009,0.017422,-0.004403,0.026536,0.010053,-0.009953,0.016754,-0.041902,-0.006388,0.025717,0.021697,0.00991,0.004673,0.011163,-0.00736,-0.008804,0.017298,-0.007353,-0.005093,-0.007911,0.017824,0.013825,-0.006818,-0.020137,-0.002335,0.013577,-0.002771,-0.00139,-0.039889,0.005797,-0.024976,-0.002956,0.003953,0.000492,-0.009838,0.004471
