permno,mkt_cap,asset_name,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-24,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-19,2018-11-20,2018-11-21,2018-11-23,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30
10107,851215924.91,MICROSOFT CORP,-0.005519,-0.028825,0.002304,-0.004874,0.010812,0.017005,0.004225,0.010742,0.004074,-0.01085,0.009542,-0.013338,0.016741,0.006076,0.003588,-0.001919,-0.004107,0.003773,-0.00035,0.010842,-0.003979,0.000174,-0.020665,-0.005852,-0.011415,0.01272,-0.054338,-0.002355,0.034558,-0.017979,0.031599,-0.002613,-0.019962,0.001475,0.008927,-0.013956,-0.053469,0.058444,-0.012373,-0.029076,-0.001155,0.029692,-0.008333,0.002266,0.012717,0.001953,0.039361,-0.001876,-0.019508,-0.024642,0.000655,-0.01412,0.022006,0.009415,-0.033891,-0.027815,0.013765,-0.000388,0.032987,0.006293,0.037148,-0.008369,0.006353
14593,847433174.84,APPLE INC,0.003207,-0.006525,-0.016617,-0.008068,-0.013421,0.025283,-0.012419,0.024155,-0.011351,-0.026626,0.001652,0.000596,0.007602,-0.010771,0.01438,0.006341,-0.007966,0.020552,0.003512,0.006733,0.008889,0.012169,-0.017581,-0.016229,-0.002318,0.013854,-0.046326,-0.008828,0.035719,-0.021386,0.022037,-0.004321,-0.023374,0.01523,0.00611,0.009427,-0.034302,0.021898,-0.015924,-0.01877,0.004994,0.026067,0.015352,-0.066331,-0.028388,0.010814,0.030328,-0.003477,-0.019282,-0.050374,-0.009991,-0.028247,0.024679,0.011076,-0.039632,-0.047778,-0.00113,-0.025399,0.013524,-0.002176,0.038453,-0.007682,-0.005402
84788,826440754.28876,AMAZON COM INC,0.013315,-0.021912,-0.018302,-0.003186,-0.00669,0.024827,0.001434,-6.5e-05,-0.00989,-0.03155,0.017306,-0.007537,0.009281,-0.015065,0.010104,0.020777,0.000152,0.019308,-0.004958,0.000679,-0.016489,-0.00941,-0.022194,-0.010354,-0.013352,0.003164,-0.061524,-0.020447,0.040277,-0.015465,0.03351,0.006467,-0.033307,-0.003778,0.014325,-0.011513,-0.059083,0.070887,-0.078197,-0.063264,-0.005497,0.044164,0.042253,0.0,-0.022653,0.009221,0.06859,-0.00033,-0.024206,-0.044136,-0.00347,-0.019716,0.012777,-0.016073,-0.05091,-0.011129,0.014223,-0.009672,0.052774,5.7e-05,0.060914,-0.002491,0.009919
22111,393982541.38022,JOHNSON & JOHNSON,-0.007202,0.016004,0.007434,0.003288,-0.000801,0.009474,0.006137,0.003803,-0.002859,0.003369,0.004144,-0.000569,0.010822,0.006339,-0.016867,-0.013028,-0.003462,0.000434,-0.000362,0.011001,0.005655,-0.010322,0.002302,-0.001794,0.002085,-0.001363,-0.01056,-0.028244,0.000224,0.000598,0.019485,0.021236,0.000287,-0.003226,-0.002661,0.001803,-0.010509,0.007274,-0.010833,0.004235,0.023264,-0.0054,0.005929,-0.000994,0.010805,0.002602,0.015291,0.0038,0.000275,0.001927,-0.006455,-0.002972,0.001733,0.010312,0.011919,-0.008664,-0.030454,0.00169,0.000281,0.013086,0.022483,-0.004029,0.007199
14542,382629161.93074995,ALPHABET INC,-0.017395,-0.008789,-0.012676,-0.005643,-0.000163,0.010922,-0.01235,0.010758,-0.002382,-0.014055,0.004472,0.0085,0.013475,-0.017508,0.006243,0.009613,-0.003512,0.011987,-0.000979,0.001542,0.004016,0.002366,-0.028896,-0.009279,-0.007241,-0.008834,-0.050579,-0.001757,0.028499,-0.016062,0.026578,-0.004985,-0.024846,0.007804,0.004287,0.002297,-0.048003,0.042695,-0.021998,-0.047962,0.015812,0.039143,-0.006287,-0.011411,-0.016733,0.015114,0.035594,-0.010051,-0.015013,-0.025813,-0.002484,0.007345,0.020169,-0.003024,-0.039087,0.005647,0.011552,-0.013232,0.024163,-0.004015,0.040042,0.001906,0.005633
47896,369752449.09,JPMORGAN CHASE & CO,0.004975,-0.004863,-0.004276,0.001928,-0.005336,0.006332,-0.011798,0.003891,-0.000176,0.002996,0.004041,0.029046,0.008587,-0.006575,-0.009588,-0.002827,-0.011771,-0.004347,-0.01467,0.005849,0.004141,0.009388,0.008953,-0.005639,0.006107,-0.006937,-0.026633,-0.029963,-0.010913,-0.005704,0.021441,0.01114,-0.015843,-0.001665,-0.014364,-0.010436,-0.018622,0.0152,-0.013733,0.013827,0.017644,0.021743,-0.000367,-0.005506,0.006551,0.004675,0.017153,0.008073,-0.009699,-0.021026,0.005874,-0.020622,0.025529,-0.000727,0.007637,-0.021474,-0.007469,-0.009197,0.024473,0.00421,0.011119,-0.007932,0.010267
13407,337810744.26000005,FACEBOOK INC,-0.026006,-0.023253,-0.027814,0.003138,0.006992,0.01072,-0.023744,-0.003951,0.005949,-0.01072,-0.001744,0.017218,0.018153,-0.018612,0.015221,-0.003023,0.01237,0.011321,-0.025942,-0.012283,-0.019146,0.019456,-0.02204,-0.009569,-0.000508,0.004134,-0.041292,0.013014,0.002543,-0.001431,0.034263,0.004031,-0.028227,-0.005616,0.004739,-0.00252,-0.054084,0.033621,-0.036966,-0.022563,0.029066,0.038093,-0.000263,-0.009226,-0.011108,0.008475,0.010604,-0.024154,-0.019679,-0.023524,0.004309,0.014491,-0.002565,-0.030031,-0.057192,0.006689,0.018047,-0.02292,0.0353,-0.010119,0.013037,0.014039,0.013917
11850,336587656.5,EXXON MOBIL CORP,0.001497,0.013327,-0.011062,0.017027,-0.001466,0.014074,0.003258,-0.009744,0.007289,0.005909,0.002638,0.011957,0.002245,0.004126,0.01679,-0.001155,-0.008324,-0.000117,-0.008744,0.009292,0.007575,-0.003585,-0.006616,-0.002804,0.009257,0.004412,-0.023003,-0.034548,-0.002696,-0.006881,0.004702,0.003695,0.004294,0.001466,-0.010004,-0.016143,-0.027806,0.008889,-0.00996,-0.006191,0.022453,0.011424,0.012425,0.015867,-0.003783,0.004287,0.012685,-0.015898,-0.000245,-0.01286,-0.022924,-0.007821,0.010337,0.009848,0.003293,-0.028402,0.007665,-0.026689,0.019738,0.000909,0.01817,0.007776,0.005565
90319,331753176.12942,ALPHABET INC,-0.016634,-0.01008,-0.012601,-0.005405,-0.002148,0.012706,-0.015454,0.008996,-0.003519,-0.015408,0.006277,0.006135,0.014733,-0.016323,0.006348,0.012149,0.000142,0.011138,-0.000232,0.001201,-0.000736,0.003221,-0.028443,-0.00785,-0.010198,-0.0093,-0.04629,-0.0013,0.027321,-0.016153,0.027793,-0.004845,-0.026322,0.006622,0.005601,0.003185,-0.051834,0.043959,-0.017978,-0.045232,0.014284,0.039133,-0.004218,-0.013343,-0.014709,0.013109,0.036155,-0.012281,-0.016088,-0.025682,-0.001325,0.006307,0.015618,-0.002596,-0.038239,0.002949,0.012597,-0.012775,0.025085,-0.003466,0.037547,0.002555,0.013768
83443,297415957.94793004,BERKSHIRE HATHAWAY INC DEL,0.006372,0.010521,0.002921,0.005449,0.004999,-4.6e-05,-0.002371,0.001398,0.006887,-0.00037,0.009293,0.012139,0.003304,-0.005233,-0.010838,-0.000367,-0.008897,0.00273,-0.011952,0.003129,0.002375,0.005156,0.011876,0.002238,0.011847,0.007656,-0.04764,-0.037119,0.007846,-0.008559,0.023411,0.003288,-0.008645,0.005414,-0.017347,-0.010621,-0.020539,0.01086,-0.017279,0.007809,0.016547,0.009491,0.002825,0.003449,0.046812,0.010498,0.012494,0.005334,-0.012544,-0.019169,0.011605,-0.008673,0.006249,0.004738,-0.002152,-0.033174,0.000712,-0.017974,0.017192,0.009021,0.023385,0.00092,0.002481
