permno,mkt_cap,asset_name,2020-10-01,2020-10-02,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-23,2020-11-24,2020-11-25,2020-11-27,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-28,2020-12-29,2020-12-30,2020-12-31
14593,2232278767.47,APPLE INC,0.008462,-0.03228,0.030791,-0.02867,0.016967,-0.000956,0.017396,0.063521,-0.026527,0.000743,-0.003961,-0.014001,-0.025542,0.013192,-0.005446,-0.009583,-0.006134,8.7e-05,0.013472,-0.046312,0.03705,-0.056018,-0.000827,0.015354,0.040837,0.035494,-0.001134,-0.019968,-0.003009,0.030353,-0.002343,0.000419,0.00872,-0.007564,-0.011391,0.005168,-0.010958,-0.029743,0.011594,0.007467,0.004826,0.0211,0.030827,0.002934,-0.001137,-0.005613,0.01227,0.005091,-0.020904,0.011989,-0.006735,-0.005147,0.05009,-0.000547,0.006963,-0.01589,0.012435,0.028465,-0.006976,0.007712,0.035766,-0.013315,-0.008527,-0.007703
10107,1678381320.0,MICROSOFT CORP,0.010127,-0.029512,0.020321,-0.021247,0.019037,0.003574,0.024836,0.025902,0.006594,-0.008974,-0.005433,0.0,-0.024766,0.002007,0.000699,0.000419,0.006236,-0.028442,0.01509,-0.049566,0.010065,-0.010991,-0.000691,0.020264,0.048249,0.031887,0.001926,-0.023824,-0.033793,0.026255,-0.005126,0.004967,0.003325,-0.012751,-0.013149,0.006348,-0.009557,-0.001331,0.017848,4.7e-05,0.006359,-0.00539,0.009997,-0.003885,-0.005247,0.00056,-0.000327,0.008027,-0.01949,-0.006043,0.013015,0.004408,-0.000327,0.024051,0.000638,-0.003783,0.018299,0.006065,-0.013039,0.007827,0.009921,-0.003601,-0.011019,0.003338
84788,1638235754.79,AMAZON COM INC,0.023035,-0.029883,0.023744,-0.03102,0.030881,-0.001608,0.03012,0.04755,0.000203,-0.023208,-0.00745,-0.019751,-0.020014,0.003056,-0.009969,-0.002681,0.008815,0.000824,0.024724,-0.037595,0.015249,-0.054456,-0.010431,0.014622,0.06323,0.024942,-0.0032,-0.050623,-0.034583,0.03373,-0.008641,0.005958,0.000719,0.001469,-0.009631,0.003722,-0.005653,-0.000326,0.006349,0.021491,0.003224,-0.008544,0.016427,-0.00514,-0.005244,-0.007578,-0.001448,0.006108,-0.023004,-0.000873,0.004814,0.013012,0.002582,0.023961,-0.001506,-0.01064,0.001415,0.000106,-0.006627,-0.003949,0.035071,0.011584,-0.010882,-0.008801
93436,677340152.98292,TESLA INC,0.044638,-0.073791,0.025513,-0.027485,0.027344,0.001458,0.018971,0.019124,0.009835,0.0328,-0.026924,-0.020518,-0.020106,-0.020635,0.001659,0.007453,-0.012119,-0.000832,0.010469,-0.043939,0.011847,-0.055473,0.032136,0.058401,-0.006888,0.040643,-0.018581,-0.020212,-0.025875,0.016498,-0.012874,-0.007917,-0.001004,0.082139,0.101968,0.025953,-0.019348,0.065848,0.064252,0.033527,0.020488,-0.031003,0.030233,-0.027259,0.043177,0.009539,0.071314,0.012653,-0.069859,0.037371,-0.027238,0.048919,-0.010284,-0.01655,0.053198,0.059613,-0.06495,-0.014649,0.008808,0.024444,0.002901,0.003465,0.043229,0.015674
13407,657222960.0000001,FACEBOOK INC,0.01806,-0.025091,0.01812,-0.022634,-0.002088,0.02185,0.002616,0.04273,0.001414,-0.015644,-0.018762,-0.002962,-0.017035,0.023565,0.041748,-0.002189,0.023983,-0.026967,0.022302,-0.055138,0.049165,-0.063099,-0.006651,0.015075,0.083227,0.025402,-0.00431,-0.049896,-0.022743,0.014866,-0.005064,0.006798,0.007258,-0.014196,-0.011018,0.003567,-0.011871,-0.004709,0.031628,-0.004803,0.008055,-0.003024,0.034589,0.003385,-0.01972,-0.007628,0.021022,-0.007634,-0.019337,-0.002879,-0.012883,0.00234,0.00496,0.000436,-0.004317,0.006995,-0.013061,-0.020895,0.003819,-0.002648,0.035901,-0.000794,-0.01774,0.004745
14542,575753610.12,ALPHABET INC,0.013943,-0.021254,0.018925,-0.021924,0.004713,0.017558,0.019712,0.035592,0.001612,-0.002291,-0.005708,0.008902,-0.024412,0.013893,0.024024,0.01382,0.015892,-0.030804,0.008683,-0.05463,0.033377,0.034309,0.003097,0.014871,0.059944,0.008141,-0.000919,0.00071,-0.012825,0.007079,-0.001637,0.015533,0.002454,-0.006304,-0.013202,0.009812,-0.012319,-0.004207,0.01961,0.001442,0.012284,-0.018096,0.021218,0.016601,-0.000645,0.000668,-0.004655,-0.000511,-0.018927,-0.004932,0.003628,-0.012185,0.004381,-0.002698,-0.008565,-0.009663,0.00483,-0.009124,0.005152,0.003735,0.021416,-0.00978,-0.010917,0.007105
90319,527071430.2073,ALPHABET INC,0.015216,-0.021709,0.018707,-0.021452,0.005596,0.016647,0.018215,0.035844,0.001585,-0.002316,-0.005098,0.007863,-0.02408,0.013811,0.022507,0.013033,0.016382,-0.029817,0.009209,-0.055089,0.0305,0.038044,0.00508,0.013138,0.060881,0.009537,-0.001572,0.00096,-0.013455,0.005473,-0.002524,0.016892,0.000999,-0.006973,-0.011932,0.010301,-0.012618,-0.00508,0.021035,0.00013,0.012975,-0.018254,0.023347,0.016493,-0.001715,0.001054,-0.00369,-0.003137,-0.018478,-0.005743,0.004045,-0.0127,0.005033,-0.002209,-0.009492,-0.00821,0.004831,-0.008267,0.004656,0.003431,0.022951,-0.009132,-0.012237,0.00944
22111,414309617.34,JOHNSON & JOHNSON,-0.010478,-0.007331,0.013608,-0.01329,0.011076,0.00683,0.01397,0.005763,-0.022919,-0.001752,-0.006145,0.006183,-0.025523,0.001594,-0.004289,0.00799,0.001103,-0.008744,-0.005696,-0.033461,-0.008456,-0.000583,0.011524,-0.00137,0.006498,0.002583,0.017816,0.026924,0.01506,-0.003237,0.003383,0.010789,0.006338,-0.009944,-0.013258,-0.001561,-0.005301,-0.010112,0.0,-0.001321,0.002227,0.004722,0.019146,0.00468,0.005805,0.008524,-0.008651,0.017319,0.010228,-0.005552,0.004598,-0.025368,0.010062,-0.005977,0.026391,0.005794,-0.009643,-0.001961,-0.005107,0.003488,0.004722,0.006201,0.012391,0.008523
55976,407841548.60714,WALMART INC,0.022657,-0.018032,0.009253,-0.008251,0.001849,0.003336,0.010045,0.010296,0.013726,-0.01566,0.004099,0.001245,-0.012162,0.006646,0.003475,-0.005886,0.00209,-0.011748,0.004994,-0.019808,-0.000857,-0.008362,0.011892,0.016952,-0.005743,0.010637,0.016031,-0.015298,0.014073,0.016625,0.001689,0.015584,0.012621,-0.020139,-0.001875,0.020323,-0.012359,0.004593,0.002849,0.003105,-0.001515,0.00785,-0.000982,-0.013889,-0.008105,-0.002612,-0.005372,0.009047,-0.007896,-0.004654,-0.000272,-0.009184,-0.000481,-0.00103,0.004607,-0.001027,0.000137,-0.012126,-0.006796,0.001955,0.011986,-0.006335,-0.000832,-0.000208
47896,387335155.21,JPMORGAN CHASE & CO,0.007271,0.009487,0.020942,-0.010299,0.017446,0.020556,-0.005699,0.012253,-0.016205,-0.005557,0.014967,-0.002064,-0.016846,0.005711,-0.009963,0.035323,0.00904,-0.024757,-0.018866,-0.028088,0.006526,0.008953,0.022542,0.031521,-0.030558,0.040898,-0.013321,0.135392,-0.003251,-0.014933,-0.012284,0.006263,0.028226,-0.010145,-0.007407,0.00269,-0.008567,0.028803,0.046237,-0.010461,-0.006638,-0.027553,0.015779,0.019208,-0.006555,0.009073,-0.00376,0.000985,-0.007787,-0.006444,-0.005903,-0.010539,0.017075,0.002909,-0.008287,-0.00493,0.037538,-0.015217,0.027945,-0.004398,0.006585,-0.002633,0.0028,0.013641
