permno,mkt_cap,asset_name,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26
26201,672725.76,COMTECH TELECOMMUNICATIONS CORP,-0.039874,0.017486,-0.003222,0.021013,0.027441,0.019004,0.006552,-0.149725,-0.010601,0.044048,0.023945,0.050111,0.103393,-0.007208,-0.029284,0.005734,0.017353,0.00731,0.027576,-0.043315,0.012795,0.005345,-0.0203,0.0148,0.053962,0.018911,-0.007696,-0.005931,0.02157,-0.03549,0.040056,-0.012091,0.026745,0.00133,0.009743,0.046491,0.001257,-0.022604,0.004283,-0.049893,-0.04219,0.041237,0.004951,0.016122,0.028647,0.012853,0.034264,0.049489,0.033515,0.04902,0.010065,0.002135,0.003551,-0.009554,0.018935,0.028401,-0.00716,-0.003434,-0.050655,-0.024319
79129,672717.5,BROOKFIELD PROPERTY REIT INC,-0.002553,0.002559,0.00702,0.012674,-0.013767,-0.008249,-0.005118,0.020579,0.006931,-0.014393,0.015873,-0.018125,0.007638,-0.024637,-0.02785,-0.006662,0.020791,-0.002628,0.008564,-0.013063,-0.008604,-0.00267,0.18407,-0.030526,0.006997,-0.015634,0.001765,-0.01468,0.007747,0.00887,0.005862,0.002914,0.004649,0.008676,-0.022363,0.01173,-0.011594,0.007038,-0.008154,0.01057,0.008135,0.006916,0.0,0.001145,0.017153,0.004497,0.007275,0.003333,0.003322,0.029249,-0.010724,0.007046,0.001615,-0.009135,0.005965,-0.012399,0.0,0.01583,-0.041779,0.0
89050,672465.0,BLACKROCK MUN INCOME TR,0.005391,0.002011,0.002676,-0.002668,0.0,0.0,0.00602,0.00133,0.001992,-0.007374,-0.001341,-0.004027,-0.003369,0.009466,0.004689,0.002,0.013972,0.003937,-0.000654,0.0,0.005232,0.006506,-0.002586,0.000648,-0.01101,0.000655,-0.00589,-0.002633,-0.00132,-0.000661,0.000562,-0.003981,0.003331,0.003984,-0.007275,0.00533,0.001988,0.005952,-0.00526,0.001322,0.0033,-0.005263,0.001984,0.00396,-0.00263,0.005274,0.001312,-0.001965,0.007874,0.002604,-0.002695,-0.004575,0.006566,-0.007828,-0.004602,-0.011889,-0.010695,0.011487,-0.009352,0.011463
12684,670691.82,ARCOS DORADOS HOLDINGS INC,-0.008114,0.00818,0.05071,0.040541,-0.001866,-0.007477,-0.043315,0.066929,-0.012915,-0.009346,0.013208,-0.014898,-0.00189,-0.011364,-0.047893,-0.034205,0.016667,0.02459,-0.024,-0.006148,0.045361,-0.00789,-0.031809,0.028748,-0.021956,0.030612,0.009901,-0.023529,0.006024,0.007984,0.049505,-0.018868,0.025,0.018762,0.031308,-0.017857,-0.025455,-0.027985,-0.026871,0.013807,-0.038911,0.002024,0.022222,0.011858,0.041016,0.031895,-0.021818,-0.024164,0.009524,0.001887,0.011299,0.0,-0.001862,0.020522,-0.018282,0.03352,-0.009009,0.007273,-0.041516,-0.007533
19658,669330.0,BROADSTONE NET LEASE INC,0.035735,0.003834,0.001091,-0.000545,0.013631,-0.002152,0.005391,0.007507,0.011176,-0.02,0.029001,0.024008,0.007645,-0.013657,-0.012308,0.0135,-0.000512,0.009739,-0.005076,0.00102,0.002039,0.008758,-0.016343,0.0,0.002596,-0.027447,0.002662,-0.003186,-0.000533,0.001599,-0.018627,0.007592,-0.026372,0.010503,0.006564,-0.013044,0.032489,-0.011733,-0.019968,0.012115,-0.019042,0.012757,0.004929,-0.002725,0.002732,-0.001635,-0.00655,0.002198,0.00932,0.008148,0.020474,-0.017423,0.004836,0.001604,0.016017,-0.015239,0.021878,-0.013577,-0.020646,-0.022162
15089,668912.12,XENON PHARMACEUTICALS INC,-0.014298,-0.014505,-0.002597,-0.028646,-0.017873,0.039127,0.02627,0.017918,0.021794,-0.007383,-0.009091,-0.020017,0.072341,0.046825,0.081122,0.051893,0.012667,0.005267,-0.05632,0.0,0.113116,-0.041147,-0.041613,-0.052917,-0.022206,0.118681,0.001965,-0.021569,0.02004,0.000655,0.018325,0.032134,-0.005604,-0.002505,0.036409,-0.032707,0.0,-0.052599,-0.037674,0.019918,-0.03367,0.083624,0.046945,0.054054,-0.066434,0.007491,0.024783,-0.018743,-0.013555,-0.058713,-0.001327,-0.016611,0.012838,-0.03469,0.032481,0.069612,0.01189,0.136054,-0.013609,0.030905
12629,668784.27,MAGNACHIP SEMICONDUCTOR CORP,0.007123,0.003536,0.011276,0.0,0.010453,-0.010345,-0.029268,-0.010768,-0.039187,-0.027946,0.03885,-0.024682,-0.010736,0.02093,-0.024298,0.017899,-0.001529,0.001531,0.002294,-0.014493,0.041022,0.005205,-0.005917,0.018601,0.054785,0.022161,0.084011,0.08125,0.064162,-0.023357,0.024472,-0.013029,-0.00165,-0.001653,0.006622,-0.01864,0.011732,0.023192,-0.04857,-0.01021,-0.026361,0.037669,0.016449,0.0,0.018415,0.00274,0.064481,-0.00924,0.000518,-0.018643,0.028496,0.018984,0.014099,-0.017378,0.014654,-0.045817,-0.026618,0.020375,-0.049396,0.033168
17213,668453.76,INVESCO QUALITY MUNI INCOME TR,0.001572,-0.00314,0.009449,0.00234,0.0,0.003891,-0.002326,0.003108,-0.001549,-0.006051,-0.000784,-0.003137,-0.007868,0.004758,0.003946,-0.003931,0.006314,0.007059,-0.007009,0.011765,0.003101,0.007728,-0.000767,-0.00614,-0.005405,-0.001553,0.000778,-0.000777,0.005443,0.00464,-0.001386,-0.002322,0.000776,-0.00155,0.002329,-0.001549,0.001552,0.000775,0.0,0.000774,-0.003867,0.000776,0.002327,0.003096,0.003086,0.006154,0.001529,0.006107,0.000759,-0.001365,-0.001524,-0.00916,-0.001541,-0.007716,-0.009331,-0.011774,-0.004766,0.011173,-0.005525,0.003175
18423,667888.38,ONESPAWORLD HOLDINGS LTD,-0.031674,0.043224,0.06495,0.029443,-0.071502,-0.020902,-0.033708,0.00814,0.011534,-0.050171,0.009604,0.008323,0.049528,0.055056,-0.067093,0.037671,0.019802,-0.02589,0.074197,-0.036082,0.066845,0.016541,-0.046351,-0.006205,0.034339,0.007042,-0.031968,-0.03612,0.006424,-0.06383,-0.004545,-0.033105,-0.001181,0.033097,0.059497,0.010799,0.014957,-0.051579,0.029967,0.05819,-0.033605,0.029505,0.008188,-0.022335,0.012461,0.040513,-0.014293,-0.062,0.007463,-0.033862,-0.031763,0.070136,-0.040169,0.026432,0.07618,0.083749,0.01196,0.037273,-0.014899,-0.029359
14812,667651.9199999999,EL POLLO LOCO HOLDINGS INC,0.011487,0.013249,0.036115,0.051082,-0.005146,0.004598,0.044623,-0.005476,-0.018723,0.026936,-0.011475,-0.021559,0.013559,0.007246,-0.007194,0.009476,0.0,0.016013,-0.001087,-0.011425,0.002201,-0.006041,0.006077,0.021142,0.032536,-0.000521,0.003648,-0.000519,0.046234,-0.071996,0.025682,0.022431,0.010714,0.014639,-0.012438,-0.015113,0.009207,-0.008616,0.092536,-0.058961,0.011934,0.014742,-0.015981,-0.01624,0.009005,0.01884,-0.046229,0.062755,0.005761,-0.055847,-0.005056,-0.033028,-0.017867,0.00428,0.004262,0.012202,-0.035115,0.036937,-0.02462,-0.015575
