permno,mkt_cap,asset_name,2014-02-03,2014-02-04,2014-02-05,2014-02-06,2014-02-07,2014-02-10,2014-02-11,2014-02-12,2014-02-13,2014-02-14,2014-02-18,2014-02-19,2014-02-20,2014-02-21,2014-02-24,2014-02-25,2014-02-26,2014-02-27,2014-02-28,2014-03-03,2014-03-04,2014-03-05,2014-03-06,2014-03-07,2014-03-10,2014-03-11,2014-03-12,2014-03-13,2014-03-14,2014-03-17,2014-03-18,2014-03-19,2014-03-20,2014-03-21,2014-03-24,2014-03-25,2014-03-26,2014-03-27,2014-03-28,2014-03-31,2014-04-01,2014-04-02,2014-04-03,2014-04-04,2014-04-07,2014-04-08,2014-04-09,2014-04-10,2014-04-11,2014-04-14,2014-04-15,2014-04-16,2014-04-17,2014-04-21,2014-04-22,2014-04-23,2014-04-24,2014-04-25,2014-04-28,2014-04-29,2014-04-30
14593,508292340.13143,APPLE INC,0.001858,0.014476,0.007469,0.005794,0.01399,0.017915,0.013176,-7.5e-05,0.015879,-0.000808,0.003677,-0.015788,-0.011575,-0.011108,0.004379,-0.010407,-0.009022,0.019948,-0.00271,0.002888,0.006594,0.002108,-0.003024,-0.000584,0.000905,0.009738,0.00097,-0.011107,-0.011232,0.003907,0.008847,-0.000263,-0.004819,0.007887,0.01186,0.010757,-0.00956,-0.004298,-0.001116,-0.000224,0.009148,0.001662,-0.00693,-0.012936,-0.015701,-5.7e-05,0.013144,-0.012898,-0.007393,0.003984,-0.007131,0.002027,0.011426,0.011868,0.000996,-0.013069,0.081982,0.007344,0.038728,-0.002963,-0.003782
11850,441421100.12,EXXON MOBIL CORP,-0.022895,-0.000333,-0.004888,0.009489,0.008686,-0.011702,0.014745,0.002642,0.003843,0.029312,-0.000425,-0.001276,0.015115,-0.003565,0.014838,-0.001348,-0.005399,0.000522,0.004487,-0.007998,0.010681,-0.028181,-0.000426,0.013119,0.005369,-0.015602,0.002127,-0.00605,-0.001815,0.009094,0.004135,-0.010347,0.009069,-0.002855,0.003499,0.002853,-0.002213,0.016262,0.01517,-0.000205,0.000512,0.002251,-0.000204,-0.00582,-0.005957,0.006923,-0.001231,-0.005651,-0.00062,0.011787,0.008379,0.012769,0.004803,0.005079,-0.005548,0.001295,-0.004876,0.004,0.007569,0.002768,0.009463
10107,333720644.8,MICROSOFT CORP,-0.035941,-0.003564,-0.01458,0.01005,0.010503,0.006564,0.01019,0.007935,0.003736,0.000266,0.002127,0.002405,0.006398,0.006093,-0.007636,-0.00398,-0.001865,0.010408,0.011886,-0.013835,0.016676,-0.00781,0.00105,-0.006553,-0.002111,0.005288,0.006575,-0.009929,-0.005014,0.009284,0.039422,-0.00708,0.026993,-0.004215,0.008466,-0.003951,-0.013634,-0.010807,0.023882,0.017122,0.01049,-0.00169,-0.008223,-0.027798,-0.001756,0.000503,0.016324,-0.027428,-0.003836,-0.00074,0.014548,0.016352,-0.009654,-0.00175,0.001252,-0.007502,0.004283,0.001254,0.024054,-0.008808,-0.002715
22111,286480937.96000004,JOHNSON & JOHNSON,-0.019103,-0.001844,0.007619,0.016842,0.014535,0.011439,0.020863,-0.005916,0.001515,0.002161,-0.006361,-0.00575,0.008075,-0.002165,-0.00448,0.0,0.0,0.002744,0.008319,-0.006079,0.019441,-0.008035,0.00324,0.004629,0.001393,0.000428,0.001177,-0.00641,-0.002043,0.012068,0.000106,-0.003726,0.005663,0.019231,-0.00761,0.022899,-0.003389,0.00237,0.001645,0.008108,-0.002952,0.002961,0.000305,0.001628,-0.005385,0.001737,0.009076,-0.024356,0.003418,0.002787,0.021207,-0.004536,0.002127,0.010509,0.0018,0.000399,-0.002594,-0.001701,0.015533,-0.003059,0.002574
12060,269572276.89,GENERAL ELECTRIC CO,-0.031039,0.009035,-0.002035,0.017537,0.009619,-0.005558,0.01517,-0.001573,0.001969,0.011792,-0.003497,-0.009747,-0.002362,-0.007166,0.014034,-0.000791,0.001187,0.007905,-0.001177,-0.013742,0.021099,0.010916,0.011184,-0.003433,-0.003444,-0.005376,-0.005405,-0.016304,-0.009077,0.012744,0.008651,-0.014425,-0.000396,0.005144,0.000394,0.011413,-0.003113,0.007416,0.002712,0.000386,-0.000772,0.006571,0.007296,-0.008006,-0.006533,-0.003868,0.007767,-0.014258,-0.005864,0.011011,0.004279,0.011619,0.016845,0.00113,-0.000376,-0.00602,0.001514,0.005291,0.006767,-0.000747,0.004858
38703,261389348.0,WELLS FARGO & CO NEW,-0.020071,0.007652,-0.005361,0.012435,0.013176,0.003306,0.009886,0.000435,-0.000217,0.003262,0.0,-0.013007,0.002196,-0.000658,0.010526,0.0,-0.000651,0.0,0.008035,-0.005816,0.012784,0.007488,0.005309,0.012886,0.004171,-0.007061,0.006484,-0.005819,-0.009197,0.015401,0.00561,-0.01219,0.025518,0.001836,-0.00285,-0.000408,-0.009395,0.012371,0.00387,0.00913,0.000603,-0.000201,0.001407,-0.005418,-0.01816,0.003494,0.005529,-0.02831,0.007755,0.000624,0.013926,0.006355,-0.003259,0.003883,0.002239,0.007313,-0.005445,-0.005474,-0.002243,0.01083,0.003436
55976,257235249.68999997,WAL MART STORES INC,-0.027049,0.000963,0.001925,-0.000686,0.012771,0.000136,0.0141,0.002139,0.005336,0.005706,-0.006069,-0.006372,-0.017769,-0.005441,0.003145,0.0,0.019496,-0.002942,0.001878,-0.007764,0.013627,-0.004392,0.001069,0.002404,-0.002011,0.006583,0.008142,-0.007944,-0.008675,0.005385,0.001205,-0.005216,0.013445,0.009552,0.008673,0.001433,-0.008326,-0.001181,-0.001707,0.005526,0.004448,0.005341,0.003628,-0.001937,0.0,0.011253,-0.002686,-0.013852,-0.005072,0.011503,-0.006462,0.004423,0.005698,-0.000773,-0.000515,0.006189,0.00346,0.003959,0.0145,-0.001128,0.000502
14541,238947779.76,CHEVRON CORP NEW,-0.004389,-0.002789,-0.01182,0.015979,0.00701,-0.003213,0.016922,-0.004842,0.004285,0.008621,-0.006785,0.007896,0.008803,-0.016754,0.013046,0.007184,0.004697,0.001558,-0.003112,-0.004249,0.00418,-0.007718,0.00367,0.002003,0.006604,-0.011481,0.009955,-0.010376,-0.003058,0.008501,0.010168,-0.008947,0.002691,0.001039,0.001903,0.010704,0.005295,-0.00034,0.007054,0.00346,0.000757,0.002941,-0.002597,-0.002016,-0.01229,0.00392,0.011036,-0.020235,0.002914,0.01427,0.013479,0.012718,0.015185,0.004528,-0.001932,0.005565,-0.003128,-0.002494,0.014033,0.001909,-0.003572
18163,223376998.0,PROCTER & GAMBLE CO,-0.012007,0.005152,0.004731,0.005886,0.005332,0.009313,0.010381,-0.017123,0.004001,0.020566,-0.01801,0.00218,-0.002815,0.000642,-0.001411,0.003339,-0.003328,0.004238,0.006011,-0.015001,0.012519,-0.008031,0.003084,0.004099,0.001914,0.005348,0.003673,-0.000631,-0.002652,0.010889,-0.000877,-0.012411,-0.005839,-0.005618,0.018233,0.006431,-0.003884,0.001887,0.001381,0.010532,-0.003226,-0.002614,-0.000374,-0.00412,0.009026,0.010685,0.001721,-0.004909,-0.004069,0.000619,0.000371,0.01002,0.001347,-0.002446,-0.003801,-0.003033,0.009831,0.003204,0.018794,-0.006028,0.001334
47896,211889450.16,JPMORGAN CHASE & CO,-0.018967,0.011784,0.004732,0.023003,0.002479,0.002119,0.012161,0.001567,0.008866,0.002068,0.005847,-0.021029,0.005589,0.000521,0.00729,-0.017233,-0.00491,-0.001057,0.002293,-0.010736,0.01868,0.015718,0.012724,0.008489,-0.003367,-0.017061,-0.00464,-0.008633,-0.010798,0.013732,0.008336,0.004134,0.031046,0.000998,0.014958,-0.002292,-0.016905,0.000334,0.002003,0.011159,-0.000659,0.003132,0.002976,-0.014013,-0.013543,-0.002542,0.007137,-0.031551,-0.036585,-0.006148,-0.002911,0.008394,-0.000724,-0.003441,0.014174,0.0043,0.002498,-0.00872,-0.00377,0.010993,-0.002139
21936,199657894.0,PFIZER INC,0.006579,0.027451,-0.016858,0.006199,0.012322,0.008008,0.013028,-0.008469,0.002847,0.007571,-0.001879,-0.012547,0.002224,-0.002853,0.016847,-0.003126,0.003136,0.007502,-0.003723,-0.004049,0.022201,0.001835,-0.008855,-0.000924,-0.001233,0.000926,-0.013572,-0.026892,0.003535,0.006084,0.016232,-0.00689,0.006307,0.008461,-0.021442,0.01048,0.011314,-0.002486,-0.006854,0.007528,-0.005293,0.010642,0.003407,-0.007407,-0.029851,-0.010577,0.011662,-0.019853,-0.024502,0.000335,0.00067,0.006691,0.005317,0.020165,0.004537,-0.002581,-0.006792,0.001303,0.041951,-0.008739,-0.015113
12490,198863594.01,INTERNATIONAL BUSINESS MACHS COR,-0.021395,-0.000347,0.0081,0.00792,0.014771,-0.000621,0.014452,0.003005,0.008877,0.010174,-0.002722,-0.00131,0.00716,-0.007978,0.003611,-0.001199,0.00453,0.006574,-0.00054,-0.004914,0.011831,0.003755,0.002672,0.000213,-0.006873,0.001985,-0.002891,-0.012458,-0.00919,0.019757,0.005382,-0.011241,0.01727,-0.006546,0.008464,0.036069,-0.012408,-0.014484,0.003266,0.010712,0.010442,-0.004884,-0.004443,-0.004775,0.01434,-0.006323,0.017332,-0.004882,-0.002504,0.013218,-0.003792,-0.003147,-0.032536,0.011894,-0.000624,-0.002186,-0.007876,-0.003102,0.01851,0.0102,0.00697
65875,193515892.76999998,VERIZON COMMUNICATIONS INC,-0.033528,0.008834,-0.002777,-0.000214,0.002785,0.002136,0.006395,0.003389,-0.001267,-0.01691,-0.011395,0.011962,0.034172,-0.017664,-0.022001,0.001298,0.001296,0.024811,0.001684,-0.005675,0.012471,-0.010856,0.001688,-0.006532,-0.002545,-0.007017,-0.007281,-0.007118,0.001086,0.004991,0.008421,-0.007281,0.018335,-0.006355,0.002132,0.004467,-0.004447,0.014465,-0.005662,0.003163,0.003784,0.001466,0.006274,-0.001662,0.001665,0.012885,-0.004771,-0.010629,-0.008426,0.004249,-0.007404,0.003836,0.010616,0.007983,-0.001251,-0.010225,-0.024246,-0.007347,0.014367,0.003648,-0.000855
66093,185461500.0,A T & T INC,-0.041116,0.01565,-0.011402,-0.002494,0.009375,0.004334,0.015721,-0.000304,0.016697,-0.010152,-0.009955,0.000914,0.010046,-0.011453,-0.010061,-0.009239,-0.005284,0.007187,-0.009308,-0.002192,0.009102,-0.000622,0.006536,0.006184,-0.000922,-0.008613,0.004654,-0.000927,0.004328,0.012311,0.002736,-0.000606,0.034284,0.00616,0.004665,0.007545,-0.003168,0.010113,0.003146,0.0,0.00057,0.007979,0.007351,-0.002245,-0.001688,0.006762,-0.009924,0.005727,0.002278,0.004545,0.00905,0.011771,-0.001662,0.000555,0.006378,-0.037752,-0.012027,-0.00029,0.017106,0.009692,0.007905
