permno,mkt_cap,asset_name,2018-08-01,2018-08-02,2018-08-03,2018-08-06,2018-08-07,2018-08-08,2018-08-09,2018-08-10,2018-08-13,2018-08-14,2018-08-15,2018-08-16,2018-08-17,2018-08-20,2018-08-21,2018-08-22,2018-08-23,2018-08-24,2018-08-27,2018-08-28,2018-08-29,2018-08-30,2018-08-31,2018-09-04,2018-09-05,2018-09-06,2018-09-07,2018-09-10,2018-09-11,2018-09-12,2018-09-13,2018-09-14,2018-09-17,2018-09-18,2018-09-19,2018-09-20,2018-09-21,2018-09-24,2018-09-25,2018-09-26,2018-09-27,2018-09-28,2018-10-01,2018-10-02,2018-10-03,2018-10-04,2018-10-05,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-29,2018-10-30,2018-10-31
16402,1405129.3900000001,EXTRACTION OIL & GAS INC,0.000661,0.023794,-0.020013,-0.038208,-0.115069,-0.010449,-0.01447,-0.026191,-0.038305,-0.007627,-0.044407,0.040215,-0.005155,0.004318,0.018917,0.032911,-0.034314,0.0,-0.018613,0.011207,0.002558,-0.026361,0.008734,0.003463,-0.002588,-0.045848,-0.018132,0.000923,-0.009225,-0.027002,0.0,-0.019139,0.005854,0.047527,-0.006482,0.015843,0.010092,0.00545,0.00813,0.010753,-0.013298,0.014376,0.015943,-0.036617,0.00181,-0.0271,-0.005571,-0.00747,0.020696,-0.023963,-0.017942,0.027885,0.025257,0.00365,-0.017273,-0.030527,-0.132634,-0.048955,-0.059572,-0.00861,-0.011166,-0.045169,-0.036794,0.045021,0.043081
91993,1404906.0,FIRST TR EXCH TRD ALPHADEX FD,-0.005593,0.006485,0.002761,0.004589,0.003753,-0.000975,-0.000488,-0.00586,-0.004749,0.007733,-0.009469,0.007747,0.004089,0.004398,0.00373,-0.000323,-0.002748,0.00778,0.007076,0.0,0.004951,-0.005721,0.001119,-0.000319,-0.003034,-0.003043,-0.003053,0.00419,0.002417,0.001271,0.002718,0.004778,-0.008103,0.006245,-0.001418,0.005888,-0.000476,-0.004602,-0.001116,-0.004629,0.000802,0.00016,0.001442,-0.003199,0.001605,-0.008973,-0.006629,-0.001727,-0.005933,-0.031163,-0.020823,0.010546,-0.001882,0.020569,-0.002855,-0.013475,-0.003927,-0.003085,-0.007737,-0.032232,0.013431,-0.018021,-0.002519,0.018398,0.011513
17222,1404904.48,INDUSTRIAL LOGISTICS PPTYS TR,0.000433,0.013414,0.009821,0.00296,-0.003373,-0.002961,0.00594,0.0,-0.004218,0.008047,-0.008823,0.010598,0.008389,0.007071,-0.008674,0.0,-0.000417,0.0,-0.004585,0.005025,-0.000833,0.003336,0.000416,-0.015372,0.006329,-0.002935,-0.008831,-0.00594,-0.00128,-0.010684,0.007775,-0.003,-0.062769,-0.038073,0.013829,0.002352,0.017363,0.01845,0.023551,0.012389,-0.014423,0.020399,-0.009561,0.00351,-0.055969,-0.003705,0.033938,0.021133,-0.004403,-0.01548,-0.030997,0.006027,-0.006452,0.034323,-0.019731,-0.00366,-0.003673,0.012903,-0.004095,-0.011878,0.026352,0.004955,0.015014,-0.03048,-0.001849
76573,1404264.5,MUELLER INDUSTRIES INC,-0.001812,-0.01059,-0.003058,-0.002454,-0.000922,-0.008003,-0.007446,0.002188,-0.009046,0.004407,-0.028204,0.008062,0.015035,0.024582,0.029837,-0.007766,-0.00602,0.006057,-0.006924,-0.008488,0.000306,-0.016504,-0.006526,-0.027213,-0.000965,-0.010299,-0.010767,-0.030013,-0.012241,-0.00654,0.007969,-0.004125,-0.008284,-0.002436,-0.023029,0.017857,0.001053,0.007361,0.009743,-0.014473,0.00035,0.012933,-0.022774,-0.004943,-0.003194,-0.018868,-0.0127,0.00294,0.005497,-0.027332,-0.035219,-0.015534,0.018146,0.029446,-0.020324,-0.008836,0.006202,-0.007704,-0.086568,0.043774,0.01588,0.006814,-0.019108,-0.006494,-0.00531
77528,1404130.77,S & T BANCORP INC,0.004245,0.005817,-0.012456,0.002477,0.005392,0.00648,-0.005329,-0.007589,-0.001799,0.012844,-0.010011,0.012584,0.007546,0.006388,0.015977,0.005816,0.005569,0.012354,-0.009257,-0.01168,0.000859,0.0,0.001717,-0.000429,-0.003216,-0.003657,0.010363,0.002137,-0.008955,-0.012694,-0.011767,0.006174,-0.007451,-0.000221,0.000442,0.013687,-0.006751,-0.018417,-0.009828,-0.014663,-0.012592,0.005333,-0.017989,-0.004932,0.012981,-0.005592,-0.01687,0.01001,0.01109,-0.010035,-0.029939,-0.043256,0.001778,0.036004,0.004161,0.01438,0.001442,-0.024232,-0.001967,-0.036462,0.037331,-0.006409,0.006698,0.010843,-0.015602
12374,1403200.0,INPHI CORP,-0.013677,0.025476,0.006604,0.020619,0.007958,0.013969,0.007787,-0.008024,0.001498,0.0,-0.02752,0.012612,-0.002126,0.003044,0.028832,0.002655,0.013828,0.005804,0.018177,0.046189,-0.020856,0.00249,0.022903,-0.015916,0.003289,-0.027596,-0.013768,0.007407,-0.010181,-0.005429,0.010916,0.015345,-0.007837,0.007616,0.036114,0.010268,-0.019791,-0.010368,-0.01544,0.007841,0.035565,0.01905,-0.028963,-0.024946,0.035873,-0.01745,-0.05765,-0.010438,-0.003809,-0.061177,-0.019737,0.022052,0.010944,0.046397,0.00473,-0.033539,0.005479,0.006963,-0.008719,-0.07249,0.054611,-0.010543,-0.027891,0.028369,0.003135
82860,1403104.25,SUBURBAN PROPANE PARTNERS LP,-0.005467,-0.008457,-0.019616,0.00696,0.006208,0.000441,0.029075,0.023545,0.005019,0.017062,-0.009411,0.004131,0.000823,-0.011509,-0.006237,0.002092,-0.007098,-0.002523,-0.01602,-0.00557,-0.008617,-0.012169,-0.005719,-0.000442,0.004869,0.004405,-0.00614,0.00662,0.001754,0.000875,0.002624,0.009594,0.000864,-0.003453,0.003898,0.0,0.005177,0.008584,-0.006383,0.003854,-0.001707,0.005556,-0.0051,0.0,0.005553,-0.004673,-0.003414,0.007709,-0.00255,0.001704,0.000425,0.001701,0.012734,0.001676,-0.00795,-0.006326,-0.005518,0.002561,0.007237,0.002536,-0.005902,-0.006361,-0.002988,-0.005565,-0.016358
14318,1401624.28,N M I HOLDINGS INC,0.0,0.069378,-0.029083,-0.023042,0.021226,0.0,-0.004619,0.00232,-0.006944,0.016317,-0.006881,0.00231,-0.002304,0.011547,0.002283,0.013667,-0.006742,0.00905,-0.004484,-0.038288,0.004684,-0.004662,0.01171,0.020833,-0.054422,0.01199,0.00237,0.099291,-0.001075,0.002153,-0.001074,0.002151,-0.036481,-0.002227,-0.002232,0.022371,-0.002188,-0.002193,0.028571,0.017094,-0.044118,-0.004396,0.001766,-0.015425,0.01701,-0.017166,-0.038513,-0.032138,-0.002887,-0.035232,-0.029515,0.013918,-0.012201,0.033453,0.006972,-0.023739,-0.012158,0.000513,-0.006663,-0.060887,0.03022,-0.016,0.001084,0.036275,0.104493
75573,1400826.8800000001,OFFICE DEPOT INC,-0.027888,0.0,0.016393,0.016129,0.134921,0.059441,0.0,-0.013201,0.006689,0.036545,-0.022436,0.02623,0.035144,0.030864,0.01497,-0.0059,0.004451,-0.005952,0.0,0.002994,-0.01194,-0.003021,0.015152,0.014925,0.0,-0.02353,0.0,-0.048193,0.0,0.006329,0.006289,0.025,0.027439,-0.014837,-0.012048,0.003049,0.006079,-0.009063,-0.015244,0.006192,-0.006154,-0.006192,-0.024922,-0.044729,0.010033,-0.006623,-0.013333,0.006757,-0.010067,-0.023729,-0.017361,-0.003534,0.003546,0.007067,-0.024561,0.0,-0.046763,0.015094,0.003717,-0.055556,0.011765,-0.015504,-0.003937,0.019763,-0.007752
17273,1399812.75,F T S INTERNATIONAL INC,-0.004167,0.004184,0.0625,0.003922,-0.014844,-0.014274,-0.005632,0.015372,-0.039044,-0.015755,-0.121314,0.030681,0.018605,0.034703,0.017652,0.034692,-0.010897,-0.013559,0.0189,-0.01602,-0.006855,-0.034513,-0.014299,-0.010879,-0.028414,-0.057547,-0.049049,0.063158,0.024753,0.057971,-0.008219,0.018416,-0.008137,0.01732,0.030466,0.026957,-0.010161,0.014542,0.013491,-0.013311,-0.004216,-0.001694,0.027142,0.004129,0.026316,-0.013622,0.002437,0.003241,0.013732,-0.039841,-0.009959,0.02347,0.028665,0.035032,-0.009231,-0.024845,-0.004777,-0.0392,-0.037469,-0.060554,0.031308,0.033929,-0.036269,0.0681,0.074665
89574,1397144.52,P R A GROUP INC,-0.007653,0.003856,-0.008963,0.023256,0.002525,-0.088161,0.022099,0.009459,0.032129,-0.003891,-0.014323,-0.011889,-0.009358,0.021592,0.009247,-0.003927,-0.005256,0.0,0.003963,-0.022368,-0.02961,0.004161,0.009668,0.01368,0.006748,-0.014745,0.005442,0.012179,0.005348,0.00266,0.009284,0.002628,0.010485,0.006485,-0.010309,0.011719,0.0,-0.045045,0.0,-0.014825,-0.015048,0.0,0.004167,-0.004703,0.000834,-0.006665,0.001398,-0.038805,-0.004066,-0.006416,-0.031113,-0.013632,-0.00215,0.024007,-0.042381,-0.031701,0.015559,-0.001915,-0.019188,-0.029671,0.058132,-0.018101,-0.016494,0.016442,-0.002265
17788,1396367.1,PLURALSIGHT INC,0.021542,0.132434,-0.013035,0.020755,-0.001109,-0.00037,0.004073,0.039823,0.014894,0.052062,-0.028894,0.075581,-0.029889,0.017371,0.039626,0.017664,-0.026797,0.040676,0.005713,-0.006577,0.011135,0.0,0.016964,0.021657,-0.005729,0.00605,0.012314,0.030552,0.026352,-0.023803,-0.012329,0.018585,-0.086329,-0.007452,-0.036937,0.021827,0.007629,-0.010297,-0.034884,0.014268,-0.000625,0.000938,-0.028125,-0.060772,-0.007532,-0.075198,-0.012309,-0.02077,-0.018897,-0.067217,-0.02992,0.047785,-0.023632,0.081953,0.010204,-0.053613,-0.038998,-0.008543,0.04567,-0.042851,-0.03616,-0.012059,-0.0434,0.043951,0.014486
64629,1395914.32,MCDERMOTT INTERNATIONAL INC,0.119378,0.015873,-0.035645,0.006582,0.03169,-0.00195,-0.006839,-0.000984,-0.047267,-0.013954,-0.04717,-0.006051,0.021583,0.01896,0.023924,0.020768,-0.009156,0.008727,0.005598,-0.015182,0.004625,-0.005115,-0.005656,-0.048604,-0.013044,-0.022577,-0.003944,0.007353,0.008984,0.03005,-0.005943,-0.000543,-0.005981,0.021882,0.013383,0.014791,-0.03696,-0.005946,0.016313,-0.010701,-0.002163,-0.001084,-0.030385,-0.02742,0.010932,-0.023335,0.029138,-0.00453,0.00967,-0.039437,-0.045161,-0.02887,0.00253,0.002524,-0.044682,-0.034914,-0.029352,-0.022504,-0.051079,-0.053071,0.054444,0.02126,-0.022305,-0.021293,-0.399378
16051,1394070.21,ACACIA COMMUNICATIONS INC,0.008401,0.038568,0.126857,-0.0145,0.009363,-0.007686,0.02938,0.007006,0.010822,-0.003824,-0.018424,-0.002607,-0.01725,-0.006383,0.006424,0.016755,0.081611,-0.071584,0.01589,0.007179,0.014511,-0.001506,0.024629,0.000245,-0.013242,-0.012177,-0.001006,0.017628,-0.005444,-0.002239,-0.014713,-0.00329,-0.00711,-0.008184,0.008767,0.028119,-0.010691,0.011812,0.0,0.046945,-0.014235,-0.004332,-0.020063,0.000247,0.021455,-0.014969,-0.044853,-0.022582,-0.004726,-0.03693,0.003561,0.026201,0.017553,0.03816,0.001511,-0.024887,-0.027327,0.015107,-0.014621,-0.065448,0.040828,-0.053391,-0.03741,0.028401,0.002035
14632,1391740.44,NOW INC,-0.016054,0.14412,0.028521,-0.005199,0.008711,-0.018423,0.0,0.01173,-0.017391,0.016519,-0.022635,-0.004751,-0.00537,0.013197,0.024867,0.00751,-0.019495,0.009357,-0.016223,-0.002945,0.025989,-0.001727,-0.008651,-0.019197,-0.01898,-0.040508,-0.004411,0.009494,0.015674,-0.00679,-0.015538,0.021465,0.00309,0.020949,0.007242,0.007789,-0.000595,0.002974,0.000593,-0.020747,0.00908,-0.007199,-0.002417,0.001817,0.029021,-0.004113,-0.0118,-0.007164,0.015634,-0.043813,-0.030341,0.010856,0.013266,0.023067,-0.031688,-0.016992,-0.040333,-0.000667,-0.048064,-0.088359,-0.008462,0.005431,-0.033951,0.01278,0.012618
91468,1387893.08,I C F INTERNATIONAL INC NEW,0.000679,-0.002035,0.061183,-0.022422,-0.027523,0.01752,0.003311,0.00462,0.024967,0.030128,-0.010579,0.010063,0.005604,-0.002477,0.007449,-0.008626,0.006215,0.001853,-0.002466,-0.007417,0.011831,0.006154,-0.001223,0.006124,-0.003652,-0.010507,0.009895,-0.018984,0.014357,-0.010462,-0.014304,0.023975,-0.015404,-0.009387,-0.042956,-0.011881,-0.012024,-0.006085,-0.006122,0.018481,-0.016801,0.031442,-0.037111,0.00702,-0.0231,0.011613,0.007192,0.010299,-0.006524,0.002736,-0.021695,-0.00265,0.001259,0.031564,-0.004062,-0.015498,0.005523,0.009338,-0.002857,-0.007368,0.014296,-0.001626,-0.002308,0.007075,-0.005134
86544,1387292.4000000001,BLUCORA INC,0.069065,-0.037685,-0.030769,-0.007215,0.017442,-0.008571,-0.007205,0.007257,0.0,-0.002882,-0.007225,0.017467,-0.011445,0.018813,0.007102,0.008463,0.001399,0.00838,-0.001385,-0.002774,0.0,0.004172,0.00277,-0.019337,-0.011268,0.001425,-0.008535,0.015782,0.014124,-0.012535,-0.004231,0.022663,0.006925,0.008253,-0.021828,0.013947,-0.015131,0.00419,0.011127,0.01238,0.006793,0.08637,-0.047702,-0.046961,0.01314,0.001351,-0.022666,0.004417,-0.009621,-0.045795,-0.057883,0.024082,-0.006331,0.040049,-0.000292,-0.002918,-0.031021,0.000906,-0.00181,-0.05653,0.006729,0.002864,-0.022533,-0.007468,-0.053975
76788,1385002.4999999998,TIVITY HEALTH INC,0.004451,0.001477,0.039823,0.001418,-0.016997,-0.020173,-0.005882,0.0,-0.004438,-0.016345,-0.003021,-0.004546,0.0,-0.006088,0.003063,0.00458,-0.004559,0.006107,0.0,0.007587,0.013554,0.016345,0.005848,-0.002907,0.014577,0.001437,-0.001435,-0.011494,-0.007267,-0.002928,-0.013216,0.011905,-0.016176,0.001495,0.00597,0.001484,-0.01037,0.005988,-0.037202,0.004637,0.003077,-0.013804,0.013064,-0.006141,0.01143,-0.01405,0.002788,0.010195,0.012232,-0.027492,-0.016775,0.002212,0.015448,0.030736,0.004819,-0.005396,0.005425,0.005695,-0.005067,-0.020671,0.012236,-0.006649,0.003042,0.032454,0.01087
82637,1380875.1600000001,E N I SPA,-0.008277,-0.014867,-0.003442,-0.001063,0.023936,-0.003117,-0.017197,-0.033934,-0.001372,0.005496,-0.02979,0.019718,0.000276,0.015465,0.014686,0.014473,-0.007398,0.011711,0.013681,-0.012717,0.008149,-0.012516,-0.019012,0.007806,-0.004541,-0.013684,-0.010065,0.007969,0.007634,0.006494,0.009409,-0.008522,0.011013,0.006376,0.003168,0.012895,0.001039,0.014843,0.02439,-0.00256,-0.015657,-0.017992,0.006107,-0.00132,-0.00185,-0.006089,0.000799,-0.025552,0.020759,-0.008563,-0.020243,-0.004408,0.006641,0.008521,-0.020442,-0.028102,0.015746,-0.014656,-0.015446,-0.036316,0.018993,0.02071,0.003768,0.012995,0.007412
