permno,mkt_cap,asset_name,2016-05-02,2016-05-03,2016-05-04,2016-05-05,2016-05-06,2016-05-09,2016-05-10,2016-05-11,2016-05-12,2016-05-13,2016-05-16,2016-05-17,2016-05-18,2016-05-19,2016-05-20,2016-05-23,2016-05-24,2016-05-25,2016-05-26,2016-05-27,2016-05-31,2016-06-01,2016-06-02,2016-06-03,2016-06-06,2016-06-07,2016-06-08,2016-06-09,2016-06-10,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-17,2016-06-20,2016-06-21,2016-06-22,2016-06-23,2016-06-24,2016-06-27,2016-06-28,2016-06-29,2016-06-30,2016-07-01,2016-07-05,2016-07-06,2016-07-07,2016-07-08,2016-07-11,2016-07-12,2016-07-13,2016-07-14,2016-07-15,2016-07-18,2016-07-19,2016-07-20,2016-07-21,2016-07-22,2016-07-25,2016-07-26,2016-07-27,2016-07-28,2016-07-29
14593,561529645.03,APPLE INC,-0.001067,0.016446,-0.010401,-0.004034,-0.005577,0.000755,0.00679,-0.009741,-0.023457,0.001992,0.037119,-0.004154,0.011445,-0.003807,0.010828,0.012707,0.015244,0.017569,0.00793,-0.000598,-0.004883,-0.01402,-0.007516,0.002047,0.007251,0.004056,-0.000909,0.007176,-0.008229,-0.015076,0.001233,-0.003283,0.004221,-0.022758,-0.002413,0.008517,-0.003754,0.005756,-0.028096,-0.014561,0.016841,0.008655,0.012712,0.003033,-0.009386,0.005685,0.004292,0.007713,0.003103,0.004537,-0.005646,0.01982,-0.000101,0.01063,0.000401,0.000901,-0.005302,-0.007744,-0.013379,-0.006883,0.064963,0.013502,-0.001246
10107,441679750.2,MICROSOFT CORP,0.014839,-0.0164,0.001808,0.001404,0.009011,-0.00635,0.018974,0.000588,0.009011,-0.008348,0.014683,-0.018522,0.005939,-0.009644,0.005962,-0.011656,0.031181,0.010273,-0.004413,0.008287,0.012997,-0.00283,-0.007001,-0.013148,0.006565,-0.000576,-0.001152,-0.008071,-0.002712,-0.02603,-0.006183,-0.00281,0.014087,-0.00516,-0.001197,0.022369,-0.003907,0.018043,-0.040069,-0.028096,0.020855,0.022249,0.012465,-0.000195,0.000195,0.004104,0.0,0.017906,0.005545,0.011789,0.005638,0.004298,-0.000744,0.004842,-0.016123,0.053117,-0.001967,0.013799,0.002828,0.000529,-0.010042,0.000356,0.008362
11850,368841048.45,EXXON MOBIL CORP,0.008258,-0.011444,-0.001929,0.001137,0.005339,0.000678,0.016033,-0.004778,0.009684,-0.011264,0.010264,-0.000447,-0.002011,0.008506,-0.004106,-0.00156,0.000781,0.00658,-0.005096,0.002339,-0.010999,0.002471,-0.007956,-0.001807,0.010977,0.015335,0.000882,-0.001322,-0.00761,0.006779,-0.001766,-0.002986,0.011757,-0.005481,0.004409,0.0045,-0.003933,0.00691,-0.026253,-0.005929,0.02307,0.01705,0.013844,0.001067,-0.008738,0.011503,-0.01201,0.006239,0.003742,0.01129,-0.000737,0.000738,0.00179,-0.003154,-0.003691,-0.005716,-0.000852,0.001705,-0.019253,-0.007267,-0.006774,-0.00781,-0.013858
84788,359732091.94,AMAZON COM INC,0.03678,-0.018323,-0.000626,-0.017603,0.022546,0.008606,0.034307,0.014451,0.00659,-0.011157,0.001042,-0.021656,0.003135,0.001534,0.006127,-0.008608,0.010693,0.005893,0.009261,-0.003735,0.014812,-0.004635,0.012232,-0.003708,0.00164,-0.004114,0.004007,0.00139,-0.013386,-0.003719,0.005676,-0.007007,0.00455,-0.015498,0.010787,0.002535,-0.007292,0.016155,-0.032019,-0.010873,0.023996,0.010806,2.8e-05,0.014058,0.003335,0.013061,-0.00141,0.012545,0.010686,-0.007389,-0.007458,-0.001926,-0.007771,0.000857,0.005271,0.007798,-0.00173,0.000578,-0.007048,-0.005435,0.001468,0.021638,0.008238
22111,344463148.12,JOHNSON & JOHNSON,0.005978,-0.000532,-0.004171,0.005881,-0.00124,0.008693,0.008354,-0.002616,-0.001224,-0.005865,0.007749,-0.00533,-0.002108,-0.006515,0.005228,-0.004261,0.004725,0.005857,-0.00397,0.001417,-0.003273,0.000799,0.015162,0.002358,0.008801,-0.000345,0.000605,0.010363,8.5e-05,-0.00188,0.002826,-0.006062,0.001976,-0.009945,0.009179,-0.003089,0.00241,0.0079,-0.014909,0.007956,0.014414,0.009304,0.016509,-8.2e-05,0.00808,0.003026,-0.00106,0.002775,0.000651,-8.1e-05,0.000651,0.001463,-0.001461,0.001138,0.017135,-0.000878,8e-05,-0.000959,-0.00112,0.002082,-0.003036,-0.002485,0.006187
13407,287907538.46,FACEBOOK INC,0.00842,-0.009615,0.005365,-0.002118,0.01426,-0.002092,0.010567,-0.008133,0.006359,-0.003908,-0.009515,-0.011123,0.002556,-0.00714,0.004623,-0.01176,0.014918,0.001614,0.013402,-0.000753,-0.004775,-0.000252,0.001263,-0.003868,0.002701,-0.008671,0.00535,0.001436,-0.016363,-0.022895,0.008688,-0.002958,-0.001832,-0.011977,0.003097,0.008909,-0.004109,0.010271,-0.026069,-0.027748,0.03423,0.012955,0.001051,-0.000788,-0.001664,0.023684,-0.007284,0.011998,0.005374,0.000509,-0.009752,0.004367,-0.003666,0.021479,0.010388,0.010861,-0.010745,0.003234,0.005207,-0.003371,0.017489,0.013459,-0.00848
12060,286352758.98,GENERAL ELECTRIC CO,0.004553,-0.008417,-0.018283,-0.005986,0.007695,-0.0083,0.020422,-0.004593,-0.00824,-0.014955,0.010796,-0.008344,-0.003366,-0.008443,0.006812,-0.002368,0.012208,0.00804,-0.002326,0.003331,0.003652,-0.00397,-0.001993,-0.003661,0.006012,0.000664,0.00564,-0.002309,-0.006614,-0.006991,0.020449,0.004928,0.009153,-0.001305,0.007516,0.003568,-0.005171,0.01332,-0.043924,-0.016767,0.021146,0.020374,0.030442,0.000318,-0.00127,0.009221,0.00252,0.011942,0.000311,0.001552,0.0031,0.008344,0.007662,0.000912,0.000608,-0.004555,-0.005796,-0.016263,-0.013101,-0.005373,-0.006037,-0.000959,-0.00352
66093,266320080.0,A T & T INC,0.007213,-0.004859,-0.000771,-0.003601,0.006453,-0.003334,0.01158,-0.003307,0.009444,-0.010114,0.00332,-0.004328,-0.016876,-0.00026,0.00026,-0.003381,0.004697,0.003117,0.005697,0.003862,0.004104,-0.010728,0.00284,0.009526,0.003316,0.011439,0.001759,0.00577,0.005987,-0.003471,0.004728,-0.002229,0.004964,0.005927,0.001228,0.007111,0.0056,0.014044,-0.008596,0.012283,-0.000238,0.012375,0.01575,0.006017,-0.002761,0.005306,-0.018562,0.007329,-0.002347,-0.002352,0.004244,0.004226,0.002806,-0.000933,-0.001867,-0.001403,-0.004449,0.013876,-0.003943,-0.013041,0.008966,-0.004209,0.016675
14542,264159312.28792,ALPHABET INC,0.007504,-0.008379,0.004824,0.008236,0.013815,0.002503,0.01442,-0.01091,-0.002768,-0.003477,0.007962,-0.01432,0.000566,-0.00893,0.013451,-0.007749,0.022507,0.007194,-0.001586,0.011794,0.004177,-0.002134,-0.005108,-0.011035,-0.008016,0.00014,0.016228,0.000412,-0.012586,-0.00146,-0.000125,0.000905,-0.011907,-0.02624,0.002877,0.003215,0.002184,0.006323,-0.03797,-0.010308,0.017628,0.005985,0.011679,0.010273,-0.006751,0.004723,-0.003454,0.014769,0.013407,0.007761,-0.005079,0.005537,-0.001526,0.019351,0.004334,0.00574,-0.003454,0.005564,-0.003999,-0.001825,0.004537,0.005581,0.030674
38703,242176545.0,WELLS FARGO & CO NEW,0.012205,-0.011662,-0.0136,0.000409,0.001226,-0.002856,0.010638,-0.006478,0.002445,-0.019512,0.000622,-0.013466,0.02163,-0.00555,0.007648,-0.001026,0.010267,0.026423,0.00099,0.005935,-0.002556,0.00552,0.002157,-0.018,0.005977,-0.004357,-0.005371,-0.0172,-0.01628,-0.007654,-0.022723,-0.002133,0.001496,-0.005336,0.007082,0.006392,-0.005505,0.020013,-0.045919,-0.015314,0.024217,0.018872,0.007664,-0.006339,-0.017436,0.009522,0.003215,0.021154,0.006068,0.005616,-0.001655,0.01388,-0.025133,0.011947,0.001864,0.004962,-0.006377,0.000414,-0.004139,-0.003117,0.000625,0.002708,-0.003324
