permno,mkt_cap,asset_name,2014-05-01,2014-05-02,2014-05-05,2014-05-06,2014-05-07,2014-05-08,2014-05-09,2014-05-12,2014-05-13,2014-05-14,2014-05-15,2014-05-16,2014-05-19,2014-05-20,2014-05-21,2014-05-22,2014-05-23,2014-05-27,2014-05-28,2014-05-29,2014-05-30,2014-06-02,2014-06-03,2014-06-04,2014-06-05,2014-06-06,2014-06-09,2014-06-10,2014-06-11,2014-06-12,2014-06-13,2014-06-16,2014-06-17,2014-06-18,2014-06-19,2014-06-20,2014-06-23,2014-06-24,2014-06-25,2014-06-26,2014-06-27,2014-06-30,2014-07-01,2014-07-02,2014-07-03,2014-07-07,2014-07-08,2014-07-09,2014-07-10,2014-07-11,2014-07-14,2014-07-15,2014-07-16,2014-07-17,2014-07-18,2014-07-21,2014-07-22,2014-07-23,2014-07-24,2014-07-25,2014-07-28,2014-07-29,2014-07-30,2014-07-31
14593,572440085.1999999,APPLE INC,0.002355,0.00186,0.014142,-0.010899,-0.003499,-0.001773,-0.004163,0.012446,0.001569,0.000185,-0.008504,0.014758,0.011849,0.000198,0.002646,0.001583,0.011296,0.018726,-0.002589,0.018221,-0.003746,-0.006872,0.014141,0.011419,0.003924,-0.00275,0.016001,0.00587,-0.004138,-0.016727,-0.010944,0.010079,-0.001301,0.001086,-0.003471,-0.010342,-0.00088,-0.006055,0.000886,0.005976,0.011881,0.010328,0.006349,-0.000428,0.005884,0.020611,-0.00644,0.00042,-0.003722,0.001947,0.012917,-0.011716,-0.005665,-0.017832,0.014396,-0.0052,0.008314,0.026077,-0.001646,0.006606,0.013812,-0.006463,-0.002338,-0.025981
11850,424885462.5,EXXON MOBIL CORP,-0.009765,0.005917,0.008823,-0.002332,0.004286,-0.007662,0.003127,0.002747,0.001272,-0.000684,-0.014762,-0.000397,0.001291,-0.001983,0.01351,-0.005195,-0.001773,0.000395,-0.00296,0.002078,-0.007307,-0.005869,0.004503,-0.003486,0.005098,0.010443,-0.000787,-0.000591,0.004829,-0.002844,0.009738,0.00263,-0.004858,0.003027,-0.000973,0.011693,0.005297,-0.015808,-0.005743,-0.001077,-0.008037,-0.005237,0.006754,0.002072,0.010042,0.000585,0.001754,0.007002,-0.009464,-0.008092,0.009239,-0.002824,0.013478,-0.01407,0.004105,0.003407,0.004463,0.006857,0.000288,-0.010549,0.011533,-0.007857,-0.002897,-0.041743
10107,355631882.84,MICROSOFT CORP,-0.009901,-0.00775,-0.006551,-0.009384,0.009345,0.005453,-0.002523,0.010875,0.018264,-0.004453,-0.015905,0.005808,-0.002009,-0.001761,0.016885,-0.006196,0.000499,0.001745,-0.004479,0.008248,0.014874,-0.003664,-0.012258,0.000745,0.022073,0.006552,-0.005063,-0.003877,-0.006081,-0.006853,0.016018,0.006549,0.004337,-0.00072,-0.003361,0.004095,0.007438,-0.005835,0.006827,-0.007376,0.012704,-0.013018,0.004077,0.000717,-0.002387,0.004546,-0.005001,-0.002633,0.00036,0.009716,0.001188,0.007356,0.038398,0.010209,0.003593,0.003245,-0.000111,0.000892,-0.010475,0.002252,-0.01191,-0.001933,-0.006984,-0.009603
22111,282514034.0,JOHNSON & JOHNSON,-0.007503,-0.012136,0.006948,-0.0049,0.014069,-0.004063,0.00408,-0.003865,0.004974,-0.001485,-0.001784,-0.001092,0.000597,-0.003875,0.008878,0.005141,0.000198,-0.001684,-0.005059,0.004586,0.006947,0.006998,0.002838,0.002147,0.005259,-0.000388,0.000388,0.008525,-0.007493,-0.007646,0.0,-0.00078,-0.005076,0.008633,0.009727,0.014064,-0.00494,-0.001527,0.011187,-0.00104,-0.006247,-0.003524,0.011948,-9.4e-05,-0.004156,0.00996,-0.007044,0.003027,-0.002263,-0.006616,0.002664,-0.019928,-0.010263,-0.018098,0.014247,-0.005206,0.01185,-0.002733,9.8e-05,-0.000881,0.0,-0.001469,0.003335,-0.021603
38703,267219910.0,WELLS FARGO & CO NEW,0.0,-0.001209,-0.000403,-0.009483,0.013241,-0.001215,-0.005068,0.013855,0.001005,-0.01044,-0.005275,0.00102,0.008354,-0.010709,0.014502,0.006443,0.003401,0.007775,-0.002176,-0.00337,0.010145,0.006105,0.0,-0.000979,0.01156,0.006779,0.010196,0.001524,-0.006655,-0.010146,0.003674,-0.015607,0.011157,0.007356,-0.000384,0.016724,0.001702,-0.009249,0.002096,-0.004373,0.01012,-0.006427,0.003044,-0.001138,0.006457,-0.009434,-0.004762,-0.001148,-0.007281,-0.006176,-0.003496,0.00078,-0.003505,-0.009576,0.011839,-0.004485,0.005877,-0.000389,0.005065,0.000194,0.0,-0.001163,0.010865,-0.023033
12060,252352685.6,GENERAL ELECTRIC CO,-0.004463,-0.003362,-0.003748,-0.014673,0.012982,-0.003392,-0.000756,0.016276,0.002607,-0.005944,-0.005979,0.002632,-0.00225,-0.01165,0.007224,0.000755,0.0,0.002263,0.003387,0.003001,0.00187,0.001493,-0.001491,-0.008959,0.008286,0.015316,0.009566,-0.001093,-0.009486,-0.006998,0.002967,-0.008136,0.001864,0.000744,0.009669,0.001485,-0.010753,-0.003748,-0.00602,-0.00492,0.005325,-0.005675,0.004566,0.007955,0.009395,-0.004095,-0.014206,-0.001896,-0.004559,0.013359,0.004143,-0.001875,0.015408,-0.015174,-0.005637,-0.018141,0.00154,-0.004228,0.001158,-0.005783,-0.007755,-0.005471,0.007466,-0.019111
14541,246027745.03650004,CHEVRON CORP NEW,-0.004621,-0.001761,0.005131,-0.003111,0.010082,-0.009031,-0.00048,0.00168,0.004871,0.004529,-0.012182,-0.005088,-0.001867,-0.00366,0.013551,-0.004269,-0.002103,-0.004296,-0.002605,-0.001632,0.003842,-0.004724,0.002782,-0.001632,0.009563,0.005424,0.001449,0.007799,-0.001277,0.007429,0.009119,0.010058,0.002256,0.011255,0.013126,0.002652,0.004836,-0.009099,-0.004098,-0.002362,-0.004277,0.001458,-7.7e-05,-0.002375,0.007372,-0.005488,-0.004369,0.01147,-0.008676,-0.013666,0.006149,0.0,0.01261,-0.006188,0.002383,0.006902,0.009826,0.009805,0.007245,-0.009492,-0.002471,-0.006154,0.000831,-0.024825
55976,237192855.9,WAL MART STORES INC,-0.000125,-0.007277,-0.00632,-0.007759,0.005512,0.009364,0.006481,-0.000631,-0.000126,-0.005054,-0.024257,0.002343,-0.005194,-0.012009,-0.000396,-0.003569,0.002918,-0.000265,-0.000794,0.005958,0.010397,-0.00013,-0.000651,0.005475,0.002463,-0.001423,-0.00259,-0.005064,-0.006004,-0.005646,-0.005942,0.000797,-0.004646,0.009468,0.002246,-0.002504,0.001454,0.002375,-0.004607,-0.009389,0.00574,-0.003584,0.002797,0.004517,0.001719,0.004224,0.007625,0.007306,-0.001943,-0.003114,-0.003515,0.003788,0.00026,-0.003253,0.006265,-0.004151,-0.001693,0.004567,-0.008313,-0.004977,-0.003422,-0.003566,-0.008749,-0.016047
47896,218264398.71,JPMORGAN CHASE & CO,-0.004644,-0.002513,-0.024469,-0.01623,0.013311,0.005735,-0.006439,0.01185,-0.000549,-0.00476,-0.015637,-0.003738,0.009754,-0.002043,0.007446,0.007945,-0.000367,0.011187,0.005622,0.004869,-0.002692,-0.003959,0.004517,0.001439,0.017062,0.006004,0.007899,0.00836,-0.010881,-0.004016,0.0,-0.00298,0.009671,0.00627,-0.008307,0.004363,0.011121,-0.013233,0.001916,-0.002434,0.002439,0.001564,0.006074,-0.010422,0.001404,-0.006661,-0.016058,0.004663,-0.008211,0.00432,0.008781,0.035175,0.007551,-0.014478,0.006395,0.000172,0.007383,0.005625,0.002881,-0.002704,0.00305,-0.009292,0.004604,-0.021049
18163,209224827.2,PROCTER & GAMBLE CO,-0.002544,-0.005101,-0.002686,-0.006977,0.011833,0.000853,0.002799,-0.008011,-0.001468,-0.005392,-0.007885,-0.002484,-0.004979,0.003753,0.003241,0.001988,-0.001612,-0.005464,0.00025,0.003745,0.004851,-0.005322,-0.005351,-0.000876,0.00313,-0.000999,0.00075,0.000749,-0.001123,-0.003747,-0.001505,0.000628,-0.00138,0.002639,0.00564,-0.003863,-0.00513,-0.006413,0.003924,-0.008825,0.005088,-0.005442,0.00878,0.003532,0.005279,0.002626,0.004614,0.013779,-0.000735,-0.005514,0.001971,-0.000738,0.003982,-0.006672,0.001866,-0.003352,-0.002242,-0.001373,0.003375,-0.008722,-0.003771,-0.007696,-0.00623,-0.010747
65875,209002597.44,VERIZON COMMUNICATIONS INC,0.010486,-0.002118,0.00573,0.001688,0.013272,0.008108,-0.000206,-0.006601,-0.006437,0.003344,-0.001041,0.023144,0.00163,-0.010173,0.010689,0.005695,0.005865,-0.002413,0.002418,-0.000402,0.004827,0.001801,-0.015185,-0.00284,0.002645,0.002841,0.003035,-0.001009,-0.003029,-0.006684,0.002855,0.002643,-0.002028,0.004267,0.001012,-0.001617,0.006884,-0.009049,0.002638,-0.004048,0.002235,-0.007908,0.008992,0.005874,0.001007,0.000805,-0.009246,0.002871,0.015133,0.013699,0.004173,0.003562,0.00493,-0.012559,0.008545,-0.000985,0.005523,-0.001373,0.00275,0.004505,0.00585,0.007561,-0.004041,-0.025889
14542,193320829.2358,GOOGLE INC,0.008905,-0.006436,-0.000227,-0.024005,-0.010056,0.002039,0.015127,0.021572,0.005982,-0.012081,-0.012665,0.00125,0.015808,0.001721,0.017309,0.011356,0.014017,0.023973,-0.007545,-0.002849,-0.000339,-0.010645,-0.01623,-0.000514,0.016965,0.004387,0.010408,-0.002793,-0.003051,-0.013403,0.000744,-0.013557,-0.002333,0.019079,0.002765,0.002631,0.01544,-0.000584,0.024849,-0.00458,0.002153,-0.003395,0.012846,-0.000575,0.004113,-0.004241,-0.019167,0.008738,-0.008645,0.014148,0.009824,-0.000154,-0.003625,-0.015326,0.037213,-0.009427,0.00894,0.002085,-0.004413,-0.007297,0.002682,-0.008449,0.003091,-0.026931
12490,191208458.64,INTERNATIONAL BUSINESS MACHS COR,-0.014964,-0.010799,-0.00094,-0.006431,0.001947,-0.00206,0.006193,0.0131,-0.001973,-0.018055,-0.011975,0.003218,-0.000321,-0.011283,0.008113,-0.003809,0.0014,-0.006239,-0.0092,0.003714,0.003265,0.007214,-0.007109,0.000759,0.007967,0.002097,-0.000805,-0.010364,-0.01107,-0.005652,0.007394,-0.00115,-0.000494,0.007352,-0.004248,-0.006947,0.00325,-0.006918,-0.000885,-0.001937,0.007429,-0.002421,0.028025,0.010947,0.000743,-0.002599,-0.004361,0.00641,-0.003821,0.001598,0.009894,-0.007216,0.020532,0.000676,5.2e-05,-0.008571,0.016977,-0.00237,0.008315,-0.004302,0.007099,-0.00618,-0.00293,-0.01201
66093,184730215.31000003,A T & T INC,-0.003361,0.001405,0.003649,-0.00755,0.007608,0.017897,0.001099,0.003568,-0.010118,0.005249,0.003572,0.006024,-0.009799,-0.024189,-0.006479,0.003119,-0.001696,-0.003114,0.003692,0.001415,0.002261,-0.000846,-0.006772,-0.004261,0.001427,-0.002279,-0.000286,-0.001999,-0.003721,0.000575,0.005742,-0.001427,0.001144,0.00514,0.004545,0.000848,0.0,-0.002826,-0.00085,0.0,0.004254,-0.001412,0.003394,0.005355,0.004766,0.005022,0.0,0.002531,0.001403,0.001681,0.002796,0.010597,0.005795,-0.011523,0.003886,-0.005806,-0.000556,-0.001669,-0.010591,0.001127,0.003095,0.026367,-0.006286,-0.021177
21936,182847413.0,PFIZER INC,-0.004156,-0.012841,-0.025691,-0.01769,-0.005097,0.005169,-0.004799,0.003445,0.002403,-0.003425,-0.001375,0.002065,0.005495,-0.001025,0.01094,0.003044,-0.005732,0.004069,0.0,-0.000338,0.001013,0.0027,-0.004039,0.00169,0.004049,-0.011425,-0.002379,0.005111,-0.002373,0.00068,0.002716,0.002709,-0.00439,0.007802,-0.004039,0.006421,-0.011081,-0.005093,0.017065,-0.007047,0.002704,0.000337,0.013477,0.009641,0.005268,-0.00131,-0.011151,-0.003317,-0.001664,0.002333,0.005653,0.005622,0.018086,-0.013243,0.005892,-0.012366,0.004613,-0.00328,-0.001645,-0.004944,-0.002981,-0.012292,-0.007064,-0.019139
