permno,mkt_cap,asset_name,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30
14593,2411090012.76,APPLE INC,0.008215,-0.035386,0.001955,0.012803,0.005318,-0.025805,-0.00741,-0.024939,0.01792,0.019845,-0.009259,-0.011246,-0.001282,0.021012,-0.014767,0.013314,-0.001574,-0.000394,-0.012377,-0.005348,-0.002648,0.006276,-0.012154,0.019022,7.9e-05,0.006672,0.003077,-0.008023,0.009833,0.024578,-0.006438,0.003934,0.012601,-0.010092,0.014104,0.012698,-0.00209,-0.002169,-0.002249,0.012546,0.0115,0.004621,0.002263,0.019596,0.014719,0.017955,-0.0092,0.013055,-0.004204,0.007889,0.024101,-0.004492,-0.014076,-0.026914,0.025974,-0.005132,0.009629,0.011989,0.002895,-0.0149,-0.012196,0.004552,0.001511
10107,2141067594.8100002,MICROSOFT CORP,-0.001269,-0.01616,-0.005327,0.013227,0.010932,-0.020914,-0.003843,-0.029363,0.016862,0.021067,-0.011969,-0.008565,0.002468,0.01382,-0.005315,0.022882,0.003748,-0.000914,-0.008668,0.001484,-0.009132,-0.000404,-0.006429,0.020675,0.012042,-0.004886,0.004038,0.014393,0.002527,0.007755,-0.005887,-0.003793,0.013676,-0.005634,0.012335,0.010966,-0.000885,0.005334,-0.006262,0.013961,0.009973,-0.001842,0.002584,0.022275,3.6e-05,0.008175,-0.008966,0.001874,-0.002231,0.013198,0.005445,-0.005239,-0.000996,-0.013321,0.008339,0.007447,0.016844,0.012337,-0.00214,-0.008684,-0.001117,0.000978,-0.00555
84788,1685228052.76969,AMAZON COM INC,-0.02334,-0.022035,-0.012479,0.010955,-0.004464,-0.030721,0.010475,-0.022324,0.003024,0.019431,0.014735,-0.011653,-0.000148,0.004914,-0.013733,0.013084,0.004333,0.001875,-0.010735,-0.00218,-0.001371,0.004766,-0.014527,0.006028,-0.002561,0.020669,0.00522,0.020877,-0.000842,0.011067,-0.000219,0.009494,0.021665,-0.000671,-0.009447,0.014905,-0.000462,-0.015623,-0.013807,0.012474,0.001234,-0.002314,-0.00209,0.022724,0.046927,0.00567,0.009422,-0.003235,-0.000212,-0.011077,0.001175,-0.013711,-0.015854,-0.006727,0.006649,0.003361,0.014736,0.005115,0.011809,-0.019847,0.001084,-0.008374,-0.075649
14542,865868716.9465599,ALPHABET INC,-0.006203,-0.017084,0.001058,0.010442,0.007282,-0.023776,-0.01405,-0.030181,0.010223,0.023957,0.002267,-0.007745,0.002292,0.020522,-0.004665,0.026255,0.000997,0.010153,-0.012747,0.003767,0.007568,-0.003511,-0.006885,0.019608,0.005845,0.006796,0.003444,0.012122,-0.003042,0.005215,-0.002525,-0.00267,0.005366,-0.006358,0.007068,0.004306,-0.004236,0.006488,-0.002255,-0.001382,-0.006316,-0.005575,0.008399,0.0186,0.008173,0.002362,-0.006923,0.003077,0.007637,0.003297,0.008306,-0.006178,0.004411,-0.019656,0.014294,0.011434,0.00549,0.033658,0.013268,-0.020395,-0.003034,0.001166,-0.009664
13407,849352191.7618799,FACEBOOK INC,-0.00769,-0.013082,-0.010491,0.015872,-0.002937,-0.041087,0.00183,-0.012984,0.008957,0.034987,-0.001519,-0.017435,0.011711,0.016008,-0.00747,0.026563,0.009734,-0.000397,0.015534,-0.012081,0.001217,6.1e-05,-0.009449,0.013219,0.018859,-0.008616,-0.010279,0.006692,-0.003609,0.016633,-5.9e-05,-0.016838,0.016401,-0.020356,0.007978,0.020284,0.004601,0.007604,-0.005274,0.041802,-0.010544,-0.011879,0.019212,0.000875,-0.005413,-0.006491,-0.013809,0.0138,0.007819,-0.00303,-0.012667,-0.009119,-0.00958,-0.01234,0.013978,0.013376,0.014326,0.052963,0.00722,-0.012485,0.014872,-0.040077,-0.005637
90319,811282574.0825499,ALPHABET INC,-0.004427,-0.015471,0.003442,0.009755,0.006238,-0.025588,-0.009464,-0.030753,0.013085,0.022135,0.004626,-0.011556,0.003991,0.015606,-0.005557,0.029166,0.000775,0.007381,-0.007407,-0.002467,0.010323,-0.004447,-0.009706,0.01959,0.003647,-0.001607,0.003961,0.011292,-0.002025,0.007699,-0.008379,-0.005329,0.00804,-0.013409,0.014166,0.004252,-0.001664,0.003054,6.9e-05,0.000224,-0.00215,-0.001497,0.002908,0.022974,0.007445,0.002251,-0.011307,0.003795,0.011608,0.002882,0.007032,-0.009607,-0.000276,-0.018839,0.013096,0.010613,0.00684,0.035769,0.007668,-0.015929,0.031797,-0.002326,-0.007741
93436,680338317.9001501,TESLA INC,-0.034591,-0.016499,-0.003949,-0.011029,0.013307,-0.064444,-0.018822,-0.044248,-0.030853,0.031573,-0.021891,0.001803,-0.024936,0.041387,-0.010055,0.044002,-0.002886,0.02388,0.01893,-0.008924,-0.002111,-0.030101,-0.053345,0.045754,0.010149,-0.002545,-0.007969,0.018939,-0.000377,0.012789,-0.029675,0.009193,0.019393,0.010882,-0.003979,0.004639,0.052685,0.035411,-0.011694,0.025079,-0.011558,-0.001557,-0.002619,0.001446,-0.028458,-0.022636,0.012658,0.006342,0.043763,-0.025026,-0.022676,-0.004255,-0.009806,0.003105,0.022098,-0.007888,-0.009202,-0.009056,0.022133,-0.019525,0.003412,0.046941,0.014542
86580,487475025.00000006,NVIDIA CORP,-0.011509,-0.032723,0.007473,0.004461,0.019917,-0.036895,0.002839,-0.038287,-0.006778,0.042279,-0.005441,-0.010571,0.003567,0.038871,0.025954,0.041373,0.00229,0.003339,-0.013503,0.048844,0.001231,0.031587,0.011414,0.035858,0.002318,-0.009195,-0.005428,0.003845,0.02297,0.010855,-0.012778,0.001223,0.047557,-0.000992,-0.011347,0.024936,0.009028,0.007779,-0.009086,0.050129,0.002089,-0.001211,0.010474,0.013606,0.010324,-0.015786,-0.023022,0.007411,0.023055,-0.012797,-0.020173,-0.044112,-0.042457,0.03407,-0.008933,0.042876,0.00948,-0.001837,-0.013498,-0.004457,0.015358,0.008153,-0.00829
47896,459487843.84,JPMORGAN CHASE & CO,-0.002926,0.013824,0.013121,0.020124,0.003423,-0.000124,-0.016623,-0.006875,0.025723,0.015542,0.004024,-0.014089,-0.007638,-0.001738,0.011379,0.00541,-0.010334,-0.000124,0.015572,-0.000669,0.01102,6e-05,0.000662,0.001625,-0.004686,-0.003984,-0.012485,-0.015589,-0.000686,-0.016969,-0.015168,0.007024,-0.02886,-0.025303,0.016969,-0.001462,0.006058,0.009198,0.010098,0.001818,-0.001231,0.009083,0.009901,-0.000955,-0.016792,0.001173,-0.017254,0.032,0.014316,-0.014874,-0.003405,0.002192,-0.022836,-0.032519,0.018643,0.021041,-0.012626,-0.001921,0.006705,-0.001319,0.001651,0.00857,-0.007974
22111,453313400.4,JOHNSON & JOHNSON,0.01524,0.015495,-0.004172,0.00401,0.004531,0.010505,-0.008164,-0.004027,0.010464,0.00153,0.000999,0.000352,-0.002171,0.005821,-0.000643,0.003802,-0.002756,-0.005938,-0.001538,0.002607,-0.021979,0.004048,-0.000963,-0.000422,-0.006808,-0.008796,0.013465,0.008998,-0.012689,0.002485,-0.005321,-0.000365,0.004805,-0.01961,0.011483,-0.001343,-0.006051,0.00455,0.005142,-0.001157,6.1e-05,0.004329,0.007406,0.018197,-0.005977,0.008573,-0.001948,0.003963,-0.001591,-0.001239,0.006794,-0.012029,-0.001604,-0.007258,0.009408,0.006174,0.002891,0.010648,0.000466,0.004597,-0.00278,0.0,0.000116
