permno,mkt_cap,asset_name,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-30,2019-10-01,2019-10-02,2019-10-03,2019-10-04,2019-10-07,2019-10-08,2019-10-09,2019-10-10,2019-10-11,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-25,2019-11-26,2019-11-27,2019-11-29
14593,1187462571.25,APPLE INC,-0.014564,0.016967,0.019552,-9.4e-05,0.004267,0.011813,0.031795,-0.002259,-0.019432,0.005257,0.003638,0.009379,-0.008125,-0.014618,0.004547,-0.004755,0.01539,-0.005158,-0.004866,0.023535,0.002768,-0.025068,0.008495,0.028032,0.00022,-0.011715,0.01172,0.013478,0.026598,-0.001439,-0.002332,-0.004037,0.003883,0.004803,0.017343,-0.002287,0.013419,0.001645,0.012316,0.010017,-0.023128,-0.000123,0.02261,0.028381,0.006567,-0.001437,0.000428,0.011507,0.002737,0.007919,-0.000915,0.009582,-0.006919,0.011879,0.005042,-0.003033,-0.011642,-0.004483,-0.000878,0.017534,-0.007809,0.013432,-0.002203
10107,1154848652.28,MICROSOFT CORP,-0.013202,0.011688,0.017583,-0.006783,-0.011359,-0.010471,0.000294,0.010285,-0.001454,-0.007209,0.007775,0.008225,0.018409,-0.011555,-0.002151,-0.012649,0.014413,0.001292,-0.012971,0.009439,-0.014098,-0.017655,0.012106,0.013502,-0.00724,-0.010575,0.018943,0.006221,0.00417,-0.000931,0.014511,-0.008229,-0.005128,-0.016322,0.007423,-0.014881,0.00638,0.019674,0.005645,0.024586,-0.009432,0.012462,-0.008575,0.002441,0.005775,-0.000623,-0.002769,0.001388,0.011784,0.001028,0.00657,0.001632,0.005091,0.0129,0.002467,0.000333,-0.001729,-0.000936,0.000736,0.010963,0.00529,0.001908,-0.006171
84788,892831262.38985,AMAZON COM INC,0.007628,0.006023,0.02227,-0.003917,-0.001178,-0.005897,0.00134,0.011278,-0.002284,-0.017126,0.008137,-0.002793,0.002223,-0.01501,-0.004938,-0.024472,0.015342,-0.016111,-0.008271,0.006062,-0.00015,-0.012917,0.006532,0.008832,-0.004018,-0.01567,0.009663,-0.001005,0.006778,0.002604,0.017824,0.005686,0.005654,-0.016767,0.016017,-0.011161,-0.002016,0.010561,-0.010922,0.008942,-0.008086,0.009803,-0.001871,0.008319,0.00738,-0.001635,-0.003297,-0.004216,-0.001297,-0.007968,0.003584,-0.013999,0.00085,-0.008612,0.007496,0.000148,-0.004142,-0.006199,0.006347,0.016108,0.013023,0.012004,-0.009739
13407,485240207.52,FACEBOOK INC,-0.017666,0.026043,0.020092,-0.017863,0.006774,-0.013721,0.012462,-0.005411,-0.001494,-0.005182,0.009988,0.000319,0.01063,-0.001104,-0.016374,-0.029654,0.008385,-0.014716,-0.016712,0.005534,-0.012747,-0.006882,0.027377,0.005965,-0.004267,-0.010741,0.011814,0.001001,0.023107,-0.004941,0.030609,0.003494,0.004432,-0.023846,0.021038,-0.039102,0.020895,0.001236,0.008102,0.008037,-0.000475,-0.005599,0.018061,0.010279,0.005681,-0.002054,-0.014255,-0.005899,0.002206,-0.006445,0.025632,-0.006582,-0.000207,0.010096,0.011789,0.009727,-0.009081,0.002126,0.004497,0.004879,-0.004104,0.015228,-0.001782
14542,448320299.21795994,ALPHABET INC,-0.01659,0.011144,0.025368,-0.005324,-0.000432,0.00132,0.01175,0.011539,0.004302,-0.006664,-0.001746,0.002652,0.005112,-0.007088,0.003334,-0.012374,0.022777,-0.004115,-0.013131,-0.004971,-0.011403,-0.023625,0.009519,0.017823,-0.001092,-0.01536,0.011084,0.00529,0.005609,0.00139,0.021255,0.000507,0.007583,-0.006049,0.00053,-0.002688,0.01314,0.001477,0.003283,0.019658,-0.021225,-0.001053,-0.000936,0.010817,0.013841,0.000511,-0.000178,0.013206,0.001918,-0.009288,-0.0003,-0.000616,0.01037,0.01785,-0.010615,-0.003968,-0.009434,-0.001305,-0.004618,0.008762,0.00525,-0.000426,-0.006116
47896,413263232.23515,JPMORGAN CHASE & CO,-0.011833,0.012067,0.022754,0.002136,0.024776,0.012738,0.002738,0.006144,0.019676,-0.0089,-0.004951,0.010036,-0.003173,-0.004021,-0.000168,-0.013038,0.00571,-0.00822,0.005896,-0.000255,-0.018183,-0.019905,-0.001413,0.02166,-0.002181,-0.022296,0.007244,0.014028,0.016899,0.002669,0.030142,-0.002334,0.005598,0.001745,0.024801,0.010036,0.002644,-0.000719,0.007998,0.003809,-0.000632,-0.005537,-0.006442,0.023055,0.007981,0.002174,0.001549,0.005414,0.002923,-0.003528,-0.00585,-0.005265,0.000934,0.007232,0.008415,-0.000306,-0.007275,0.002314,0.006619,0.005352,0.001369,0.002962,-0.002272
90319,390741869.53116,ALPHABET INC,-0.017622,0.010876,0.025307,-0.004842,-0.00087,0.000357,0.01186,0.012271,0.004097,-0.006774,-0.001421,0.002252,0.004949,-0.007193,0.003944,-0.01325,0.022662,-0.002929,-0.013153,-0.003923,-0.012398,-0.023284,0.009771,0.018101,-0.002238,-0.014997,0.01031,0.00588,0.005159,0.001695,0.020094,0.000612,0.007884,-0.006697,-0.000104,-0.002475,0.013237,0.001177,0.004122,0.019521,-0.021971,3.2e-05,-0.001507,0.010685,0.013645,0.001419,-0.000333,0.012339,0.001576,-0.008189,-0.000824,-0.000794,0.010006,0.01863,-0.010274,-0.005493,-0.008175,-0.001321,-0.004976,0.009253,0.005637,-0.000663,-0.006127
22111,361856107.59872,JOHNSON & JOHNSON,0.00296,0.000932,-0.002173,-0.002878,-0.009828,0.020481,0.012505,-0.005642,0.002683,-0.009482,0.001004,0.005707,-0.0023,0.011836,0.000684,-0.001442,-0.004257,-0.016337,-0.00194,0.006065,0.004715,0.015463,-0.006136,0.018828,-0.003741,-0.009913,-0.019873,-0.001238,0.017589,-0.004645,0.016218,0.01754,0.007398,-0.062202,0.002506,0.009217,0.005418,-0.018476,0.006667,0.006467,-0.00043,0.028775,-0.006022,-0.006362,-0.007393,0.001459,0.004141,0.003589,0.011946,-0.007669,-0.004773,-0.000609,-0.002362,0.030391,-0.000815,-7.4e-05,0.008307,0.003678,0.011947,0.000434,-7.3e-05,0.004228,-0.001887
14888,342646400.0,ALIBABA GROUP HOLDING LTD,-0.014969,0.011136,0.026444,-0.012574,0.006169,-0.015694,0.006286,0.01221,0.005218,-0.011721,0.0109,0.005587,0.002556,0.01136,-0.0303,-0.030681,0.029787,-0.009397,-0.051543,0.007531,-0.012438,0.003754,0.02238,0.005074,-0.011859,-0.037964,0.020132,0.005327,0.041368,-0.010293,0.024129,0.01044,-0.001524,-0.043653,0.025956,-0.02092,0.000177,0.015478,0.0102,0.02507,-0.010018,0.003618,-0.004844,-0.001189,0.018304,0.012856,0.011868,0.013575,0.002679,-0.002404,0.001393,-0.024015,0.001754,0.014716,-0.004744,0.003467,-0.015655,0.013765,0.010386,0.019649,0.022316,0.031433,-0.004083
55976,338725781.56,WALMART INC,0.003326,0.011078,-0.004055,-0.00615,0.013946,-0.002407,-0.000259,0.007757,0.004362,-0.015839,0.008134,0.005579,-0.000427,-0.00111,0.005471,0.006632,0.000591,-0.001435,0.001268,0.001942,-0.006994,-0.01468,0.001636,0.015906,-0.007871,0.002986,0.011482,0.005718,0.005267,-0.008899,0.003021,-0.00092,0.003517,-0.005841,0.005036,-0.001336,-0.001923,-0.002095,-0.000504,0.001512,-0.017363,0.008109,-0.007113,0.00307,-0.000425,0.010972,0.005384,0.006109,-0.006571,-0.003349,0.000672,0.015615,-0.002728,-0.014753,0.011609,-0.002994,-0.006339,0.006128,-0.004172,-0.003686,0.00227,-0.003608,0.002779
