permno,mkt_cap,asset_name,2017-02-01,2017-02-02,2017-02-03,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-27,2017-02-28,2017-03-01,2017-03-02,2017-03-03,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-10,2017-03-13,2017-03-14,2017-03-15,2017-03-16,2017-03-17,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-27,2017-03-28,2017-03-29,2017-03-30,2017-03-31,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28
88351,1145560.5,INSMED INC,0.02302,0.031767,0.010263,0.003175,-0.01962,-0.02776,0.033201,0.003213,-0.01025,0.007767,-0.010918,-0.027273,0.03004,-0.031108,-0.026756,-0.047423,0.03824,0.070883,0.033744,0.033898,-0.003036,-0.001218,-0.009756,-0.022783,0.015753,0.004963,0.008025,-0.008573,-0.027795,0.027954,-0.016687,0.010057,0.01369,-0.05709,-0.007812,0.026903,0.010224,0.055661,0.004793,0.035182,-0.010945,0.019802,-0.006282,-0.007471,-0.027215,0.001786,0.0,-0.006536,0.004187,0.005956,0.007105,0.012934,0.033662,0.025267,0.004381,-0.006543,0.012624,0.042276,-0.00572,-0.018306,-0.017049
86382,1145377.8499999999,FIRST BUSEY CORP,-0.008205,0.005515,0.015427,-0.009791,-0.008524,0.002407,0.018525,0.007073,0.008696,0.015584,-0.003918,0.007866,0.010081,0.003864,0.004811,0.003192,-0.0035,-0.001916,-0.010877,0.027814,-0.028005,-0.00777,-0.006852,-0.005913,-0.013549,-0.00268,0.002015,0.012404,0.004636,-0.004614,0.009934,0.008197,-0.00813,-0.056721,-0.013903,0.021502,-0.003451,-0.005886,0.010101,-0.01069,0.031718,-0.006757,-0.012925,0.000689,-0.018251,0.00456,0.004888,-0.011466,0.013708,-0.01595,-0.011628,0.016399,0.009821,0.001389,0.034555,0.01417,0.008317,0.008908,0.034009,-0.030044,-0.023476
78137,1142877.96,SEACOR HOLDINGS INC,0.00299,-0.007454,0.029083,-0.010216,-0.023056,-0.006723,0.005664,0.009753,0.005986,0.003381,-0.016038,-0.023421,-0.0108,0.010067,-0.012774,-0.000995,-0.004128,0.005717,-0.0216,0.040668,-0.035869,-0.009699,-0.006286,-0.014122,-0.011638,-0.00151,0.003931,-0.001958,-0.011317,-0.001068,0.000611,0.019392,0.004044,-0.013874,-0.015885,0.015373,-0.00545,-0.002588,0.02793,0.007572,0.005747,0.013773,-0.041769,-0.003922,-0.020896,0.013919,-0.011898,0.012967,0.009905,-0.022031,-0.014041,0.004069,0.005143,-0.002171,0.012898,-0.003068,0.025085,0.017115,0.009594,-0.015059,-0.025382
77217,1140701.8499999999,WISDOMTREE INVESTMENTS INC,-0.006796,-0.001955,-0.123408,-0.031285,0.038062,-0.032222,-0.005741,0.010393,-0.004571,0.015064,0.018265,-0.013453,0.028409,0.01326,0.001091,0.0,-0.014161,0.029834,-0.022532,0.041712,0.004215,-0.032529,-0.006508,0.007642,0.011918,-0.01606,-0.022851,0.004454,0.007761,0.007701,0.022926,-0.035219,-0.00885,-0.034598,0.0,-0.010405,0.003505,-0.003492,0.025701,-0.002278,0.018265,0.017937,-0.017621,0.008969,-0.022222,0.020455,0.007795,0.005525,-0.058242,0.015169,-0.055172,0.009732,0.009639,0.00716,0.023697,-0.010417,0.037427,-0.020293,-0.011507,-0.025611,-0.002389
76568,1140572.16,SONIC CORP,0.000402,0.008832,0.008755,-0.003156,0.001592,0.007151,0.02643,0.014988,0.00833,0.000376,-0.004504,-0.008673,0.011411,0.013539,-0.012616,-0.03307,-0.006607,0.011346,-0.02205,0.009494,-0.005486,-0.008274,-0.023838,-0.01628,-0.019446,-0.01519,0.008997,-0.004246,0.005117,0.005516,0.0,0.003376,-0.029437,-0.016464,0.000881,0.016725,-0.004329,0.015217,0.024411,0.054348,-0.005551,0.011164,-0.009069,-0.002786,0.023145,0.00468,0.001941,0.003487,-0.009266,-0.017147,-0.034496,-0.002053,-0.004115,0.002066,0.001237,0.025947,0.07226,0.007862,0.003343,0.002221,-0.007019
15351,1140233.1500000001,FORTRESS TRANS AND INFR INV LLC,0.012952,0.01817,-0.008592,0.004,-0.00996,0.004024,0.000668,0.014019,-0.004608,-0.006614,0.007324,-0.005948,0.003324,0.010603,0.00459,0.015666,0.001928,0.003849,-0.019808,0.014342,-0.013496,0.010423,-0.002579,0.009696,0.0,0.008502,-0.018807,-0.027759,-0.006118,0.012312,0.008108,0.010054,-0.007963,-0.000669,-0.001339,0.003351,0.000668,-0.004005,0.005362,0.002,0.001996,-0.00996,0.002683,0.003344,0.004667,0.002654,0.009265,-0.000656,-0.001312,-0.001971,-0.005267,-0.046327,0.019431,0.013615,0.002015,0.004021,0.011349,0.0,0.006601,-0.007869,-0.005288
79767,1138728.37,ENEL AMERICAS S A,0.008859,0.013172,0.019502,0.001063,0.007431,0.009484,0.006263,0.001037,0.013472,-0.001022,0.003071,0.004082,-0.003049,0.002039,-0.009156,0.002053,-0.014344,0.004158,0.009317,-0.001026,-0.010267,0.008299,0.013375,-0.003046,-0.002037,-0.003061,-0.001024,0.019467,-0.029146,0.020704,0.010142,0.004016,-0.002,0.012024,-0.004951,0.00199,0.009931,0.003933,0.054848,-0.003714,-0.021435,-0.010476,0.012512,0.002852,0.0,0.004739,-0.012264,0.005731,-0.001899,-0.00666,0.006705,0.015224,-0.008435,-0.012287,-0.004785,0.006731,-0.00382,-0.005753,-0.029894,-0.015905,0.00101
16156,1137347.31,OSISKO GOLD ROYALTIES LTD,0.017273,0.004468,0.010676,0.03169,0.009386,0.008453,-0.026823,0.008613,-0.011102,-0.000864,0.005186,0.022356,-0.013457,-0.018755,-0.00695,0.000875,-0.01486,-0.041704,0.016667,0.020037,-0.033036,0.012004,-0.033759,-0.00661,-0.008555,-0.006711,0.027027,0.026316,-0.019231,0.041083,0.011659,-0.030142,0.032907,0.00177,0.004417,-0.008795,-0.007099,0.028597,-0.023458,0.000897,-0.008021,-0.002695,-0.000901,0.007214,0.008953,0.001775,-0.009743,0.002683,0.011597,0.014109,-0.02,0.0,0.021296,-0.024327,-0.003562,-0.006256,-0.013489,-0.042844,-0.000952,0.006673,0.010417
12314,1136571.0999999999,VANGUARD SCOTTSDALE FUNDS,0.00243,-0.000539,0.005658,-0.000893,0.002235,0.002943,0.005336,0.002919,0.004145,0.003777,0.00595,-0.001131,0.002525,0.004864,-0.000173,-0.001729,0.003335,0.002029,-0.003532,0.011844,-0.004272,0.00103,-0.003086,-0.003181,0.001898,-0.000431,0.004307,0.001715,-0.002997,0.007299,-0.001023,-0.000171,-0.000256,-0.011696,0.003455,-0.001727,0.000433,-0.000173,0.00614,0.002665,0.001029,-0.000599,-0.001971,-0.001116,-0.002665,0.002672,-0.00043,0.000946,-0.001289,-0.003527,-0.004489,0.008238,-0.00129,0.000344,0.008178,-0.001622,0.009921,0.006267,0.000421,0.003701,-8.4e-05
46463,1134384.0,GRIFFON CORP,0.007859,-0.035088,0.016162,-0.013917,0.004032,-0.004016,0.004032,0.016064,-0.001976,0.005941,0.005906,-0.003914,-0.007859,0.010297,0.0,-0.009823,0.0,0.017857,-0.019493,0.019881,-0.017544,-0.019841,-0.016194,-0.010288,-0.012474,-0.006316,0.012712,0.012552,-0.006198,0.002079,-0.002075,0.027027,-0.008097,-0.032653,-0.004219,0.016949,0.00625,-0.008282,-0.006263,0.004202,0.023013,0.00818,-0.03854,0.0,0.0,-0.00211,-0.014799,0.006438,0.0,-0.025586,-0.017506,0.006682,0.015487,0.010893,0.006466,0.010707,0.025424,0.016529,0.014228,-0.008016,-0.030303
