permno,mkt_cap,asset_name,2015-07-01,2015-07-02,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-31,2015-09-01,2015-09-02,2015-09-03,2015-09-04,2015-09-08,2015-09-09,2015-09-10,2015-09-11,2015-09-14,2015-09-15,2015-09-16,2015-09-17,2015-09-18,2015-09-21,2015-09-22,2015-09-23,2015-09-24,2015-09-25,2015-09-28,2015-09-29,2015-09-30
14593,629010236.6,APPLE INC,0.009368,-0.001264,-0.00348,-0.00246,-0.024823,-0.020397,0.026734,0.019306,-0.000398,0.009633,0.013326,0.008637,0.018902,-0.009995,-0.042294,-0.000479,-0.005273,-0.013896,0.004969,-0.003161,-0.005041,-0.008744,-0.023578,-0.032084,0.006629,0.002166,0.003387,0.036357,-0.052038,0.01542,-0.000781,0.007034,0.010348,-0.005633,-0.01279,-0.02052,-0.061163,-0.024962,0.006012,0.057355,0.029447,0.003277,-0.004678,-0.044697,0.042889,-0.017536,-0.009967,0.027821,-0.019232,0.02197,0.014569,0.009631,0.008412,0.001118,-0.02139,-0.004126,0.015514,-0.01571,0.008113,0.005948,-0.002522,-0.019789,-0.030061,0.01137
10107,353460360.0,MICROSOFT CORP,0.006682,-0.001012,-0.000225,-0.002027,-0.001354,0.006329,0.002022,0.020847,0.001757,0.003069,0.019668,-0.000857,0.006435,0.007673,-0.036802,0.012517,-0.003687,-0.012843,-0.00022,0.020953,0.012746,-0.00384,0.002355,0.015595,0.000841,-0.020177,0.002574,0.012623,-0.019438,0.007111,-0.000214,0.005778,0.006809,0.005495,-0.013962,-0.020382,-0.056724,-0.032273,-0.029031,0.05535,0.027862,0.000683,-0.009333,-0.039063,0.036825,0.003229,-0.02046,0.03004,-0.018683,0.005108,0.004389,-0.01012,0.02184,0.007276,-0.001129,-0.017401,0.014489,-0.004761,-0.000683,0.000912,0.000683,-0.014793,0.003465,0.018877
11850,309998533.15,EXXON MOBIL CORP,-0.009976,0.009348,-0.007337,0.00412,-0.01086,-0.004514,0.007598,0.002432,0.008372,-0.004211,0.001812,-0.003618,-0.010289,-0.001223,0.001592,-0.007947,-0.014789,-0.008506,0.040626,0.008002,-0.001564,-0.045778,-0.014518,-0.011402,0.0,0.011922,-0.016135,0.02499,-0.00673,0.016776,-0.001777,-0.003687,0.005232,-0.011045,-0.021438,-0.021776,-0.032721,-0.047276,-0.000146,0.055159,0.032414,0.002939,0.002265,-0.041999,0.015955,0.007647,-0.018024,0.014353,-0.020408,0.007222,0.002344,-0.002751,0.005104,0.019764,0.002153,-0.023905,0.009769,-0.008857,-0.006049,0.005947,0.006875,-0.008603,0.005096,0.018912
38703,263597984.65,WELLS FARGO & CO NEW,0.011913,-0.002987,-0.005287,-0.003366,-0.017778,0.004525,0.010451,0.011769,0.008988,0.009258,0.00675,-0.003954,0.001899,-0.001723,0.009836,-0.005297,-0.007387,-0.003288,-0.003299,0.009756,0.003278,-0.004815,0.000691,-0.001554,0.003546,-0.002082,-0.001043,0.008178,-0.012599,-0.008565,0.002997,0.007734,0.000349,0.003313,-0.008342,-0.016474,-0.038311,-0.050398,-0.024,0.045582,0.033078,-0.009069,-0.003922,-0.043878,0.019612,0.008463,-0.021743,0.031975,-0.013981,0.00709,0.001142,0.002851,0.013265,0.004676,-0.028109,-0.02241,0.009992,-0.016683,0.001776,-0.004529,0.018398,-0.021562,0.010324,0.009039
22111,258496045.1,JOHNSON & JOHNSON,0.010363,-0.000305,-0.002438,0.007332,-0.011626,0.006444,0.011484,0.007435,-0.004887,0.006414,0.006871,-0.010187,0.002898,-0.000299,-0.001595,0.0002,-0.010479,-0.008775,0.007529,0.00717,0.001103,0.003706,-0.001896,-0.0022,0.007214,-0.014425,-0.002221,0.009509,-0.007816,-0.00303,-0.00233,0.003351,0.010728,-0.005007,-0.000604,-0.005236,-0.025104,-0.028673,-0.022517,0.048275,0.011671,-0.010913,-0.012504,-0.020111,0.013682,-0.007606,-0.014357,0.028803,-0.01831,0.005422,0.002265,0.004197,0.011573,0.002225,0.002431,-0.015289,-0.002784,0.001181,-0.002681,-0.005484,-0.016004,0.004066,0.018277,0.003332
12060,254631939.38,GENERAL ELECTRIC CO,0.003387,0.004501,-0.017551,0.006081,-0.021912,0.005021,0.009608,0.007613,0.007178,0.004126,0.010086,0.007396,-0.003671,-0.010685,-0.008194,-0.013894,-0.019421,0.007767,0.00578,0.00613,-0.005331,-0.000766,-0.008812,0.00116,0.007722,-0.002682,-0.00922,0.017449,-0.020198,0.005834,-0.002707,0.011245,0.004985,-0.005341,-0.013042,-0.020987,-0.023819,-0.02928,-0.025136,0.031801,0.041649,0.005998,-0.013514,-0.037873,0.028895,-0.002442,-0.020808,0.04,-0.016426,0.005295,0.01094,-0.007214,0.021397,0.024901,-0.013498,-0.021696,0.011694,0.000797,0.001195,-0.009149,0.000401,-0.024478,0.010695,0.026455
84788,240076414.69,AMAZON COM INC,0.007602,0.000732,-0.003815,0.001559,-0.016074,0.010915,0.020995,0.027192,0.021951,-0.009408,0.030985,0.015837,0.010538,-0.000205,0.000553,-0.012473,0.097972,0.003759,-0.010124,0.005646,0.014669,-0.001136,-0.002089,-0.00585,0.009607,-0.014059,-0.012919,0.002641,0.006603,-0.002939,0.007131,0.003512,0.006961,-0.000374,-0.003925,-0.032162,-0.041316,-0.062896,0.006474,0.073761,0.035146,-0.000694,-0.009884,-0.031878,0.028215,-0.011419,-0.011333,0.037154,-0.001256,0.01035,0.013787,-0.015224,0.001899,0.00961,0.021768,0.00258,0.015048,-0.018217,-0.004328,-0.004328,-0.017799,-0.038512,-0.015851,0.031891
47896,225471144.99,JPMORGAN CHASE & CO,0.011068,-0.00808,-0.002814,-0.007872,-0.020509,0.010393,0.014219,0.015511,0.013952,0.002173,0.005348,-0.005032,0.000722,-0.00231,0.014182,-0.006279,-0.010482,-0.013061,0.000588,0.013079,0.001451,-0.007387,0.0,-0.001021,0.003944,-0.006984,-0.00293,0.012344,-0.00958,-0.01451,0.00461,0.005033,0.002651,0.002057,-0.008943,-0.024556,-0.035487,-0.052673,-0.005643,0.050075,0.024956,-0.005428,-0.000468,-0.041342,0.018226,0.001758,-0.018826,0.026992,-0.015516,0.00772,-0.001596,-0.002877,0.019237,0.008808,-0.02323,-0.027295,0.008369,-0.008788,-0.004433,-0.006926,0.020757,-0.02424,-0.002334,0.018884
14542,210202410.47022,GOOGLE INC,0.002555,0.002989,-0.001032,0.004131,-0.015599,0.007449,0.018149,0.030974,0.026622,-0.001568,0.03504,0.160524,-0.014727,-0.001086,-0.000302,-0.026914,-0.03216,0.005934,0.00118,0.006258,0.001044,-0.011034,0.008951,-0.003105,0.023091,-0.001709,-0.011483,-0.002471,0.042684,-0.001846,-0.004715,0.001021,0.005707,-0.007172,0.00727,-0.021289,-0.053105,-0.03734,-0.012805,0.079992,0.014301,-0.011339,-0.019242,-0.033093,0.027685,-0.013169,-0.009155,0.02324,-0.003156,0.014085,0.007114,-0.004043,0.019094,0.001322,0.010881,-0.021232,0.009837,-0.020065,-0.00053,0.005527,-0.0221,-0.02791,0.000134,0.022606
55976,207873279.28,WAL MART STORES INC,0.013393,-0.000278,0.009324,0.017372,-0.009893,-0.003832,0.004672,0.010394,-0.001218,-0.001897,0.002444,-0.00596,-0.003952,-0.004925,0.005774,-0.008885,-0.012826,-0.002794,0.010087,0.001803,-0.000969,-0.002494,0.002779,0.00097,0.024222,-0.009795,-0.021157,0.003228,0.006295,0.009037,-0.006476,0.003744,-0.006493,-0.033792,-0.013097,-0.002042,-0.02762,-0.038924,-0.013292,0.027417,0.019281,-0.017252,-0.003234,-0.014059,0.009715,0.006518,-0.014955,0.038973,-0.018982,-0.015356,0.008266,-0.005723,0.000622,0.005753,-0.003401,-0.017528,0.005999,-0.00204,0.002044,0.001726,-0.000783,-0.001881,0.001885,0.01662
