permno,mkt_cap,asset_name,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-22,2017-05-23,2017-05-24,2017-05-25,2017-05-26,2017-05-30,2017-05-31,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-07,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-15,2017-06-16,2017-06-19,2017-06-20,2017-06-21,2017-06-22,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30
14593,744552003.6400001,APPLE INC,0.000278,0.007446,-0.005181,-0.0025,-0.002228,-0.001186,-0.010756,0.0012,-0.005289,0.00553,-0.004442,-0.003683,0.012511,-0.001193,0.00963,0.006196,-0.005881,0.000766,-0.000974,0.020397,0.006345,-0.003051,-0.003604,0.016584,0.027188,0.006405,-0.004741,0.008613,0.013966,-0.002563,-0.001477,-0.033576,0.015241,0.003409,0.006076,-0.001234,-0.002991,0.003456,-0.00169,0.000391,-0.005922,0.002749,0.014819,-0.009778,0.003378,0.005957,-0.002446,-0.038777,-0.023896,0.008046,-0.009755,-0.005993,-0.014,0.028608,-0.009088,0.005931,-0.001645,0.004463,-0.003145,-0.014333,0.014611,-0.014743,0.002366
10107,531312440.00000006,MICROSOFT CORP,-0.004707,0.002746,-0.002586,0.002593,-0.000761,-0.002284,-0.000763,-0.003818,-0.004293,0.00816,-0.001375,-0.005352,0.007073,0.013741,0.017018,0.005775,-0.001325,0.006487,0.002783,0.013877,-0.001585,-0.003175,-0.003909,0.002761,-0.00087,0.001451,0.003911,-0.012264,-0.001169,0.000731,0.020021,-0.027806,0.003408,-0.000295,0.011228,0.00336,0.00131,0.01236,0.004884,0.006432,-0.008096,0.003723,0.023681,0.007246,0.00332,-0.001793,-0.006078,-0.022655,-0.007679,0.012468,-0.005379,-0.005265,0.001431,0.012429,-0.013546,0.005149,-0.000142,0.013521,-0.009549,-0.018715,0.008525,-0.018768,0.006424
84788,464640000.0,AMAZON COM INC,0.005606,0.017184,0.002702,-0.012098,-0.003785,0.013588,-0.00516,-0.006793,-0.012899,0.019578,0.001985,-0.005068,0.003181,-0.003913,0.009883,0.000231,0.00184,0.009997,0.007197,0.025125,-0.00136,-0.006241,-0.003719,-0.003605,0.01594,0.003983,-0.004062,-0.001402,0.014489,-0.003516,0.008455,-0.022058,0.014533,0.001409,0.011283,0.000896,0.009068,0.013291,0.002416,0.000924,-0.002087,0.001337,0.010824,0.004579,-0.008247,0.007049,0.000198,-0.031635,-0.013697,0.016458,-0.004405,-0.012596,0.024415,0.007553,-0.002592,0.009712,-0.000928,0.002437,-0.009724,-0.017304,0.013872,-0.014541,-0.008126
13407,357671620.0,FACEBOOK INC,0.001619,-0.003866,0.000847,-0.004794,-0.002763,0.001847,-0.007941,-0.00243,-0.001361,0.014563,-0.003253,0.009293,0.010754,-0.000835,0.012458,0.007012,0.000478,0.007778,0.017265,0.014709,0.002099,-0.006414,-0.006258,-0.004044,0.005458,-0.00384,-0.001263,-0.001663,0.001933,-0.000931,-0.00273,-0.032915,0.019399,0.002709,0.001216,-0.001147,0.013304,0.012797,0.001119,0.001643,-0.006038,0.000462,0.013727,0.00013,-0.005338,0.002029,0.010384,-0.03303,-0.007754,0.01509,-0.002854,-0.002995,0.005607,0.014804,-0.004056,0.010903,-0.003314,0.010887,-0.009544,-0.019598,0.017665,-0.014357,-0.000397
22111,356367140.63167,JOHNSON & JOHNSON,0.001124,-8e-05,0.000962,0.002003,-0.00104,-0.004643,-0.000965,0.009499,-0.00327,0.00584,-0.031021,-0.003694,0.00412,-0.000903,0.009281,0.004394,0.000648,0.001862,-0.002182,-0.001053,0.002919,-0.002991,0.005027,-0.00355,-0.002105,-0.000325,-0.003247,0.003176,0.003571,0.027095,0.006142,-0.008609,0.002368,0.000236,0.002047,0.002043,-7.8e-05,0.006745,-0.004783,0.001497,0.008969,0.004133,0.010095,0.002153,0.003605,-0.000611,-0.00153,0.007507,0.002205,0.001517,0.005681,0.002034,0.009847,-0.002084,0.001119,0.005141,0.00845,0.002793,-0.00066,-0.009755,-0.008814,-0.008818,-0.002639
11850,342074484.18,EXXON MOBIL CORP,0.000732,0.003655,0.001942,0.005816,-0.003012,0.004471,-0.003489,0.001569,-0.015427,-0.001347,-0.006497,-0.006909,0.00646,-0.00395,0.005205,0.007644,-0.004038,-0.00172,0.004799,0.005021,-0.000122,0.007922,-0.012817,0.004655,0.010607,-0.006997,0.004495,0.008546,-0.000726,0.003028,-0.003019,-0.006784,-0.002927,0.002202,0.004394,0.003524,-0.003512,-0.006562,-0.002446,-0.005518,-0.007398,0.002484,-0.01487,0.007799,0.013605,-0.003694,-0.003584,0.01873,0.009741,0.000362,-0.010728,0.002315,0.014953,-0.008744,-0.005437,-0.01057,-0.00442,0.006537,-0.004534,-0.0016,0.005178,-0.01018,0.000372
47896,324726285.6,JPMORGAN CHASE & CO,-0.003643,0.003314,-0.012828,0.003365,-0.003469,-0.003481,-0.001747,-0.003849,-0.01171,0.017299,-0.008153,-0.00822,0.012906,-0.01204,0.035258,0.008686,0.001926,-0.009273,-0.006963,0.00069,-0.006432,0.00578,0.001149,-0.001148,0.001149,-0.004018,0.007839,-0.003088,-0.002754,0.004832,0.003091,-0.038124,-0.003679,0.009767,-0.000944,0.012515,-0.000583,-0.0042,0.000117,-0.017104,-0.020858,0.011077,-0.005057,0.001815,0.002053,0.011451,0.012394,0.023661,0.00023,0.003334,-0.002063,-0.005971,-0.004505,0.021931,-0.006245,-0.00457,-0.001148,-0.001839,0.004375,0.009285,0.020102,0.014807,0.002743
14542,315994493.40536,ALPHABET INC,0.010837,-0.004746,-0.003786,-0.004246,-0.003877,7.3e-05,-0.001673,0.001178,-0.000922,0.016526,-0.000418,0.001661,0.004104,0.00183,0.02321,0.011058,-0.000653,0.002891,0.036271,0.007296,0.004241,0.011567,0.004984,-0.004862,0.007734,-0.00228,-0.003637,0.00196,0.001741,0.005213,0.006317,-0.024793,0.011548,0.004053,0.008405,0.00739,0.006471,0.015268,0.001991,0.00454,-0.011292,0.002166,0.008946,0.008282,-0.007228,0.004618,0.002375,-0.034146,-0.007296,0.011136,-0.002769,-0.008888,-0.002685,0.018717,-0.00704,0.009278,-0.00246,0.008881,-0.013795,-0.02619,0.014191,-0.024136,-0.009872
90319,277084613.25957,ALPHABET INC,0.010557,-0.004879,-0.004293,-0.004494,-0.003544,-0.000475,-0.002162,0.001881,-0.001521,0.017794,-0.001333,0.002951,0.004168,-0.001314,0.023261,0.011275,0.000338,0.002587,0.037109,0.008978,0.004578,0.012123,0.006611,-0.004651,0.00885,-0.002065,-0.001955,0.0011,-0.000785,0.004272,0.005619,-0.023263,0.008841,0.004366,0.009867,0.006721,0.007274,0.014576,0.001422,0.00292,-0.009115,0.001216,0.007923,0.00779,-0.007172,0.004926,0.002686,-0.034015,-0.008566,0.009035,-0.002648,-0.008007,-0.001625,0.017317,-0.006388,0.009907,-0.002013,0.009697,-0.014198,-0.024689,0.013627,-0.024131,-0.00868
38703,276901390.38,WELLS FARGO & CO NEW,-0.003054,-0.005226,-0.003986,0.007093,-0.009572,-0.00547,-0.006967,-0.019202,-0.033321,0.02668,-0.005121,-0.00572,0.025887,-0.009346,0.012264,0.016962,-0.000367,-0.001834,-0.011021,0.011516,0.001469,0.012651,0.006016,-0.001269,-0.00127,-0.006541,0.000732,-0.017909,-0.013398,0.005658,-0.001125,-0.019151,0.00268,0.012982,-0.000942,0.007168,-0.005619,-0.005839,-0.00701,-0.00477,-0.019555,0.018381,-0.005184,-0.001737,0.00174,0.005404,0.009023,0.023592,0.00539,0.006656,0.001469,-0.011553,-0.000186,0.006495,-0.014381,-0.008979,-0.009249,-0.000762,0.00858,0.004915,0.022009,0.026689,-0.006633
