permno,mkt_cap,asset_name,2016-07-01,2016-07-05,2016-07-06,2016-07-07,2016-07-08,2016-07-11,2016-07-12,2016-07-13,2016-07-14,2016-07-15,2016-07-18,2016-07-19,2016-07-20,2016-07-21,2016-07-22,2016-07-25,2016-07-26,2016-07-27,2016-07-28,2016-07-29,2016-08-01,2016-08-02,2016-08-03,2016-08-04,2016-08-05,2016-08-08,2016-08-09,2016-08-10,2016-08-11,2016-08-12,2016-08-15,2016-08-16,2016-08-17,2016-08-18,2016-08-19,2016-08-22,2016-08-23,2016-08-24,2016-08-25,2016-08-26,2016-08-29,2016-08-30,2016-08-31,2016-09-01,2016-09-02,2016-09-06,2016-09-07,2016-09-08,2016-09-09,2016-09-12,2016-09-13,2016-09-14,2016-09-15,2016-09-16,2016-09-19,2016-09-20,2016-09-21,2016-09-22,2016-09-23,2016-09-26,2016-09-27,2016-09-28,2016-09-29,2016-09-30
14593,609163481.15,APPLE INC,0.003033,-0.009386,0.005685,0.004292,0.007713,0.003103,0.004537,-0.005646,0.01982,-0.000101,0.01063,0.000401,0.000901,-0.005302,-0.007744,-0.013379,-0.006883,0.064963,0.013502,-0.001246,0.017657,-0.014804,0.012538,0.006144,0.015207,0.008281,0.00406,-0.007444,-0.000648,0.002316,0.012017,-0.000913,-0.001463,-0.001282,0.002567,-0.007772,0.003133,-0.007533,-0.004258,-0.005857,-0.001122,-0.007676,0.000943,0.005938,0.009369,-0.000279,0.006128,-0.026209,-0.02265,0.022399,0.023805,0.035387,0.033998,-0.005624,-0.01166,-8.8e-05,-0.000176,0.009423,-0.016664,0.001508,0.00186,0.007605,-0.015533,0.007755
10107,448112851.2,MICROSOFT CORP,-0.000195,0.000195,0.004104,0.0,0.017906,0.005545,0.011789,0.005638,0.004298,-0.000744,0.004842,-0.016123,0.053117,-0.001967,0.013799,0.002828,0.000529,-0.010042,0.000356,0.008362,-0.001764,0.0,0.006893,0.007372,0.009932,0.001725,0.002411,-0.003093,0.004826,-0.006175,0.003107,-0.005506,0.002089,0.000695,0.000347,0.000868,0.003815,0.001036,0.003796,-0.002407,0.001206,-0.003614,-0.007428,0.002262,0.001389,-0.00104,0.000868,-0.003989,-0.021243,0.014944,-0.009115,-0.004776,0.01653,0.001049,-0.00559,-0.002108,0.016722,0.001039,-0.006745,-0.009229,0.018453,0.00138,-0.010856,0.003484
84788,397722250.0,AMAZON COM INC,0.014058,0.003335,0.013061,-0.00141,0.012545,0.010686,-0.007389,-0.007458,-0.001926,-0.007771,0.000857,0.005271,0.007798,-0.00173,0.000578,-0.007048,-0.005435,0.001468,0.021638,0.008238,0.011768,-0.009326,-0.00781,0.008123,0.006848,0.000757,0.002283,0.000325,0.003487,0.001712,-0.005268,-0.005791,0.000772,-0.000222,-0.009353,0.002865,0.003911,-0.00682,0.002601,0.012882,0.002978,-0.00481,0.002058,0.001898,0.002362,0.02127,-0.005565,-0.000535,-0.030508,0.014931,-0.013584,0.000105,0.0113,0.011472,-0.004393,0.006606,0.012202,0.018943,0.001305,-0.008179,0.02121,0.015451,0.000398,0.009963
11850,361919612.0,EXXON MOBIL CORP,0.001067,-0.008738,0.011503,-0.01201,0.006239,0.003742,0.01129,-0.000737,0.000738,0.00179,-0.003154,-0.003691,-0.005716,-0.000852,0.001705,-0.019253,-0.007267,-0.006774,-0.00781,-0.013858,-0.034739,0.013743,0.00517,-0.000114,0.000914,0.011763,0.001242,-0.017362,0.003588,0.01303,-0.000455,0.001253,0.002161,0.00908,-0.012485,0.002164,-0.003068,0.00342,-0.006362,-0.002172,0.006531,-0.003643,-0.004342,-0.003443,0.006679,0.013155,-0.003726,0.00918,-0.024818,0.005182,-0.023829,-0.007159,0.005674,-0.012341,-0.00238,-0.015388,0.009208,0.002881,-0.001077,-0.004673,0.002167,0.043969,-0.005063,0.009484
22111,323189150.01,JOHNSON & JOHNSON,-8.2e-05,0.00808,0.003026,-0.00106,0.002775,0.000651,-8.1e-05,0.000651,0.001463,-0.001461,0.001138,0.017135,-0.000878,8e-05,-0.000959,-0.00112,0.002082,-0.003036,-0.002485,0.006187,0.001357,-0.004386,-0.007609,-0.000323,0.003068,-0.004749,-0.001779,-0.000567,0.003324,-0.004444,-0.007385,-0.016188,0.008144,-0.004864,0.0,-0.006588,0.002602,-0.006112,-0.001179,0.003964,0.007392,-0.003752,-0.001088,-0.002179,0.002015,0.003604,-0.001169,-0.00117,-0.010379,0.007866,-0.013008,0.002126,0.006533,-0.003203,-0.004989,0.002465,0.008139,0.004625,-0.005441,-0.008669,0.012226,0.001426,-0.017757,0.007334
13407,298997370.0,FACEBOOK INC,-0.000788,-0.001664,0.023684,-0.007284,0.011998,0.005374,0.000509,-0.009752,0.004367,-0.003666,0.021479,0.010388,0.010861,-0.010745,0.003234,0.005207,-0.003371,0.017489,0.013459,-0.00848,0.002985,-0.009814,-0.004712,0.015101,0.006353,0.000879,-0.001597,-0.001439,0.00016,-0.00016,-0.007848,-0.004843,0.008678,-0.003699,-0.002825,0.004775,0.001772,-0.007156,0.00332,0.008637,0.012644,-0.005532,0.002225,0.000396,0.002695,0.025453,0.010175,-0.005952,-0.024334,0.01251,-0.011501,0.004402,0.004539,0.00561,-0.003254,-7.8e-05,0.010106,0.001077,-0.016298,-0.00508,0.01084,0.004196,-0.008821,0.001405
14542,268193025.53928,ALPHABET INC,0.010273,-0.006751,0.004723,-0.003454,0.014769,0.013407,0.007761,-0.005079,0.005537,-0.001526,0.019351,0.004334,0.00574,-0.003454,0.005564,-0.003999,-0.001825,0.004537,0.005581,0.030674,0.00532,-0.002342,0.002736,-0.002031,0.013751,-0.000588,0.003198,0.000536,0.000217,-0.002077,-0.000996,-0.006774,0.003564,-0.00309,-0.002675,-0.004217,-9.1e-05,-0.00316,-0.000299,0.000169,0.003392,-0.003963,-0.002653,0.002255,0.003486,0.011174,0.000346,-0.006446,-0.020198,0.012321,-0.012132,0.003686,0.012158,-0.003732,-0.004136,0.007457,0.006235,0.014158,-0.000394,-0.016127,0.011366,-0.001852,-0.008381,0.002942
12060,265431721.46,GENERAL ELECTRIC CO,0.000318,-0.00127,0.009221,0.00252,0.011942,0.000311,0.001552,0.0031,0.008344,0.007662,0.000912,0.000608,-0.004555,-0.005796,-0.016263,-0.013101,-0.005373,-0.006037,-0.000959,-0.00352,0.000321,-0.00321,0.002576,0.001285,0.003529,-0.00032,0.000959,-0.000958,0.00064,-0.001598,0.0,-0.0016,0.003206,0.004474,-0.005727,0.00224,-0.002874,-0.00032,-0.00032,0.000641,0.004163,0.000319,-0.004144,-0.00128,0.002885,-0.00767,0.000322,-0.000644,-0.029961,0.01262,-0.020991,-0.005025,0.009428,-0.002353,-0.008423,0.008155,0.006067,0.006365,-0.004993,-0.01171,0.01151,0.000669,-0.012375,0.003048
66093,249832720.0,A T & T INC,0.006017,-0.002761,0.005306,-0.018562,0.007329,-0.002347,-0.002352,0.004244,0.004226,0.002806,-0.000933,-0.001867,-0.001403,-0.004449,0.013876,-0.003943,-0.013041,0.008966,-0.004209,0.016675,-0.002541,-0.000463,-0.000463,-0.001391,0.001857,-0.005329,0.003494,0.002785,0.004398,-0.002535,-0.006007,-0.02464,-0.002383,-0.010989,-0.00942,-0.002438,-0.001467,0.00049,0.004894,-0.009496,0.007866,-0.002683,-0.000245,0.001957,-0.000244,0.006838,0.00097,-0.001939,-0.035931,0.025183,-0.018177,-0.002002,0.014039,-0.00618,-0.003483,-0.002496,0.015265,0.01331,0.004135,-0.003391,0.007778,-0.014713,-0.002938,-0.002946
47896,240521881.38000003,JPMORGAN CHASE & CO,-0.006437,-0.027914,0.010747,0.00648,0.020634,0.007116,0.014935,-0.000633,0.0152,0.000936,-0.003428,-0.001563,0.001096,-0.003754,0.005495,-0.002655,0.004071,0.003119,-0.003575,-0.002028,-0.002658,-0.002351,0.015868,-0.001547,0.026952,-0.003017,-0.00348,-0.008957,0.002757,-0.002139,0.006124,-0.000152,0.002739,0.000911,-0.001365,-0.000911,-0.000456,0.002737,0.00182,0.00227,0.011024,0.008215,0.0,-0.004296,0.004166,-0.000741,-0.004152,0.00134,-0.008922,0.006151,-0.007903,-0.001954,0.003614,-0.012305,0.005621,0.004079,0.005718,0.008229,-0.002077,-0.021859,0.008817,0.005274,-0.01589,0.014318
