permno,mkt_cap,asset_name,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,2019-07-30,2019-07-31,2019-08-01,2019-08-02,2019-08-05,2019-08-06,2019-08-07,2019-08-08,2019-08-09,2019-08-12,2019-08-13,2019-08-14,2019-08-15,2019-08-16,2019-08-19,2019-08-20,2019-08-21,2019-08-22,2019-08-23,2019-08-26,2019-08-27,2019-08-28,2019-08-29,2019-08-30,2019-09-03,2019-09-04,2019-09-05,2019-09-06,2019-09-09,2019-09-10,2019-09-11,2019-09-12,2019-09-13,2019-09-16,2019-09-17,2019-09-18,2019-09-19,2019-09-20,2019-09-23,2019-09-24,2019-09-25,2019-09-26,2019-09-27,2019-09-30
14710,89099.32,XUNLEI LTD,-0.015267,-0.011628,-0.015686,0.039841,0.0,0.045977,-0.018315,-0.022388,-0.003817,-0.02682,-0.090551,-0.012987,-0.035088,0.004545,0.027149,0.039648,0.012712,-0.008368,0.008439,-0.020921,-0.008547,-0.038793,-0.049327,-0.018868,-0.086538,0.068421,-0.029557,0.071066,-0.018957,-0.014493,0.009804,0.286408,-0.075472,0.028571,0.039683,-0.015267,0.011628,0.149425,-0.066667,-0.003571,-0.007168,-0.01083,-0.018248,-0.063197,-0.02381,0.065041,0.045802,-0.021898,0.003731,0.037175,-0.014337,0.018182,-0.003571,-0.043011,-0.026217,0.026923,0.011236,-0.018519,-0.011321,-0.068702,0.053279,-0.050584,-0.04918,-0.012931
91991,88994.8,FIRST TRUST SPECIALTY FN & FNC,-0.006441,0.004862,0.004839,0.004815,0.0,0.0,0.014377,0.00315,0.002355,-0.000783,0.001567,-0.00626,0.001575,-0.011006,0.003672,-0.000491,0.00317,-0.00316,0.004754,-0.006309,0.014286,4.7e-05,-0.004742,-0.001572,-0.020473,0.008039,-0.011164,0.01129,0.0,-0.012759,0.012924,-0.014354,-0.004838,0.004862,0.006472,-0.003215,0.01129,-0.008772,-0.019868,0.008446,-0.036851,0.010435,0.006885,0.005128,0.010204,-0.003367,-0.001689,0.003384,0.003373,0.0,0.003361,0.011725,0.014901,-0.004894,0.004918,0.001631,0.001629,0.00813,0.0,-0.012903,0.004902,0.011382,0.0,-0.003215
91525,88984.0,VOYA RISK MANAGED NATURAL RES FD,-0.014914,-0.006012,-0.002903,0.004934,-0.004024,-0.00202,0.0,0.0,0.008097,0.006024,-0.003992,-0.004008,-0.012072,-0.005642,-0.000471,0.012295,-0.004049,-0.01626,-0.008264,-0.00625,-0.002096,-0.006303,-0.010571,-0.012821,-0.032468,0.0,-0.001118,0.034714,0.002165,-0.020043,-0.003791,-0.024336,-0.013605,0.002299,0.011468,0.006803,0.005135,-0.023035,-0.011468,0.00232,-0.006944,0.002331,0.0,-0.011628,0.0,0.011765,0.004651,-0.002315,0.006961,0.006912,0.0,0.006865,-0.000591,0.02788,-0.035398,0.0,-0.005321,-0.001568,0.0,-0.055427,-0.041565,0.007653,0.007595,-0.015075
14866,88917.5,FIRST TRUST E T F IV,0.002087,0.001545,0.004667,0.00141,-0.001857,-0.002085,0.003103,0.000256,0.001669,-0.000677,0.000781,-0.00118,0.002166,-0.0008,0.00021,0.000782,0.001933,-0.003007,0.022687,-0.024306,0.004349,-0.002953,-0.005923,0.027805,-0.036908,0.001003,-0.000601,0.037906,-0.030531,-0.004983,0.03726,-0.039591,-0.004424,0.007877,0.005411,-0.001395,0.006385,-0.002543,0.032073,-0.036142,0.000702,0.00436,0.003539,0.000119,0.000477,0.003477,0.00198,-0.00034,0.003797,-0.0014,0.004196,0.00085,-0.00051,0.001199,-2.4e-05,0.001671,-0.000274,0.000895,-0.000563,-0.001652,0.013872,-0.015325,0.001773,-0.000787
85502,88804.58,IDETIVE INC,0.039063,-0.078947,-0.036735,0.050848,0.022177,-0.051282,-0.060291,0.04646,-0.016913,0.036559,-0.022822,0.025478,0.010704,-0.004445,-0.067901,0.075055,0.026694,0.008,-0.027778,0.0,0.016327,-0.044177,0.018908,0.0,-0.030928,0.014894,0.010482,0.068465,0.067961,-0.078182,0.025641,-0.067308,0.030928,-0.02,-0.014286,0.014493,0.018367,-0.02004,0.0,-0.02454,-0.046122,0.032967,0.021277,0.010417,0.010309,-0.010204,-0.010309,0.0375,-0.036145,0.010417,0.030928,0.02,-0.011765,0.041667,0.009524,-0.04151,0.007874,-0.009766,0.021696,-0.017375,-0.007859,0.029703,0.007692,0.003817
12957,88725.0,SANDRIDGE PERMIAN TRUST,0.016484,-0.032433,-0.022346,-0.011429,0.017341,-0.011364,0.017241,-0.022599,0.017341,-0.005682,0.005714,0.0,-0.011364,0.005747,0.022857,0.01676,0.016484,0.0,0.021622,0.010582,0.010471,-0.010363,-0.031414,-0.005405,0.0,0.0,-0.021739,-0.000556,0.001345,-0.042224,-0.018293,-0.024845,-0.00637,0.051346,0.024328,-0.02381,0.018293,-0.011976,0.006061,-0.003012,-0.033172,0.006187,0.018634,-0.02439,-0.025,0.019231,0.006289,-0.0125,0.031646,-0.02454,-0.001132,0.001133,0.0,0.069182,0.011765,-0.023256,-0.011905,0.012048,0.005952,-0.011834,0.017964,-0.011765,0.0,0.005952
84607,88701.51,EMCORE CORP,0.00304,0.009091,-0.015015,0.012195,-0.036145,0.03125,-0.012121,0.009202,-0.103343,0.013559,-0.003344,-0.020134,-0.023973,-0.007018,0.007067,-0.007018,0.056537,-0.0301,0.034483,0.0,0.01,-0.016502,-0.016779,0.010239,-0.027027,0.013889,-0.006849,0.062069,-0.019481,-0.006623,0.01,-0.042904,-0.017241,0.02807,-0.015358,-0.012132,0.021053,-0.013746,-0.006969,-0.014035,-0.007117,-0.035842,0.040892,0.017857,0.003509,-0.006993,0.028169,0.013699,-0.016892,0.013746,0.013559,0.033445,-0.016181,0.013158,-0.032468,0.0,0.0,0.040268,-0.016129,-0.019672,0.016722,0.006579,-0.006536,0.009868
15960,88509.04999999999,CORVUS PHARMACEUTICALS INC,0.109626,0.209639,0.25498,0.031746,-0.083077,-0.058725,-0.001783,-0.021429,0.023723,0.074866,-0.102819,0.003697,0.033149,0.078431,-0.105785,-0.064695,-0.065217,-0.010571,-0.07265,-0.092166,0.007614,-0.015113,-0.02046,-0.010444,-0.092348,0.034884,-0.008427,0.014164,0.206704,-0.069445,-0.017413,-0.007595,0.058674,-0.026506,0.039604,-0.02619,-0.070905,-0.034211,-0.043597,0.02849,-0.044321,0.011594,0.008596,-0.03125,0.01173,-0.02029,0.091716,-0.00542,0.054496,0.082687,-0.009547,-0.081928,-0.020997,-0.037534,-0.058496,0.008876,0.035191,0.008499,-0.014045,-0.034188,-0.032448,-0.033537,-0.006309,-0.044445
16929,88226.64,NUCANA PLC,0.017341,-0.023674,-0.010669,-0.040196,0.009193,0.027328,-0.028571,-0.011156,-0.02359,0.006302,0.020877,-0.043967,0.0,-0.009626,0.031318,-0.04712,-0.105495,-0.034398,0.031807,0.112207,-0.002217,-0.043333,0.019745,-0.014806,0.040463,0.03,-0.007551,0.032609,0.0,-0.042105,-0.001099,-0.013201,-0.041249,-0.191861,0.053238,0.092896,-0.03125,-0.023226,0.010568,0.023529,-0.007663,0.029601,0.07375,0.057043,0.0,0.09141,0.080727,-0.015873,-0.051233,-0.038,-0.015593,-0.050686,-0.032258,-0.036207,-0.092427,0.034166,-0.021601,0.038961,-0.02125,-0.058748,-0.048847,0.011412,0.022567,-0.001379
14925,88163.4,BRAINSTORM CELL THERAPEUTICS INC,0.017722,0.022388,0.002433,0.014563,0.011962,0.004728,0.0,0.014118,0.039443,-0.035714,-0.043982,0.016949,-0.033333,-0.017241,-0.015038,0.007634,0.005051,0.01005,0.014925,0.004902,-0.012195,-0.009877,-0.037407,-0.049223,-0.008174,0.008242,0.0,0.07357,-0.101523,0.033898,0.030055,-0.047745,-0.002786,0.011173,0.027624,-0.005376,-0.005405,-0.027174,0.01676,0.024725,-0.013405,0.008152,0.002695,0.0,0.013441,0.01061,0.03937,0.020202,-0.005248,0.010252,0.0,0.000837,0.004085,0.004902,-0.004878,-0.012255,-0.008685,0.006258,-0.002488,-0.017456,0.01269,-0.002506,-0.025126,0.005155
16819,87781.32,CODA OCTOPUS GROUP INC,0.019923,-0.049587,0.03004,0.005372,-0.022137,-0.041374,0.023616,-0.019889,-0.008117,-0.009002,0.032205,0.0,0.0296,0.049728,-0.046632,-0.013199,-0.001574,0.018125,-0.003096,-0.03882,-0.012924,-0.031097,-0.027027,0.012153,-0.022299,0.000877,-0.046451,0.017463,-0.020777,-0.009225,0.028864,-0.079638,-0.041298,0.036923,0.005935,0.001967,0.032385,-0.031369,-0.055937,0.04158,-0.035928,0.046584,0.020772,-0.139535,0.02027,0.050773,-0.004202,0.005274,0.105981,0.032258,-0.018382,-0.024345,0.038388,-0.123845,-0.017932,-0.017186,-0.025137,-0.021301,-0.044674,-0.027578,0.029593,-0.013174,-0.019418,0.016089
14400,87622.92000000001,NEW HOME CO INC,0.057143,0.090909,0.051802,-0.053533,0.074661,-0.031579,-0.008696,-0.002193,-0.030769,0.018141,-0.020045,-0.018182,0.0,0.00463,-0.018433,-0.021127,0.033573,0.006961,-0.002304,-0.025404,0.011848,-0.025761,0.043269,-0.048387,-0.053269,-0.015345,0.012987,0.066667,-0.038462,-0.0225,-0.01023,0.002584,-0.043815,0.024259,0.028947,-0.040921,-0.013333,0.027027,-0.036842,-0.005464,-0.03022,0.008499,-0.016854,0.065714,-0.002681,0.016129,-0.005291,0.015957,0.034031,-0.040506,0.029024,0.002564,0.035806,0.024691,0.031325,0.007009,0.020882,0.002273,-0.015873,-0.032258,0.026191,0.020882,-0.009091,0.0
14358,87620.9,TORCHLIGHT ENERGY RESOURCES INC,-0.070423,0.007576,0.037594,-0.057971,0.046154,-0.007353,0.037037,0.085714,0.019737,0.051613,0.04908,0.011696,-0.098266,0.012821,-0.196203,0.228346,-0.025641,-0.019737,0.013423,-0.019868,0.006757,-0.04698,-0.007042,0.028369,0.0,0.034483,-0.02,-0.047619,0.0,0.035714,-0.027586,-0.035461,0.0,-0.003676,0.03321,-0.021429,-0.036496,0.022727,0.014815,0.0,-0.029197,-0.06015,-0.016,0.01626,-0.056,-0.177966,0.14433,-0.018018,-0.055046,0.0,-0.004854,-0.014634,0.118812,0.061947,-0.066667,0.035714,0.034483,-0.016667,-0.033898,-0.061403,-0.028038,0.0,0.096154,0.035088
91707,87285.0,M V OIL TRUST,-0.001248,-0.02125,-0.010217,0.016439,0.037144,-0.008568,0.023469,0.025319,-0.037059,-0.027919,0.022193,-0.024266,0.006545,0.007802,0.021936,0.007576,-0.021303,-0.007682,0.019355,-0.016456,0.014157,0.027919,-0.062963,-0.001318,-0.052771,0.029248,0.006766,-0.02285,-0.005502,-0.023513,0.005666,-0.023958,-0.028846,0.02526,0.047826,-0.020747,0.015537,0.025035,-0.023067,-0.025681,-0.012131,0.037518,0.018081,-0.010929,0.014503,0.012934,0.017473,-0.009247,0.016,0.015748,0.02584,-0.049118,0.011921,0.030105,-0.006353,-0.008951,-0.024516,-0.006614,0.008655,-0.011221,-0.018692,0.019728,0.015344,-0.002628
90539,86993.59,POLARITYTE INC,-0.017544,-0.033929,0.025878,-0.005405,-0.014493,0.014706,0.016304,-0.003565,0.008944,0.010638,-0.035088,-0.016364,0.005545,-0.020221,-0.161351,-0.058166,0.042755,-0.047836,0.100478,0.008696,0.038793,-0.012448,0.033613,-0.060976,-0.073593,-0.028038,-0.048077,0.194444,-0.014799,-0.002146,0.006452,-0.021368,0.002183,0.023965,0.102128,-0.003861,-0.023256,-0.021825,-0.014199,-0.211934,-0.104439,0.180758,-0.069136,-0.015915,-0.02965,0.088889,-0.030612,0.01579,0.054404,0.130221,0.006522,-0.060475,0.048276,-0.039474,-0.034247,-0.014184,-0.028777,0.024691,0.057831,-0.095672,0.010076,-0.089776,-0.035617,-0.082386
14546,86972.8,MEDIWOUND LTD,0.014793,-0.008746,-0.044118,0.0,0.0,0.030769,-0.035821,-0.003096,-0.006211,-0.028125,0.028939,0.0,0.065625,0.087977,-0.010782,-0.036785,0.123055,-0.133501,-0.061047,0.012384,-0.082569,-0.06,-0.08156,-0.003861,0.120155,0.010381,0.027397,0.046667,0.015924,0.026646,-0.032061,-0.050473,-0.089701,-0.010949,0.107011,-0.02,0.047619,0.019481,-0.041401,0.043189,-0.035032,0.016502,0.045455,-0.021739,0.019048,-0.018692,-0.00381,-0.03123,0.055921,-0.012461,0.009464,0.0,0.003125,-0.012461,0.063091,-0.089021,0.026059,0.047619,0.045455,-0.04058,-0.02719,-0.009317,-0.032915,0.037277
12411,86696.25,ARBUTUS BIOPHARMA CORP,0.086539,0.00885,-0.052632,0.041667,-0.008889,0.013453,0.017699,0.021739,0.021277,-0.025,-0.102564,-0.033333,-0.039409,-0.112821,0.092486,-0.021164,0.0,-0.037838,0.011236,-0.016667,0.073446,-0.063158,-0.033708,-0.052326,-0.018405,0.03125,-0.012121,0.01227,0.0,-0.084849,0.02649,-0.051613,-0.034014,0.056338,-0.02,-0.006803,0.013699,-0.013514,-0.05137,-0.018051,-0.014706,0.007463,0.037037,-0.021429,0.051095,0.006944,0.068965,0.006452,0.00641,0.146497,0.011111,-0.098901,0.018293,0.011976,-0.017752,-0.036145,0.0,0.03125,-0.048485,-0.019108,0.038961,-0.0625,0.013333,0.003289
13079,86460.0,PERMIANVILLE ROYAL TRUST,0.067669,-0.028134,-0.007282,-0.014599,0.025926,-0.00722,0.003636,0.007246,-0.010791,0.014545,-0.019713,-0.012797,-0.007407,-0.007463,-0.056391,0.01992,0.0,-0.003906,0.007843,-0.019455,0.010784,0.005662,-0.035433,0.004082,-0.020325,-0.016598,-0.029536,0.013044,0.004292,0.034188,0.033058,-0.02,-0.008163,0.028807,0.0,0.032,-0.003876,-0.015564,-0.003953,0.019841,0.019455,-0.019084,-0.007549,-0.011858,-0.032,0.0,0.016529,0.00813,0.0,-0.016129,0.016393,-0.012097,-0.004082,0.036885,0.019763,0.0,-0.003876,0.03502,0.015038,0.022222,-0.01087,0.014652,-0.005776,-0.03321
