permno,mkt_cap,asset_name,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-05,2018-02-06,2018-02-07,2018-02-08,2018-02-09,2018-02-12,2018-02-13,2018-02-14,2018-02-15,2018-02-16,2018-02-20,2018-02-21,2018-02-22,2018-02-23,2018-02-26,2018-02-27,2018-02-28,2018-03-01,2018-03-02,2018-03-05,2018-03-06,2018-03-07,2018-03-08,2018-03-09,2018-03-12,2018-03-13,2018-03-14,2018-03-15,2018-03-16,2018-03-19,2018-03-20,2018-03-21,2018-03-22,2018-03-23,2018-03-26,2018-03-27,2018-03-28,2018-03-29
14593,829383853.96,APPLE INC,0.017905,-0.000174,0.004645,0.011385,-0.003714,-0.000115,-0.000229,0.00568,0.010326,-0.005082,0.016516,0.000893,-0.004463,-0.008181,0.000226,-0.015929,-0.017851,0.002338,-0.020698,-0.005894,0.002755,0.00209,-0.04339,-0.024984,0.041792,-0.021407,-0.027517,0.012182,0.040279,0.010018,0.018437,0.033578,-0.003237,-0.003364,-0.004539,0.008359,0.017391,0.019772,-0.003241,-0.001514,-0.017516,0.006914,0.003462,-0.000848,-0.009283,0.010912,0.017181,0.009668,-0.00963,-0.008501,0.001177,-0.003526,-0.015279,-0.000342,-0.022655,-0.01413,-0.023157,0.047472,-0.025641,-0.011049,0.007809
84788,701959885.45,AMAZON COM INC,0.016709,0.012775,0.004476,0.016163,0.014425,0.004676,0.001301,0.017818,0.022339,-0.00026,-0.007556,-0.001297,0.000974,0.025282,0.026542,-0.003692,0.015057,0.01749,0.011148,0.014206,0.00909,-0.041967,0.028741,-0.027938,0.038014,-0.018062,-0.046782,-0.008071,0.034809,0.020401,0.025832,0.007381,-0.008941,0.013571,0.009923,0.001632,0.00987,0.014633,-0.006551,0.000311,-0.012562,0.004553,0.015571,0.009208,0.004787,0.00444,0.017418,0.01235,-0.006388,0.001776,-0.005456,-0.006724,-0.01702,0.026914,-0.002931,-0.023352,-0.03195,0.040319,-0.037799,-0.04384,0.011122
10107,701866300.0,MICROSOFT CORP,0.004793,0.004654,0.008801,0.012398,0.00102,-0.00068,-0.004534,0.002961,0.017257,-0.013951,0.02026,-0.000444,-0.00111,0.017889,0.003166,-0.000871,0.005554,0.018737,-0.001488,-0.012564,0.024477,-0.007894,-0.02631,-0.041185,0.037841,-0.018833,-0.051334,0.03729,0.010773,0.007854,0.015585,0.020372,-0.007123,0.007826,-0.013266,0.002623,0.025401,0.014459,-0.012786,-0.004565,-0.009811,0.002154,0.006341,-0.003417,0.005787,0.006073,0.022345,0.002382,-0.024388,-0.005932,0.003516,0.00446,-0.018076,0.002584,-0.006979,-0.029087,-0.029068,0.075705,-0.045959,-0.000894,0.021031
13407,384443850.22068,FACEBOOK INC,0.028108,0.017914,-0.001841,0.013671,0.007653,-0.002178,-0.00016,-0.000373,-0.044736,-0.005464,-0.004428,0.012387,0.008287,0.022505,0.021471,-0.014787,0.004985,0.013442,-0.021158,0.00613,-0.001229,0.033175,-0.014553,-0.047404,0.022344,-0.027683,-0.04773,0.026402,0.001704,-0.01848,0.036789,0.002451,-0.014448,-0.007612,0.010795,0.006071,0.024024,0.008948,-0.018764,-0.017304,-0.013347,0.003865,0.021402,-0.003437,0.02186,-0.007457,0.01585,-0.002537,-0.015588,0.012701,-0.001792,0.00669,-0.067697,-0.025556,0.007374,-0.026566,-0.033356,0.004204,-0.048982,0.005321,0.044174
47896,375042897.67,JPMORGAN CHASE & CO,0.009445,0.001019,0.014251,-0.00642,0.001477,0.005069,0.011004,0.005351,0.01651,-0.00355,0.006413,0.00239,-0.002207,0.01168,-0.00105,0.012784,0.000259,0.005359,-0.001032,-0.00938,0.004865,0.010374,-0.022161,-0.047952,0.030423,0.006779,-0.04421,0.020022,0.015449,0.006175,0.023126,0.004173,-0.007186,0.000262,0.004184,-0.001823,0.020264,0.012446,-0.011872,-0.015849,-0.017922,-0.00097,0.015355,0.000869,-0.003734,8.7e-05,0.028761,-0.003219,-0.011984,-0.011183,0.002523,0.001736,-0.007883,0.00096,0.000872,-0.041747,-0.026739,0.030838,-0.0194,-0.001572,0.018241
14542,360458945.84412,ALPHABET INC,0.017775,0.016413,0.003621,0.014571,0.004273,-0.000614,-0.003299,0.002639,0.015142,-0.000446,0.009111,-0.001935,0.006833,0.016088,0.012251,-0.004898,0.005265,0.004674,-0.000221,-0.010114,0.005371,-0.001915,-0.047786,-0.050454,0.023489,-0.029632,-0.04488,0.036205,0.013644,0.000152,0.016728,0.018529,0.004846,0.006997,0.008055,-0.004238,0.018218,0.015052,-0.02226,-0.012126,-0.031872,0.008789,0.011132,0.003786,0.013314,0.014744,0.030231,0.003845,-0.022611,0.009946,7.8e-05,-0.012048,-0.031619,-0.001918,-0.006222,-0.038318,-0.026223,0.030972,-0.045679,-0.000537,0.027106
22111,343780289.1736,JOHNSON & JOHNSON,-0.003507,0.009553,-7.1e-05,0.008253,0.00127,0.015857,-0.001179,0.005696,0.006699,0.007547,0.000817,-0.000408,0.002995,0.005293,-0.042595,0.001692,0.0164,0.006441,-0.011354,-0.0087,-0.029769,0.013243,-0.016712,-0.052949,0.011044,-0.00311,-0.038503,0.025087,0.005713,-0.00238,-0.002232,0.012031,0.014631,-0.017124,-0.007335,0.0,0.016242,0.006741,-0.003029,-0.013595,-0.020019,0.012099,0.00753,-0.012096,0.006395,0.023404,0.013176,-0.008744,0.012968,-0.01511,0.005592,0.00466,-0.025733,0.007448,-0.000152,-0.029042,-0.017899,0.018305,-0.001413,0.001887,0.005492
11850,316157039.82,EXXON MOBIL CORP,0.016619,0.01964,0.001384,-0.000806,0.004496,-0.004246,-0.007952,0.009875,0.006787,-0.006284,0.011843,-0.006477,-0.003203,0.012622,0.000567,0.002605,-0.001807,0.007129,-0.011124,-0.013976,0.005992,0.020275,-0.050971,-0.056903,-0.017185,-0.017996,-0.011308,0.00631,0.008445,-0.00157,0.002097,-0.00327,0.00433,-0.010321,-0.011353,0.012952,0.022014,0.016897,-0.016996,-0.02271,-0.00713,0.004654,0.00953,-0.00118,-0.025203,-0.001885,0.005936,0.00912,-0.009436,-0.012478,0.011141,0.009406,-0.012913,-0.002158,0.014191,-0.020522,-0.008299,0.015228,-0.004054,-0.012076,0.024722
90319,309743938.26652,ALPHABET INC,0.018806,0.017061,0.003884,0.01326,0.003531,-0.001274,-0.002381,0.001721,0.016726,4.4e-05,0.007429,-0.002748,0.006629,0.018067,0.010317,-0.004149,0.009263,0.004585,-0.000909,-0.007678,0.004119,-0.000533,-0.052802,-0.050759,0.020746,-0.026761,-0.045196,0.038265,0.007923,-0.000398,0.017607,0.017395,0.003793,0.007385,0.009206,-0.003457,0.016389,0.013838,-0.022899,-0.012161,-0.02945,0.011882,0.009796,0.005609,0.012844,0.012861,0.027856,0.004385,-0.022317,0.007878,0.001497,-0.014071,-0.03028,-0.003881,-0.001643,-0.03734,-0.025258,0.026828,-0.044731,-0.001748,0.031795
59408,306618449.77,BANK OF AMERICA CORP,0.012873,-0.003344,0.013087,0.004637,-0.006924,0.00498,0.00925,0.003601,0.017286,0.001603,-0.001921,0.009622,0.007624,0.006936,-0.000626,0.005326,0.0,0.003428,0.002484,-0.012392,0.003764,0.015625,-0.016923,-0.052895,0.031064,0.001603,-0.04832,0.019839,0.026047,0.001928,0.026299,0.006562,-0.007451,-0.001251,-0.001879,-0.005648,0.010729,0.012176,-0.002776,-0.007114,-0.015576,0.004765,0.015808,-0.000622,0.00218,0.000622,0.016149,0.003667,-0.014616,-0.006799,-0.001245,0.002181,-0.005906,0.0,-0.00344,-0.041418,-0.045172,0.043538,-0.030223,-0.004404,0.020415
