permno,mkt_cap,asset_name,2015-12-01,2015-12-02,2015-12-03,2015-12-04,2015-12-07,2015-12-08,2015-12-09,2015-12-10,2015-12-11,2015-12-14,2015-12-15,2015-12-16,2015-12-17,2015-12-18,2015-12-21,2015-12-22,2015-12-23,2015-12-24,2015-12-28,2015-12-29,2015-12-30,2015-12-31,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-08,2016-01-11,2016-01-12,2016-01-13,2016-01-14,2016-01-15,2016-01-19,2016-01-20,2016-01-21,2016-01-22,2016-01-25,2016-01-26,2016-01-27,2016-01-28,2016-01-29,2016-02-01,2016-02-02,2016-02-03,2016-02-04,2016-02-05,2016-02-08,2016-02-09,2016-02-10,2016-02-11,2016-02-12,2016-02-16,2016-02-17,2016-02-18,2016-02-19,2016-02-22,2016-02-23,2016-02-24,2016-02-25,2016-02-26,2016-02-29
14593,536105730.27,APPLE INC,-0.008115,-0.009034,-0.009288,0.033247,-0.006301,-0.000423,-0.022076,0.004757,-0.025738,-0.006185,-0.017692,0.007693,-0.021196,-0.027069,0.012261,-0.000932,0.01287,-0.00534,-0.011201,0.017974,-0.013059,-0.019195,0.000855,-0.025059,-0.01957,-0.042205,0.005288,0.016192,0.014513,-0.02571,0.021871,-0.024015,-0.004839,0.001345,-0.005062,0.053167,-0.019523,0.005531,-0.065707,0.007172,0.034541,-0.009349,-0.020222,0.019793,0.007992,-0.026708,0.01053,-0.000211,-0.00758,-0.006046,0.003095,0.028195,0.015315,-0.018956,-0.002285,0.008746,-0.022605,0.014891,0.006868,0.00155,-0.00227
10107,402425336.64000005,MICROSOFT CORP,0.016007,-0.000181,-0.018294,0.03155,-0.001789,-0.000358,-0.014519,0.005275,-0.021893,0.019978,0.001088,0.016848,-0.007661,-0.028187,0.012932,0.009484,0.008491,-0.002687,0.00503,0.010724,-0.004244,-0.01474,-0.012257,0.004562,-0.018165,-0.034783,0.003067,-0.000573,0.009178,-0.021599,0.028466,-0.039917,-0.008433,0.004549,-0.006104,0.035856,-0.009562,0.007337,-0.01821,0.016302,0.058304,-0.006898,-0.031256,-0.015849,-0.003067,-0.035385,-0.014952,-0.002631,0.008726,-0.000402,0.016301,0.018812,0.026033,-0.004388,-0.007089,0.016017,-0.02792,0.003517,0.014408,-0.015355,-0.008187
11850,332843473.55,EXXON MOBIL CORP,0.002817,-0.028575,-0.014331,0.005739,-0.026122,-0.028255,0.013399,0.000793,-0.017836,0.022733,0.044719,-0.003525,-0.015035,-0.008722,-0.000259,0.005048,0.032711,-0.010725,-0.007437,0.005334,-0.013264,-0.002048,-0.006286,0.008521,-0.008321,-0.016006,-0.020202,-0.013389,0.020491,0.005984,0.045869,-0.019464,-0.01521,-0.042147,0.012572,0.033333,-0.033825,0.036767,-0.018383,0.022579,0.01117,-0.020039,-0.022284,0.052152,0.017202,0.003132,0.013487,-0.004312,-0.009116,0.003151,0.017965,0.002345,0.009604,0.005488,0.000606,-0.001333,-0.014079,0.00357,0.006011,-0.00317,-0.019572
22111,290312160.39,JOHNSON & JOHNSON,0.011063,-0.003029,-0.012347,0.021431,0.003594,-0.008711,-0.002636,0.004797,-0.009353,0.004622,0.019383,0.010756,-0.015297,-0.016307,-0.003629,0.011124,0.007594,0.002222,-0.004821,0.007847,-0.002403,-0.010214,-0.021807,0.00418,-0.005055,-0.011655,-0.010683,-0.006011,0.006867,-0.012419,0.019274,-0.019112,0.005155,-0.017949,0.001984,0.008443,-0.003618,0.049585,0.009686,0.001077,0.021218,-0.00067,-0.009198,0.007059,-0.002305,-0.032339,0.014522,-0.000294,-0.002354,-0.000295,0.00118,0.004911,0.001759,0.016976,0.006428,0.005664,-0.006396,0.008455,0.013529,-0.00564,-0.005389
12060,271893887.98,GENERAL ELECTRIC CO,0.007682,-0.006629,0.002002,0.015318,-0.003936,-0.005927,0.009275,0.005907,-0.012724,0.0,0.001983,0.021768,-0.006456,-0.008838,0.003963,0.002961,0.015087,-0.003877,0.002271,0.012298,-0.007353,0.003221,-0.014125,0.000977,-0.01594,-0.042314,-0.01795,0.004569,0.002099,-0.013967,0.029037,-0.019615,0.0,-0.017199,0.021071,-0.012242,-0.007082,0.009629,-0.01095,0.0075,0.031549,-0.015808,-0.013967,0.015227,0.017789,-0.021933,-0.012964,0.003905,0.000707,-0.030035,0.029508,0.021231,0.016632,-0.008862,-0.002063,0.013439,-0.00646,-0.008898,0.017265,0.005816,-0.008844
84788,260181124.89798003,AMAZON COM INC,0.02145,-0.004491,-0.014438,0.009591,-0.004178,0.011197,-0.018514,-0.003715,-0.033473,0.027743,0.00111,0.026008,-0.007577,-0.009707,0.000557,-0.002047,0.000829,-0.001371,0.018724,0.027799,-0.007061,-0.019127,-0.057554,-0.005024,-0.001799,-0.039058,-0.001464,0.01761,0.000243,-0.058392,0.019233,-0.038482,0.007541,-0.004717,0.005684,0.037147,0.000252,0.007912,-0.029771,0.08914,-0.0761,-0.020767,-0.039509,-0.038091,0.009773,-0.063645,-0.027941,-0.012354,0.017446,0.027198,0.006471,0.027649,0.024947,-0.017038,0.018857,0.04599,-0.011725,0.001989,0.002004,0.000144,-0.004881
13407,245374984.8,FACEBOOK INC,0.027629,-0.009802,-0.015933,0.017245,-0.005368,0.008333,-0.017748,0.007839,-0.031303,0.024873,-0.001051,0.021425,-0.005338,-0.020523,0.007016,0.007063,-0.00834,0.003727,0.008665,0.012556,-0.009696,-0.014687,-0.023314,0.004989,0.002336,-0.049043,-0.006025,0.001849,0.019075,-0.039549,0.0307,-0.034563,0.003054,-0.009553,-0.002014,0.040144,-0.009496,0.003402,-0.02969,0.155214,0.028412,0.025666,-0.004171,-0.016752,-0.019523,-0.058105,-0.041511,-0.002105,0.014668,0.00901,0.000981,-0.003921,0.035331,-0.016445,0.010631,0.024768,-0.015864,0.013465,0.011134,-0.001388,-0.009266
14542,241110243.79088002,ALPHABET INC,0.032911,-0.006075,-0.012907,0.018963,-0.004643,-0.001153,-0.014114,-0.00286,-0.01413,0.012046,-0.005844,0.019761,-0.011424,-0.013504,0.011443,0.002982,0.000413,-0.002546,0.018854,0.018478,-0.007211,-0.01572,-0.022454,0.000998,0.0014,-0.02317,-0.01641,0.002184,0.014022,-0.035134,0.020212,-0.028361,0.01057,-0.004759,0.011654,0.026409,-0.018725,0.001925,-0.018302,0.044244,0.016403,0.012181,0.016822,-0.049304,-0.026054,-0.034519,-0.001214,-0.006782,0.008863,-0.001476,-0.001039,0.012603,0.025181,-0.015599,0.005105,0.007918,-0.015019,0.005332,0.008848,-0.000964,-0.010354
38703,238199327.04000002,WELLS FARGO & CO NEW,0.011071,-0.011309,-0.015977,0.027122,-0.004491,-0.018405,-0.005147,0.004065,-0.018955,-0.002063,0.032143,0.017119,-0.006804,-0.030287,0.004276,0.005924,0.012882,-0.003997,-0.002554,0.011156,-0.007235,-0.009656,-0.026674,-0.000378,-0.019096,-0.028527,-0.016667,0.010694,0.025354,-0.031737,0.018299,-0.03594,-0.012495,-0.007052,0.002925,0.021037,-0.027744,0.012589,0.006424,0.007206,0.026778,-0.005773,-0.022227,-0.01751,0.013656,-0.008083,-0.028416,-0.001075,-0.006028,-0.021876,0.047609,0.019658,-0.00228,-0.008311,0.007542,0.022874,-0.022159,-0.010187,0.002941,0.006702,-0.023924
66093,227287172.55,A T & T INC,0.00297,-0.006219,-0.013707,0.030514,0.004691,-0.012256,-0.008272,0.002979,-0.01485,0.012964,0.00625,0.017451,-0.010756,-0.012636,0.014583,0.009387,0.010753,-0.00345,0.002885,0.004891,-0.005439,-0.009499,-0.001744,0.006987,-0.001445,-0.016148,0.000895,0.012224,-0.001473,-0.00472,0.016597,-0.009038,0.015299,-0.017676,0.018879,0.017371,-0.003984,0.011429,0.00226,0.001409,0.014917,0.003328,-0.003317,0.018303,-0.005174,0.009581,0.006236,-0.012396,-0.006003,-0.006039,0.00718,0.004936,-0.000273,0.009552,-0.011355,0.00793,-0.003256,0.009799,0.007278,-0.006422,-0.004848
