permno,mkt_cap,asset_name,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-20,2021-09-21,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-01,2021-10-04,2021-10-05,2021-10-06,2021-10-07,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29
10107,2489796327.6,MICROSOFT CORP,-0.000316,0.008075,-0.002125,0.010506,-0.000207,-0.003904,-0.006555,0.001781,0.009967,0.01049,0.005976,-0.00516,-0.006107,0.020775,0.025575,0.000953,-0.006663,-0.002016,-0.009669,0.002106,0.012912,-0.005633,-0.000166,-0.002253,-3.3e-05,-0.003188,0.0001,-0.00986,-0.005181,0.004329,0.009428,0.016778,0.001312,-0.017528,-0.018575,0.001699,0.012822,0.003282,-0.000701,-0.017304,-0.036204,0.001693,-0.007324,0.025468,-0.02072,0.019957,0.015064,0.005936,0.0,-0.002103,-0.004588,0.011711,0.021734,0.004822,0.010125,0.003059,-0.00266,0.010898,-0.005149,-0.003332,0.006426,0.042114,0.003651,0.022414
14593,2457678270.6000004,APPLE INC,-0.002331,0.012644,-0.002782,0.000749,-0.00476,-0.000342,-0.003354,0.001786,0.020773,0.00141,0.013548,-0.006154,-0.025501,0.002323,0.010157,0.010257,-0.000601,-0.008421,-0.005527,0.007185,0.030417,-0.008425,0.004479,0.007475,0.00423,0.015489,-0.010084,-0.006705,-0.033102,0.003893,-0.009562,0.006144,-0.00161,-0.018348,-0.021361,0.003428,0.016872,0.006719,0.000613,-0.01055,-0.023801,0.006483,-0.009312,0.008127,-0.024606,0.014158,0.006307,0.009084,-0.002722,-0.00063,-0.009103,-0.00424,0.020226,0.007513,0.011806,0.01508,0.003361,0.001474,-0.005285,-0.000336,0.004575,-0.003148,0.024992,-0.018156
84788,1710321094.1396399,AMAZON COM INC,0.001169,0.010434,-0.003422,0.00634,-0.009197,-0.000918,-0.006341,-0.008604,0.00346,-0.002885,0.001524,-0.017287,-0.012567,-0.004208,0.003827,0.0206,0.01222,-0.001997,0.005098,0.010142,0.021477,0.014385,0.002365,-0.004565,0.004311,0.008982,0.004619,-0.011726,-0.004308,-0.003453,-0.002074,0.007475,0.003582,-0.007373,-0.030842,-0.003606,0.010892,0.010636,0.002787,-0.005757,-0.026379,-0.004475,-0.004871,-0.000542,-0.028472,0.009788,0.012732,0.012391,-0.004182,-0.012869,0.000317,0.011379,0.004744,0.03308,0.011065,-0.000751,-0.008446,0.005842,-0.028955,-0.004551,0.016775,0.004864,0.015941,-0.021511
93436,1118751210.0,TESLA INC,0.032698,9.9e-05,0.001663,0.005219,-0.021732,0.02097,-0.005282,-0.003056,0.020387,-0.007034,-0.043226,-0.029818,0.03497,-0.022526,0.010082,0.038279,0.003101,0.003825,-0.014117,0.015346,0.026674,0.006581,-0.002215,-0.002316,0.001611,0.026378,0.001262,0.001313,-0.024627,0.009141,0.002005,0.015232,0.001535,0.003303,-0.038605,0.012614,0.016987,0.002261,0.027533,0.021914,-0.017438,0.004823,-0.007462,-0.000335,0.00814,-0.001203,0.002767,0.013874,-0.010232,0.008211,0.0174,0.006652,0.008926,0.030196,0.032122,-0.006712,0.00177,0.032571,0.017539,0.126616,-0.006274,0.019078,0.037751,0.034316
14542,942223413.98358,ALPHABET INC,0.005683,0.002136,-0.001845,0.006701,0.000701,0.007049,0.000685,-0.002947,0.005084,0.000119,0.003685,-0.011629,-0.00532,0.002515,0.011128,0.019233,0.009206,0.003873,-0.005785,0.01708,0.006358,-5.2e-05,0.002612,-0.011129,0.003855,0.005139,-0.004367,0.000207,-0.02065,0.010879,-0.000411,0.012552,-0.005733,-0.020156,-0.017294,0.004528,0.009252,0.006301,0.005686,-0.007936,-0.037576,-0.012211,-0.009333,0.02399,-0.019767,0.018032,0.008643,0.013334,0.006254,-0.008629,-0.015373,0.008682,0.025468,0.00186,0.009074,0.006026,-0.009783,0.002566,-0.029104,0.001068,0.006478,0.048367,-0.002039,0.014655
90319,890674321.1351999,ALPHABET INC,0.00095,0.005751,-0.00372,0.008333,-0.003765,0.008653,-0.000774,-0.003859,0.006714,0.003889,0.004226,-0.011915,-0.008872,0.001705,0.012894,0.019006,0.008712,0.005787,-0.004494,0.018124,0.004073,0.00074,0.00358,-0.01328,0.003158,0.003764,-0.004086,-0.001044,-0.018566,0.010339,0.001489,0.013224,-0.005674,-0.019567,-0.014776,0.00226,0.008994,0.006647,0.007074,-0.008037,-0.037158,-0.01087,-0.005043,0.021447,-0.021118,0.017683,0.011336,0.012067,0.004026,-0.006235,-0.017745,0.008303,0.025941,0.001537,0.009974,0.003215,-0.010249,0.000825,-0.030443,-0.000869,0.013543,0.049595,-0.00252,0.015064
13407,765656596.1227801,FACEBOOK INC,-0.012209,-0.002017,0.021866,0.011284,0.001488,-0.005227,-0.001327,-0.00324,0.007473,0.001461,0.009307,-0.022125,-0.008369,-0.000928,0.011968,0.011075,0.005945,0.007879,-0.010885,0.022641,0.02155,-0.003363,0.007038,-0.01772,0.002611,0.015734,-0.012062,0.001139,0.001825,-0.005757,5.3e-05,-0.006932,-0.0023,-0.022356,-0.024731,0.005004,-0.039918,0.008013,0.020234,0.001757,-0.036569,-0.003053,-0.000648,0.010666,-0.04892,0.02063,0.002042,-0.013248,0.002521,-0.013937,-0.005162,0.002378,0.012294,-0.011475,0.032578,0.013867,0.002324,0.003228,-0.050515,0.012569,-0.039186,-0.011368,0.015054,0.020983
86580,639686340.0,NVIDIA CORP,0.012872,0.003291,0.023164,0.017905,-0.013132,-0.003486,-0.017689,-0.011888,0.010457,0.014218,-0.011789,-0.024662,-0.021482,0.039811,0.051419,0.054862,-0.007514,0.019272,-0.006528,0.025739,0.002297,-0.013179,0.002502,-0.002005,0.019959,-0.007924,-0.014253,-0.007252,0.013573,-0.014503,0.004063,0.004451,-0.004431,-0.015376,-0.035936,0.006299,0.032712,0.024657,-0.017837,-0.019066,-0.044368,-0.008793,0.009699,0.001255,-0.048693,0.036438,0.012176,0.018116,-0.011578,-0.006529,-0.00116,0.012965,0.038541,0.005334,0.016467,0.00306,-0.008389,0.026648,0.001498,0.019361,0.066952,-0.010762,0.02004,0.025099
47896,507657652.95,JPMORGAN CHASE & CO,-0.004019,0.011378,-0.010792,0.012629,0.028404,-0.001079,0.012267,0.01193,0.003909,-0.011187,-0.006563,-0.012081,-0.009108,-0.008356,0.002852,0.012797,0.00619,0.020613,0.005158,0.008037,-0.016007,-0.003054,-0.001438,0.004633,-0.006045,-0.001756,-0.00446,0.004353,-0.011496,0.015887,-0.017453,0.00694,-0.000443,-0.002593,-0.029934,0.000131,0.019153,0.033802,0.01154,0.024166,-0.00539,-0.000783,-0.013619,0.021015,-0.001077,0.016232,0.002134,0.006331,0.000764,-0.021032,-0.007681,-0.026367,0.015342,0.019208,-0.00036,0.012129,0.013466,-0.007844,0.013451,-0.00489,0.002691,-0.020828,0.015075,-0.002759
92655,434184990.99,UNITEDHEALTH GROUP INC,0.008127,0.015232,-0.000853,-0.024553,0.009558,-0.010238,0.002215,-0.009811,-0.004366,0.009139,0.018405,0.010954,-0.010574,0.025328,0.004253,-0.010123,-0.004584,-0.008668,-0.006885,0.004582,-0.001099,-0.004853,0.002595,0.015239,-0.002006,-0.003831,-0.013888,-0.002022,-0.022169,0.026268,-0.004777,0.012072,-0.001629,0.007965,-0.017755,-0.000872,-0.008828,-0.001639,-0.002328,-0.004446,-0.016409,0.004491,-0.02415,0.004325,-0.013811,0.016589,0.002084,0.026506,0.009291,-0.008495,-0.004321,0.000769,0.041655,0.018342,-0.008059,-0.000565,0.025237,0.016525,0.015556,0.000735,0.011458,-0.002551,0.004322,0.011044
