permno,mkt_cap,asset_name,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-29,2014-09-30,2014-10-01,2014-10-02,2014-10-03,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-27,2014-10-28,2014-10-29,2014-10-30,2014-10-31,2014-11-03,2014-11-04,2014-11-05,2014-11-06,2014-11-07,2014-11-10,2014-11-11,2014-11-12,2014-11-13,2014-11-14,2014-11-17,2014-11-18,2014-11-19,2014-11-20,2014-11-21,2014-11-24,2014-11-25,2014-11-26,2014-11-28
14593,697505421.2,APPLE INC,0.007805,-0.042207,-0.008288,0.008663,-0.006163,-0.003762,0.030717,0.004257,0.002268,-0.000295,-0.007576,0.007139,0.002067,-0.008154,0.00099,0.015634,-0.008671,-0.038133,0.029427,-0.006352,0.006393,-0.015583,0.00726,-0.002803,0.0,-0.008733,0.02076,0.002182,-0.002871,-0.009133,-0.01062,-0.012253,-0.013123,0.014648,0.021399,0.027165,0.005075,0.017866,0.00372,-0.001045,0.015508,0.005621,-0.003354,0.009534,0.012963,-0.007313,0.002394,0.002848,0.002852,-0.001651,0.007994,0.01413,0.014112,0.012055,-0.001664,0.012984,-0.006928,0.014302,0.001376,0.018503,-0.008641,0.011905,-0.000588
10107,394090801.93,MICROSOFT CORP,-0.007484,-0.002883,0.006673,0.014362,0.012198,0.006241,0.001711,0.003416,-0.006489,-0.009744,0.011246,-0.005133,0.003439,0.017995,-0.00968,-0.010625,0.011168,-0.02209,0.008036,0.000646,-0.001723,-0.009922,-0.00305,0.007212,0.0,-0.01215,0.027454,-0.01988,-0.039695,-0.00863,0.001833,-0.011662,-0.011106,0.020824,0.010314,0.018149,-0.011141,0.014421,0.024656,-0.004769,0.012634,0.002796,-0.012227,0.019544,0.010437,0.00274,0.006096,0.017551,-0.000411,0.004314,-0.000409,-0.001842,0.017015,-0.000605,-0.00242,-0.008289,-0.010669,0.009954,-0.014784,-0.008128,-0.002522,0.005898,0.001257
11850,383394255.66,EXXON MOBIL CORP,-0.009753,0.006295,-0.007567,0.00915,-0.015011,-0.003887,-0.005955,0.002273,-0.012883,0.005325,0.011839,-0.003592,-0.004841,0.005279,-0.005972,-0.005283,-0.002187,-0.016385,0.01252,-0.010479,-0.004024,-0.012653,0.004738,0.006645,0.006388,-0.012167,0.013281,-0.02949,-0.002396,-0.008297,-0.003192,-0.003644,0.004212,0.006733,0.00614,0.020486,-0.005553,0.010523,0.004038,-0.008255,0.014833,-0.005363,-0.00148,0.023928,-0.014993,-0.007768,0.005819,0.012517,0.010596,-0.003209,0.00135,-0.010684,-0.007549,0.004543,0.00021,-0.002523,0.0078,0.002196,0.010332,-0.011259,-0.00982,-0.003165,-0.041702
22111,303003657.5,JOHNSON & JOHNSON,-0.003567,0.00387,0.000771,0.005586,-0.003543,-0.002403,0.011464,-0.004191,0.000287,0.001339,0.011077,0.002928,0.010924,0.005962,-0.001019,-0.003893,0.010981,-0.014175,0.0,-0.005229,0.000469,-0.021484,-0.004315,0.012326,-0.002568,-0.023555,0.024612,-0.026976,-0.008327,-0.020844,-0.021287,0.01237,-0.014561,0.019839,0.005066,0.011694,0.008569,0.01393,0.004872,0.009115,0.006918,0.007348,0.014021,0.006913,-0.002969,0.010795,0.001841,0.001746,-0.007431,0.00573,0.000827,-0.001469,0.002943,-0.008343,0.001294,0.004894,-0.000643,-0.005333,0.003513,-0.009086,-0.001684,0.00478,0.009701
38703,282621755.52,WELLS FARGO & CO NEW,0.002527,-0.000388,0.000388,0.001551,-0.003485,-0.007772,0.008811,0.001359,0.002132,0.004642,0.007124,0.003823,0.013902,0.002254,-0.008621,-0.015123,0.000576,-0.013812,0.008948,-0.00347,0.003482,-0.01176,0.002731,0.013619,-0.001344,-0.018259,0.020948,-0.019751,-0.00939,-0.008689,-0.027291,-0.02007,0.005852,0.011635,0.010064,0.025824,-0.00555,0.008571,0.011858,0.002148,0.00916,0.007532,0.005559,0.012009,0.005274,-0.001874,0.011451,0.009901,-0.00407,-0.000186,-0.004644,-0.000747,-0.002802,-0.000749,0.001687,-0.003181,0.00169,0.002249,0.006171,0.005389,-0.004067,0.007424,0.003685
55976,282098788.02000004,WAL MART STORES INC,0.003311,0.003432,0.007236,0.012409,-0.012644,0.002744,-0.002997,-0.005359,-0.004336,0.000528,0.006727,-0.001048,-0.000262,0.008134,-0.006897,-0.009304,0.019577,-0.012455,0.004861,-0.00536,0.005126,-0.004577,0.001445,0.014299,0.000388,-0.000646,0.01216,-0.004857,0.005523,-0.009324,0.005415,-0.03565,-0.018351,0.003793,0.014035,0.011711,0.000132,0.002894,0.001705,0.002749,-0.003134,0.000524,0.000785,-0.002354,0.000131,0.012847,0.005695,0.001416,0.012338,0.008506,-0.005413,0.002405,0.047222,0.000241,0.007353,0.002633,0.014322,-0.004824,0.000828,0.00886,-0.005269,0.000353,0.030125
12060,266017666.07999998,GENERAL ELECTRIC CO,-0.005004,0.003868,0.000385,0.005393,-0.000766,-0.006902,0.001931,0.002697,-0.005765,0.001933,0.011188,0.002289,0.006091,0.003052,-0.007988,-0.002301,-0.003459,-0.014655,0.003131,-0.008193,0.007868,-0.017955,-0.00159,0.011146,-0.007087,-0.016257,0.017735,-0.018614,-0.020581,-0.013185,0.006263,0.007469,-0.001236,0.023505,0.008461,0.01678,-0.010216,0.009925,0.007862,-0.00468,0.014107,-0.008501,0.00039,0.005454,-0.004262,0.0,0.004669,0.020914,0.001897,0.002272,-0.0034,0.005307,-0.003771,0.001514,0.005669,0.015032,-0.003332,-0.0026,0.005214,0.000371,-0.005185,0.000372,-0.014142
18163,244352621.17000002,PROCTER & GAMBLE CO,-0.001564,-0.000964,0.00965,0.000836,-0.005372,-0.003961,0.007832,-0.001793,-0.002755,0.007326,0.002504,0.000951,0.000356,0.003326,0.004025,-0.004363,0.009474,-0.010676,0.002965,-0.001655,-0.00829,-0.007165,-0.001082,0.00891,-0.002626,-0.004906,0.012266,-0.006177,0.012312,-0.015586,0.002159,-0.007181,-0.008559,0.012524,0.010928,0.005108,0.003116,-0.011872,0.023189,0.009277,0.00605,0.00081,0.004622,0.003796,0.00126,0.01442,0.004061,-0.001124,0.002587,0.00359,0.002459,-0.002119,-0.009835,-0.00553,-0.003064,0.001252,0.008869,-0.00293,0.001469,-0.00553,0.007831,0.000901,0.017439
47896,224889450.23999998,JPMORGAN CHASE & CO,0.003701,0.000503,0.000167,0.00335,-0.000334,-0.013859,0.002709,0.009118,0.004518,-0.001499,0.000834,0.005334,0.016747,-0.003425,-0.003273,0.000493,0.011323,-0.024014,0.006816,-0.003798,-0.001492,-0.007802,-0.008867,0.024813,-0.00199,-0.015121,0.019065,-0.021854,-0.009479,-0.006152,-0.002923,-0.042421,-0.008104,0.020334,0.007651,0.022956,-0.008286,0.010618,0.011712,-0.001702,0.016883,-0.005702,0.001687,0.018353,0.006614,-0.010348,0.014938,0.001308,0.00392,0.007483,-0.009042,-0.013199,-0.005449,0.00083,0.001659,0.002484,0.001156,-0.007921,0.005489,0.008437,-0.010827,0.000663,-0.002983
65875,209934537.16000003,VERIZON COMMUNICATIONS INC,-0.001004,0.00221,-0.003208,0.004425,-0.00821,-0.01272,-0.003068,0.005333,-0.012446,0.003306,0.008237,0.005106,0.009754,0.013282,-0.003376,-0.005381,0.003206,-0.009187,0.003225,-0.000402,0.004824,-0.011202,-0.002832,0.008521,0.007443,-0.007987,0.014895,-0.018849,0.000204,-0.011647,-0.003101,-0.006222,-0.005217,0.008391,0.008529,0.004332,-0.007804,-0.001863,0.011406,0.013328,0.010927,-0.002602,0.001405,0.007014,0.002786,-0.001191,0.000199,-0.001192,0.011535,-0.002753,-0.002169,0.004149,0.007477,0.005859,-0.001942,-0.003502,-0.014252,-0.005942,0.000398,-0.014141,-0.003232,0.014187,0.010991
