permno,mkt_cap,asset_name,2017-11-01,2017-11-02,2017-11-03,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-20,2017-11-21,2017-11-22,2017-11-24,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2018-01-02,2018-01-03,2018-01-04,2018-01-05,2018-01-08,2018-01-09,2018-01-10,2018-01-11,2018-01-12,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-29,2018-01-30,2018-01-31
87006,5577960.0,UNITED THERAPEUTICS CORP,0.013661,-0.010898,0.017241,0.008764,0.002377,0.009403,-0.017983,-0.001897,-0.010331,-0.00977,0.01383,0.011645,0.011511,0.02585,-0.00626,0.0,-0.00319,-0.039997,0.03783,0.036692,0.006738,0.025617,0.005251,0.001119,0.000522,0.021082,-0.006274,-0.004405,-0.002876,0.007913,-0.003742,0.012005,-0.008733,-0.005066,0.002509,-0.006772,0.017119,0.093115,0.008332,-0.013485,-0.008644,0.026969,-0.012176,-0.001732,-0.000267,0.000401,0.003537,-0.025203,-0.024968,-0.011614,-0.043534,0.038484,-0.00563,-0.000143,0.028314,-0.005158,-0.03076,0.000651,-0.010475,0.010221,-0.017345,-0.051261
80957,5571675.55,ASPEN TECHNOLOGY INC,0.00279,0.006801,0.020418,-0.012186,-0.005787,0.008272,-0.002127,0.008526,-0.000906,-0.004231,0.002124,0.0106,0.008241,0.009362,0.008245,-0.001606,0.008337,-0.005367,0.008896,-0.037294,0.004805,0.006725,-0.010687,-0.0012,0.002854,0.005992,-0.011763,-0.002561,-0.000302,0.008613,-0.007341,0.011621,0.004625,-0.009207,-0.007194,-0.004831,-0.003489,0.001979,0.003191,0.005149,-0.002561,-0.000453,0.0,0.058183,0.010854,0.032919,-0.004103,0.000549,0.015374,0.015547,-0.001198,0.013994,-0.005126,0.012948,0.004695,-0.017396,-0.001189,0.025265,0.033673,-0.005617,-0.013556,-0.014506
13823,5571509.65,BROOKFIELD PROPERTY PARTNERS LP,0.009009,0.000425,-0.0085,0.0,0.004286,-0.022194,0.017896,0.015437,-0.049831,0.009333,-0.017613,-0.01524,-0.001365,-0.005925,0.024759,0.004474,0.005791,-0.000886,-0.013298,0.006963,-0.01085,0.00777,-0.013152,-0.014246,0.003963,-0.000232,0.003716,-0.01342,0.00985,0.013005,0.011921,-0.023561,0.00464,-0.004619,0.001392,0.001854,-0.004163,0.007431,0.010604,0.005931,0.004989,0.001805,-0.010811,-0.01776,0.017154,-0.000456,-0.006384,-0.023405,-0.00141,0.007059,0.011682,-0.002309,-0.018056,-0.008486,0.020922,0.008384,0.013395,0.002735,0.010909,-0.004946,-0.021238,0.008772
86582,5563379.25,STERLING BANCORP DEL,-0.011976,0.00202,-0.003226,-0.01217,-0.01232,-0.016632,-0.006342,0.002128,0.010616,0.008403,-0.00625,0.0,0.002096,0.012552,0.006198,0.002053,-0.022541,0.008386,0.029106,0.028283,-0.003929,-0.001972,0.027668,0.001923,-0.015355,-0.005848,-0.009804,-0.011881,0.012024,0.00198,-0.017787,0.022133,0.017717,-0.003868,-0.009709,0.019608,-0.015385,-0.017578,-0.005964,-0.002,-0.014028,-0.00813,0.002049,0.02045,0.01002,-0.003968,0.005976,0.013861,0.015625,-0.001923,-0.009634,0.003891,-0.005814,0.023392,-0.001905,0.001908,-0.011429,-0.015414,-0.005871,-0.007874,-0.009921,-0.008016
86778,5560618.8,M K S INSTRUMENTS INC,-0.028072,0.014678,0.0042,-0.000929,-0.008837,0.012201,-0.033843,-0.00048,0.0,-0.007201,-0.015474,0.020138,-0.00337,0.019324,-0.003318,-0.004755,0.01032,-0.022738,0.010664,-0.08753,-0.008673,-0.009014,-0.042269,0.017319,0.01922,0.032328,-0.016702,-0.009554,-0.001608,0.005368,0.005873,0.031847,0.018004,-0.011622,0.005624,-0.017285,-0.002069,-0.013997,0.004206,0.001571,-0.012023,0.038095,0.009174,0.008081,0.017535,-0.000985,-0.034993,-0.024515,0.005236,0.002083,0.015073,0.05786,0.012585,0.022945,-0.002336,0.009836,-0.023191,-0.036562,0.027107,-0.016315,-0.006829,0.004912
88504,5550388.26,BRUKER CORP,0.015605,-0.018501,0.065176,-0.006899,-0.010269,-0.007629,-0.003383,-0.017896,0.017593,0.009262,-0.009177,0.029021,0.012301,0.018969,0.022397,0.001991,0.004259,0.010744,0.016783,-0.033563,0.001423,-0.00938,-0.033324,0.002377,-0.00504,0.018772,0.018427,-0.015796,0.000292,-0.002625,-0.008482,0.021534,-0.007508,0.009892,-0.011236,-0.004953,-0.00205,0.00088,0.004984,0.004084,-0.002905,0.005828,0.008401,0.005171,0.02858,0.006391,-0.019603,-0.021402,-0.007194,0.013623,-0.022019,0.000585,0.001169,0.027437,-0.003693,0.0,0.001996,0.007684,0.004518,0.002249,-0.008415,0.007355
49373,5548691.26,BLOCK H & R INC,-0.010105,-0.025725,0.008382,0.011638,-0.013147,0.051207,0.005941,-0.012598,0.034689,-0.003468,-0.023975,0.025357,0.008114,-0.008049,-0.011592,0.010555,-0.00735,-0.006625,0.002354,0.012525,0.011983,-0.003056,0.015081,0.001524,0.102701,-0.055192,-0.006207,0.010287,0.001455,-0.008352,-0.015379,0.011529,0.018382,-0.002527,0.007962,-0.041293,-0.017603,-0.006481,0.014966,0.004537,-0.013173,0.020595,-0.004111,-0.001126,0.006386,-0.017917,0.004941,-0.017776,0.004236,0.010736,0.010243,-0.005633,0.001888,-0.009423,0.00761,0.039653,-0.01344,-0.012518,-0.003729,0.004117,-0.014536,0.003782
13752,5546201.22,CYRUSONE INC,-0.011728,0.012857,0.00895,0.001774,0.004669,0.013301,-0.015025,-0.007707,0.037541,-0.00655,-0.023705,0.009165,-0.010038,-0.006921,-0.006483,0.004405,0.005847,-0.005813,-0.001624,-0.024077,0.012835,0.0079,-0.058948,0.01527,-0.006666,0.030282,0.009519,-0.011249,-0.014054,0.007976,0.002862,-0.002014,-0.001682,-0.022241,-0.010684,0.004355,0.0111,0.012693,0.009485,0.005201,0.000672,-0.017638,0.003591,-0.00426,-0.003251,0.014077,-0.005587,-0.027749,-0.018211,-0.014446,0.013391,-0.003214,-0.012899,0.005808,0.006135,0.022597,-0.003332,0.01742,0.017295,-0.042163,-0.007277,0.031468
28345,5539593.3,MURPHY OIL CORP,0.023925,0.015699,-0.007908,0.056159,0.003087,-0.00684,0.026171,-0.013758,-0.00652,-0.040069,-0.007197,0.005799,0.008649,-0.003573,-0.003585,0.014754,0.016667,-0.030694,0.012235,-0.000355,-0.006046,0.045796,-0.01129,0.001384,-0.025225,-0.003899,0.0121,0.014416,-0.007972,-0.011181,0.00424,-0.017241,0.033656,0.007967,0.024055,0.02651,0.018634,0.026316,-0.012195,0.001899,-0.018957,0.035427,0.00902,0.010481,0.008237,0.008169,0.010504,0.0,0.01782,0.009921,-0.015603,0.025829,-0.007439,-0.011242,0.011079,0.000577,0.002017,-0.016106,0.016954,-0.028169,-0.035788,-0.015337
92191,5539010.9,VALIDUS HOLDINGS LTD,-0.007296,-0.01354,-0.002745,0.019269,-0.003472,-0.002129,0.017653,-0.000763,-0.027089,-0.00902,0.007123,-0.019843,-0.00461,-0.011075,-0.001425,-0.002039,-0.008173,0.015039,0.01441,0.002801,-0.018755,-0.02379,-0.001875,-0.009808,-0.005901,-0.017384,0.009062,0.014112,0.008223,-0.020075,-0.006829,0.014948,0.000213,0.008109,-0.008256,-0.003415,0.004712,0.000639,-0.003835,0.009196,-0.005722,-0.026002,0.005689,0.011532,-0.006238,-0.010173,-0.010715,0.003979,0.0262,0.0,0.004505,0.009825,-0.028976,0.017643,0.440283,0.003121,-0.000889,0.0,0.000148,-0.000296,0.000148,0.003855
