permno,mkt_cap,asset_name,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-28,2022-03-29,2022-03-30,2022-03-31
14593,2830003448.48,APPLE INC,0.025004,-0.012692,-0.0266,-0.016693,0.000988,0.000116,0.016784,0.00257,-0.019028,0.005111,-0.018894,-0.021025,-0.010347,-0.012765,-0.004864,-0.011385,-0.000563,-0.002943,0.069778,0.026126,-0.000973,0.007044,-0.01672,-0.001677,-0.004235,0.018467,0.008294,-0.023599,-0.020218,0.001423,0.023153,-0.001389,-0.021269,-0.009356,-0.017812,-0.025864,0.01668,0.012966,0.001638,-0.011628,0.020588,-0.001981,-0.018408,-0.023718,-0.011676,0.034997,-0.027186,-0.023909,-0.026562,0.029677,0.029015,0.006454,0.020919,0.008538,0.020801,0.008234,0.022678,0.003734,0.005037,0.019134,-0.00665,-0.017776
10107,2307083730.0,MICROSOFT CORP,-0.004668,-0.017147,-0.038388,-0.007902,0.00051,0.000732,0.002259,0.010445,-0.042323,0.017717,-0.024339,0.002247,-0.005703,-0.018468,0.001149,-0.026588,0.028493,0.010549,0.028082,0.008824,-0.007139,0.015222,-0.038952,0.015569,-0.01631,0.011995,0.021835,-0.028373,-0.024274,-0.000136,0.018542,-0.001165,-0.029282,-0.009631,-0.000729,-0.025893,0.051094,0.009233,0.004978,-0.012852,0.017766,-0.014224,-0.020479,-0.037777,-0.010971,0.045858,-0.010087,-0.019328,-0.012961,0.038743,0.025213,0.002819,0.017648,-0.004227,0.016379,-0.01503,0.015393,-0.001381,0.023117,0.015159,-0.004914,-0.017683
84788,1659314524.5500002,AMAZON COM INC,0.022118,-0.016916,-0.018893,-0.006711,-0.004288,-0.00657,0.024002,-0.000937,-0.02417,0.005732,-0.019863,-0.016477,-0.029632,-0.059502,0.013327,-0.031534,-0.007954,0.005509,0.031084,0.038864,0.010831,-0.003843,-0.078128,0.135359,0.001878,0.022022,-0.001388,-0.013562,-0.035911,0.012222,0.008658,0.010159,-0.021809,-0.013262,-0.015754,-0.035756,0.045095,0.016058,-0.001466,-0.015766,0.006024,-0.02732,-0.015264,-0.05622,-0.010465,0.024001,0.054125,-0.008807,-0.025229,0.038868,0.038934,0.027008,0.025512,0.001495,0.021038,-0.008982,0.001478,0.006868,0.025593,0.00192,-0.017801,-0.019865
93436,1116367716.88048,TESLA INC,0.135317,-0.041833,-0.053471,-0.021523,-0.035447,0.030342,0.005935,0.03929,-0.067491,0.017498,-0.018197,-0.033828,0.000623,-0.052566,-0.014726,-0.012473,0.020699,-0.115542,0.020806,0.106776,-0.005839,-0.027479,-0.016033,0.036111,-0.017307,0.016157,0.010846,-0.029453,-0.049251,0.018326,0.053291,0.001041,-0.050943,-0.022103,-0.041366,-0.069979,0.048074,0.011364,0.074777,-0.006962,0.017955,-0.046142,-0.001191,-0.040213,0.024634,0.041934,-0.024064,-0.051235,-0.036437,0.046348,0.047812,0.037335,0.038768,0.017418,0.079053,0.005161,0.014823,-0.003235,0.080345,0.00708,-0.005075,-0.014982
14542,875870488.90404,ALPHABET INC,0.00273,-0.004536,-0.04683,-0.000745,-0.003973,0.011456,0.010417,0.011645,-0.017769,0.004711,-0.02501,-0.004685,-0.015816,-0.025576,0.002152,-0.027893,0.019762,-0.000921,0.032284,0.018073,0.016065,0.073674,-0.036383,0.002562,-0.028514,0.001979,0.016091,-0.020152,-0.032269,0.008723,0.008319,0.007784,-0.037669,-0.013914,-0.008163,-0.014045,0.039883,0.013914,0.002762,-0.00536,0.004349,-0.003291,-0.016276,-0.04282,0.006437,0.051757,-0.008845,-0.01663,-0.028622,0.023035,0.031081,0.006807,0.016352,-0.002361,0.027836,-0.012646,0.020277,0.001483,0.003028,0.009158,-0.004227,-0.020996
90319,836527200.1263,ALPHABET INC,0.000963,-0.004083,-0.045876,-0.0002,-0.005303,0.012061,0.007691,0.012127,-0.020105,0.006447,-0.024968,-0.006482,-0.013389,-0.022174,0.003471,-0.029579,0.018104,-0.001764,0.033689,0.014642,0.017298,0.075238,-0.033176,0.001419,-0.028557,0.001422,0.015732,-0.02099,-0.031291,0.00926,0.007987,0.008268,-0.037746,-0.016116,-0.004521,-0.017144,0.039996,0.013328,0.004444,-0.007371,0.003804,-0.004994,-0.014884,-0.041908,0.005745,0.049687,-0.007424,-0.019324,-0.03018,0.02578,0.031599,0.00419,0.017084,-0.000176,0.027674,-0.011386,0.02384,0.000713,-0.001535,0.007423,-0.003979,-0.020227
86580,683230227.70041,NVIDIA CORP,0.024141,-0.027589,-0.057562,0.020794,-0.03304,0.005615,0.015219,0.006543,-0.050859,0.01381,-0.038564,-0.032274,-0.036582,-0.032133,-8.6e-05,-0.04484,0.020068,-0.03636,0.040831,0.072067,0.006208,0.024515,-0.051264,0.015492,0.016818,0.015367,0.063605,-0.03299,-0.072607,0.013278,0.091812,0.000604,-0.075591,-0.035296,-0.010659,-0.042882,0.060794,0.017223,0.009438,-0.037236,0.031818,-0.020892,-0.032808,-0.069062,0.007587,0.069722,-0.015469,-0.024627,-0.034842,0.077028,0.066295,0.011022,0.068118,0.010623,-0.007855,-0.033555,0.098151,-0.01627,0.019031,0.015486,-0.03371,-0.01459
13407,511906296.36,META PLATFORMS INC,0.006511,-0.005937,-0.036728,0.025573,-0.002015,-0.011212,0.019203,-0.00332,-0.020345,0.016601,-0.041428,0.004526,-0.009481,-0.042298,0.018274,-0.027728,-0.018391,3.4e-05,0.023995,0.038282,0.018323,0.012539,-0.263901,-0.002818,-0.051373,-0.021031,0.053683,-0.01694,-0.037357,-0.008426,0.015159,-0.020181,-0.040778,-0.007462,-0.019791,-0.017963,0.046107,0.013873,0.002613,-0.03573,0.022704,-0.024699,-0.014337,-0.062931,0.015042,0.043145,-0.016574,-0.038933,-0.005224,0.028934,0.060407,0.020675,0.041619,-0.023096,0.024398,-0.014724,0.028624,0.010247,0.007979,0.028042,-0.008744,-0.024095
92655,479830263.03000003,UNITEDHEALTH GROUP INC,0.000279,-0.022657,-0.002465,-0.040924,-0.023528,0.013956,0.008602,0.010064,-0.013278,0.002696,-0.016429,0.003319,0.001038,-0.003952,0.002385,-0.011746,0.00348,0.006915,0.009662,0.013968,-0.008803,0.024274,0.018738,-0.011457,0.001097,0.020074,0.009505,-0.022847,-0.017649,-0.007801,0.008073,0.003806,-0.020227,-0.005379,-0.011329,-0.006249,-0.008115,0.043563,0.000252,0.000799,0.019171,0.002493,0.024785,-0.023624,-0.027543,0.025578,0.012089,-0.014488,0.010458,0.020475,0.000703,0.017581,-0.001775,0.003043,-0.004609,-0.004136,0.020329,-0.000837,0.000331,-0.004813,0.019756,-0.020833
22111,466046666.45,JOHNSON & JOHNSON,0.002747,-0.002682,0.006664,-0.003426,0.013517,-0.004944,-0.01063,-0.008526,-0.006066,-0.005452,-0.004409,-0.003112,-0.007984,-0.0023,-0.011524,0.028594,0.004474,0.013125,0.007034,0.002911,-0.008184,0.01106,-5.8e-05,-0.006541,-0.003321,0.002631,-0.000117,-0.012071,-0.010093,-0.012581,0.010326,-0.000598,-0.0061,-0.010651,-0.01359,0.000496,-0.019104,0.049703,-0.008614,-0.003464,0.012439,0.014695,0.005935,0.016108,-0.020266,0.003793,0.001771,-0.001827,0.013818,0.025919,-0.009197,0.013064,-0.011086,0.005662,-0.00472,-0.003771,0.005162,0.009587,0.005144,-0.000506,0.010408,-0.013141
