permno,mkt_cap,asset_name,2019-05-01,2019-05-02,2019-05-03,2019-05-06,2019-05-07,2019-05-08,2019-05-09,2019-05-10,2019-05-13,2019-05-14,2019-05-15,2019-05-16,2019-05-17,2019-05-20,2019-05-21,2019-05-22,2019-05-23,2019-05-24,2019-05-28,2019-05-29,2019-05-30,2019-05-31,2019-06-03,2019-06-04,2019-06-05,2019-06-06,2019-06-07,2019-06-10,2019-06-11,2019-06-12,2019-06-13,2019-06-14,2019-06-17,2019-06-18,2019-06-19,2019-06-20,2019-06-21,2019-06-24,2019-06-25,2019-06-26,2019-06-27,2019-06-28,2019-07-01,2019-07-02,2019-07-03,2019-07-05,2019-07-08,2019-07-09,2019-07-10,2019-07-11,2019-07-12,2019-07-15,2019-07-16,2019-07-17,2019-07-18,2019-07-19,2019-07-22,2019-07-23,2019-07-24,2019-07-25,2019-07-26,2019-07-29,2019-07-30,2019-07-31
10107,1040477184.4300001,MICROSOFT CORP,-0.020827,-0.013059,0.021314,-0.005818,-0.020523,-8e-05,-8e-05,0.012988,-0.029733,0.011188,0.01403,0.023092,-0.00667,-0.014445,0.005387,0.006068,-0.011671,0.000475,-0.000634,-0.00967,0.006323,-0.016305,-0.031048,0.027704,0.021679,0.015815,0.028008,0.009133,-0.003771,-0.004618,0.006312,0.000982,0.00302,0.017388,0.003921,0.009286,0.000146,0.005914,-0.031572,0.003747,0.001643,-0.001416,0.01284,0.006633,0.006443,-0.00291,-0.00073,-0.003651,0.010186,0.00399,0.003613,0.0,-0.013103,-0.005909,0.001101,0.001466,0.013248,0.006213,0.010266,-0.003766,0.008203,-0.002193,-0.004822,-0.02907
14593,962766062.0081999,APPLE INC,0.049086,-0.006508,0.012431,-0.015443,-0.026957,0.000197,-0.010744,-0.0138,-0.058119,0.01583,0.011979,-0.0044,-0.005682,-0.03127,0.019171,-0.020472,-0.01707,-0.003841,-0.004135,-0.004769,0.005187,-0.018116,-0.01011,0.036584,0.016143,0.014682,0.026617,0.012779,0.01158,-0.003183,-0.000206,-0.007262,0.005967,0.023519,-0.002923,0.008036,-0.003409,-0.001006,-0.015158,0.021629,-0.0003,-0.009112,0.018341,0.005855,0.008287,-0.000881,-0.020614,0.006099,0.009889,-0.007282,0.007683,0.009395,-0.00346,-0.005623,0.01136,-0.014928,0.022854,0.007818,-0.000814,-0.007907,0.003478,0.009339,-0.004292,0.020404
84788,923413942.5196799,AMAZON COM INC,-0.007786,-0.005598,0.032428,-0.006069,-0.01515,-0.001681,-0.009334,-0.005206,-0.035609,0.009568,0.016863,0.019464,-0.020219,-0.005367,-0.00078,0.001163,-0.023768,0.004296,0.007212,-0.009388,-0.001578,-0.022711,-0.046409,0.021782,0.005169,0.009123,0.028312,0.031374,0.00165,-0.004496,0.008074,-0.000337,0.00875,0.008133,0.003902,0.004925,-0.003592,0.00136,-0.018616,0.010414,0.003399,-0.005593,0.015082,0.006305,0.002425,0.002017,0.004843,0.018429,0.014641,-0.0081,0.004962,0.004968,-0.005487,-0.008891,-0.007093,-0.006765,0.010746,0.004462,0.003169,-0.01349,-0.015589,-0.015749,-0.007279,-0.016724
13407,467263578.28999996,FACEBOOK INC,-0.001913,-0.00259,0.01527,-0.008134,-0.021199,-0.001212,-0.004696,-0.001643,-0.036105,-0.004462,0.030654,0.003865,-0.009038,-0.013923,0.011493,0.002705,-0.024013,0.00105,0.01795,-0.011502,0.004501,-0.030272,-0.075055,0.020408,0.004,0.000951,0.029822,0.00848,0.018762,-0.017181,0.013883,0.02175,0.042354,-0.002857,-0.005253,0.010935,0.008495,0.007638,-0.019522,-0.006249,0.009805,0.01847,0.0,0.010363,0.011282,-0.004057,-0.003259,0.017624,0.01767,-0.007399,0.018089,-0.004686,-0.000343,-0.010008,-0.005055,-0.012053,0.019964,0.000198,0.011366,-0.0193,-0.004783,-0.019074,0.005614,-0.014261
14542,422607731.96725,ALPHABET INC,-0.017165,-0.004683,0.019603,0.003366,-0.012855,-0.006669,-0.003335,0.001626,-0.027691,-0.010238,0.039065,0.012687,-0.014148,-0.020176,0.009466,0.001557,-0.009249,-0.006399,0.0006,-0.015598,0.001335,-0.012809,-0.061071,0.016232,-0.010285,0.002034,0.020779,0.013452,-0.001537,-0.001567,0.0109,-0.003141,0.006588,0.01016,-0.001151,0.008246,0.009411,-0.005669,-0.026149,-0.006029,-0.00351,0.004554,0.015764,0.012114,0.009296,0.008925,-0.013468,0.007596,0.013913,0.003271,0.000603,0.004751,0.002817,-0.006267,-1.7e-05,-0.014158,0.007052,0.007152,-0.007328,-0.005001,0.104485,-0.008797,-0.011514,-0.006905
47896,376300868.0,JPMORGAN CHASE & CO,-0.007669,0.002171,0.006152,-0.00887,-0.016335,-0.0053,-0.000799,-8.9e-05,-0.027198,0.007949,-0.003807,0.01283,-0.004851,0.005236,0.003413,-0.008145,-0.019672,0.009849,-0.010847,-0.002764,-0.010719,-0.010275,0.004719,0.03081,0.003554,0.002179,-0.010963,0.01081,0.003081,-0.01274,0.002471,0.002556,-0.005463,0.013642,-0.007226,0.002548,-0.006806,-0.007127,-0.008283,0.006682,0.003319,0.027196,0.016816,0.001056,-0.001582,0.005939,-0.005463,0.004253,-0.002911,0.009556,0.010517,-0.012142,0.010711,-0.009816,0.005965,-0.009854,0.006429,0.01829,0.004039,-0.009587,0.004408,-0.003184,-0.002244,0.003547
90319,364889867.4234,ALPHABET INC,-0.021385,-0.005804,0.019751,0.003287,-0.012233,-0.006854,-0.0024,-0.000283,-0.026592,-0.01032,0.040841,0.011701,-0.013271,-0.020637,0.008544,0.001221,-0.009093,-0.005876,0.000834,-0.017217,0.001313,-0.013296,-0.061238,0.015163,-0.009341,0.002987,0.019671,0.013469,-0.001589,-0.001795,0.011037,-0.004317,0.006987,0.010376,-0.00066,0.007868,0.010933,-0.007704,-0.026077,-0.006675,-0.003416,0.005731,0.015885,0.011455,0.009339,0.008615,-0.014016,0.006716,0.014783,0.002778,0.001101,0.004514,0.002564,-0.005826,0.000436,-0.013676,0.006769,0.00776,-0.007247,-0.003325,0.096202,-0.002714,-0.011145,-0.007981
22111,343672196.52,JOHNSON & JOHNSON,0.005312,-0.00472,0.005167,0.000563,-0.01492,-0.001286,-0.007583,0.002307,-0.013305,-0.00277,0.000658,0.009495,0.002894,-0.001371,-0.002167,0.004634,0.007423,7.2e-05,-0.01282,-0.041877,0.005939,-0.007267,0.002211,0.017422,0.004861,0.017116,0.013682,0.003392,0.005467,0.013593,-0.006846,-0.004406,-0.00464,0.005665,0.001569,0.012531,-0.000844,0.006827,0.008248,-0.01657,-0.008178,-0.010022,0.000574,0.004808,0.015068,-0.011045,0.002846,0.003121,-0.001414,-0.00779,-0.041467,0.003053,-0.016406,-0.00483,0.001593,-0.013326,-0.012816,0.001555,0.007296,0.010325,-0.002974,0.017517,-0.007067,-0.014082
55976,315104214.36,WALMART INC,-0.014391,-0.002072,0.009194,0.003723,-0.011322,-0.009872,-0.002293,0.02381,-0.019822,0.004004,-0.004088,0.014317,-0.004442,0.006544,-0.00394,0.010977,-0.003619,0.007952,-0.002435,-0.002929,0.000685,-0.007339,0.005126,0.005885,0.018136,0.006608,0.009038,0.013766,0.003906,0.008153,-0.001562,0.003866,0.000825,0.004489,-0.000274,0.006386,0.007342,0.00099,-0.004675,-0.005058,-0.000545,0.003542,0.001177,0.008859,0.006452,-0.003027,0.006608,0.001419,0.000886,0.00832,0.005969,0.003316,-0.001913,-0.001394,0.001047,-0.007148,-0.009482,-0.006471,-0.000803,0.001964,0.007129,-0.006636,-0.00187,-0.014992
11850,314624149.84,EXXON MOBIL CORP,-0.020055,-0.017542,0.002329,-0.004389,-0.005316,0.001564,-0.000911,0.008597,-0.011102,0.001321,0.007387,-0.000131,-0.005893,-0.000132,0.004611,-0.009049,-0.023425,0.004201,-0.020108,-0.006197,-0.002633,-0.016674,0.015685,0.02379,-0.008289,0.018224,0.003633,0.004425,-0.000935,-0.010823,0.00878,-0.004419,0.009953,0.008656,-0.005545,0.017127,0.014097,-0.009525,-0.008837,0.004327,-0.010183,0.010683,-0.000913,-0.010972,0.009509,-0.004056,0.004597,-0.000654,0.014131,0.000774,0.000773,-0.007085,-0.01492,-0.005926,-0.008479,0.002004,0.001067,0.003996,-0.000133,-0.005706,-0.001602,0.007085,0.000133,-0.013139
