permno,mkt_cap,asset_name,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-23,2015-02-24,2015-02-25,2015-02-26,2015-02-27,2015-03-02,2015-03-03,2015-03-04,2015-03-05,2015-03-06,2015-03-09,2015-03-10,2015-03-11,2015-03-12,2015-03-13,2015-03-16,2015-03-17,2015-03-18,2015-03-19,2015-03-20,2015-03-23,2015-03-24,2015-03-25,2015-03-26,2015-03-27,2015-03-30,2015-03-31,2015-04-01,2015-04-02,2015-04-06,2015-04-07,2015-04-08,2015-04-09,2015-04-10,2015-04-13,2015-04-14,2015-04-15,2015-04-16,2015-04-17,2015-04-20,2015-04-21,2015-04-22,2015-04-23,2015-04-24,2015-04-27,2015-04-28,2015-04-29,2015-04-30
14593,721149091.7,APPLE INC,0.012547,0.000169,0.00767,0.007109,-0.008421,0.006643,0.019212,0.023439,0.012652,0.004903,0.005902,0.006923,-0.002059,0.008135,0.027067,-0.006241,-0.025573,0.012617,-0.014991,0.004904,0.002092,-0.006339,-0.016571,0.001503,0.004265,-0.020686,-0.018232,0.018079,-0.00691,0.011004,0.016727,0.011256,-0.007589,-0.01251,0.010405,-0.004088,-0.026127,0.00697,-0.007968,0.025314,-0.015352,-0.001447,0.008612,0.016199,-0.010522,-0.003254,0.007643,0.004267,-0.001967,-0.004336,0.0038,-0.004811,-0.011255,0.022846,-0.005407,0.013474,0.008164,0.004704,0.018192,-0.015756,-0.014706,-0.02713
10107,393476928.0,MICROSOFT CORP,0.021782,0.007752,0.005769,0.014579,-0.000942,-0.001179,0.005666,-0.005164,0.016753,0.018102,0.000456,-0.001147,-0.000689,0.008161,0.006727,-0.001359,-0.002268,0.001478,-0.004653,0.000684,-0.013674,-0.005199,0.001277,-0.017397,0.011568,-0.019137,-0.00119,-0.022868,0.008776,0.00435,0.003248,0.019307,-0.005059,0.014071,-0.000583,0.00105,-0.033567,-0.00603,-0.005824,-0.000244,-0.007446,0.001599,-0.01056,0.031149,-0.000361,-0.002649,0.001449,0.005786,0.000959,-0.002634,0.014526,-0.002248,-0.012927,0.030998,-0.006293,0.008209,0.008259,0.104522,0.003342,0.023423,-0.001933,-0.008561
11850,366035741.3,EXXON MOBIL CORP,0.024708,0.029806,-0.008564,0.00984,-0.001841,0.000656,-0.006007,-0.004505,0.019537,0.010826,-0.003427,-0.021924,-0.017251,0.005367,-0.01012,0.004606,0.002013,-0.010603,-0.001241,-0.005647,-0.004771,-0.005022,-0.005047,-0.012797,-0.005489,-0.010568,-0.002848,0.00238,-0.004156,0.010612,-0.008023,0.023668,-0.019287,0.00154,0.010528,-0.010652,0.004023,-0.006363,-0.008776,0.024527,-0.007357,-0.006353,-0.001894,0.009846,0.007283,-0.019709,0.007019,0.01075,-0.002571,0.015116,0.016738,-0.003974,-0.009119,0.003566,-0.004127,0.006676,0.000915,-0.006511,0.00046,0.009079,0.000797,-0.00569
38703,284475790.0,WELLS FARGO & CO NEW,0.017142,0.012119,-0.00131,0.012069,0.014533,-0.004408,0.006641,-0.012278,0.017811,0.008567,0.000723,-0.015351,0.000734,0.004949,0.004924,0.0049,-0.000722,-0.003253,-0.006528,0.013871,-0.0018,-0.011362,0.000365,-0.004559,0.001465,-0.025242,0.007694,0.035196,-0.004497,0.007047,0.00323,0.00465,-0.01175,0.009007,-0.004106,-0.007709,-0.014634,-0.000733,-0.006973,0.01201,-0.006756,-0.008456,0.007972,-0.005334,-0.001109,-0.00037,0.003518,0.002399,0.004971,-0.007327,0.011441,0.0,-0.013866,0.005735,-0.001472,0.007185,0.003475,-0.002917,0.004936,0.008004,0.000902,-0.006491
22111,275831552.0,JOHNSON & JOHNSON,0.00689,0.016166,-0.010736,0.010852,-0.013274,-0.013056,0.005713,0.000299,-0.019327,0.011987,0.008231,-0.004779,0.007403,0.002582,-0.000798,0.005191,0.005065,0.01571,-0.002821,0.006926,-0.008526,-0.006742,0.008559,-0.023508,0.005494,-0.011226,-0.012157,0.015358,-0.006211,0.018647,-0.011577,0.015717,0.002267,0.006982,0.005664,-0.009905,-0.015889,-0.001993,0.001997,0.012059,-0.009355,-0.014414,0.004942,-0.004817,0.00948,0.000599,0.011681,0.007204,-0.014795,-0.000298,0.000796,-0.008052,-0.002104,0.006327,0.000898,0.001296,0.000299,0.006172,-0.004947,0.001591,-0.003474,-0.011854
12060,272627791.68,GENERAL ELECTRIC CO,0.013395,0.010739,-0.012669,0.014073,0.000816,0.004894,0.003247,0.002023,0.004845,0.010446,0.000795,0.003178,-0.000396,0.007997,-0.001587,0.008741,0.020481,-0.000772,0.003863,0.004617,-0.009575,-0.007734,0.006235,-0.015492,0.008655,-0.018331,0.000795,0.008337,-0.014173,0.016374,-0.005501,0.013038,-0.012091,0.002764,0.002756,-0.007852,-0.014246,-0.004416,0.002419,0.010459,-0.012341,0.001209,0.004026,0.009623,-0.006354,-0.0004,0.028789,0.108045,-0.030866,0.003619,-0.009737,-0.006555,-0.0011,-0.00844,-0.014804,0.010894,-0.00223,-0.001862,0.002985,0.008929,-0.001106,-0.000369
55976,251750509.14999998,WAL MART STORES INC,0.00859,0.0056,0.005337,0.007271,0.000573,-0.01626,0.016063,-0.010883,-0.005212,-0.000931,0.001748,0.003839,-0.032101,0.009339,0.003559,-0.000355,-0.011825,0.002752,0.001551,0.000357,-0.007027,-0.009476,0.011988,-0.011727,0.003511,-0.009773,-0.010844,0.014996,0.0,0.016972,-0.008044,-0.001089,-0.012238,0.021099,0.000841,-0.003121,-0.020831,0.007009,-0.006594,0.014505,-0.003393,-0.018723,0.000248,0.003221,-0.00605,0.006584,-0.002345,-0.00235,-0.004464,-0.001744,-0.005115,-0.00627,-0.017163,0.003339,-0.001408,0.005126,0.009563,0.008335,-0.005887,-0.003402,-0.015424,0.002183
47896,234904812.98,JPMORGAN CHASE & CO,0.020044,0.022535,-0.005994,0.006917,0.019729,-0.001209,0.011069,-0.00154,0.020559,0.001679,0.007206,-0.012146,-0.002358,0.009624,-0.007525,0.024768,0.005261,0.007197,-0.004872,0.007996,0.003238,0.002582,-0.002092,-0.017903,0.010018,-0.025041,0.00467,0.018758,-0.006029,0.013934,-0.00388,0.002272,-0.008907,0.008987,-0.009879,-0.011122,-0.014059,-0.001174,0.000168,0.023678,-0.006234,-0.003797,0.009508,-0.000826,0.006284,0.003287,0.00688,0.003742,0.005997,0.015628,0.01856,-0.00623,-0.015201,0.006365,-0.014706,0.010111,-0.002224,-0.003185,-0.004153,0.006737,0.013384,-0.005346
18163,215710311.96,PROCTER & GAMBLE CO,0.009847,0.009751,-0.001862,0.010607,-0.012572,-0.006541,0.003998,0.002928,0.004554,-0.001511,-0.004773,0.009007,-0.012173,-0.00399,0.006127,0.001288,-0.000468,-0.003393,-0.00047,0.003289,-0.002927,-0.009512,0.003319,-0.023278,0.005202,-0.018654,-0.00184,0.008601,-0.003167,0.021141,-0.008497,0.010863,-0.004418,0.016311,0.001416,-0.011077,-0.010844,-0.01036,0.001948,0.004981,-0.009429,0.004638,0.001336,0.0074,-0.007828,0.004612,0.00145,0.00555,0.00096,0.002038,-0.001077,-0.00012,-0.011617,0.00412,0.002534,0.00012,-0.017777,0.000618,-0.004938,-0.002233,-0.007088,-0.004258
14541,208845886.68,CHEVRON CORP NEW,0.034429,0.032717,-0.010773,0.00886,0.002745,0.007481,-0.002264,-0.001815,0.017731,0.017319,-0.003369,-0.017438,-0.018924,0.002307,-0.006814,0.000927,0.005743,-0.013999,-0.003549,-0.007312,-0.006988,0.0,-0.004089,-0.011267,0.003863,-0.010005,0.006122,-0.010817,-0.007811,0.014859,0.000388,0.034215,-0.018276,0.021766,-0.010371,-0.016239,0.014108,-0.003975,-0.009216,0.025125,-0.017961,-0.00181,0.004676,0.015578,0.015152,-0.017321,0.002719,-0.000374,-0.003835,0.021972,0.014425,-0.002264,-0.009532,0.010815,-0.005078,-0.002096,0.004292,-0.000909,-0.001547,0.012944,0.00549,-0.005997
21936,208341532.62,PFIZER INC,0.0128,0.01169,0.010306,0.028687,0.005456,-0.003015,0.032658,0.002928,0.018102,-0.006596,-0.001732,-0.002892,-0.00203,0.004359,-0.004919,-0.001454,0.009319,-0.00202,-0.007806,0.013112,-0.00604,0.002315,-0.004908,-0.014505,0.001766,-0.007346,-0.00444,0.011002,0.0,0.012941,-0.00784,0.006146,-0.00669,0.002928,0.023358,-0.015121,-0.006373,-0.004082,0.010831,0.013611,-0.006,-0.013222,0.001456,0.002909,0.00174,0.002895,0.011259,0.011704,-0.009876,-0.00171,0.005138,-0.000568,-0.004263,-0.000856,-0.003428,0.001146,0.01231,-0.002545,-0.01928,-0.00318,-0.00551,-0.010499
65875,205718884.28,VERIZON COMMUNICATIONS INC,0.027784,0.018093,-0.000627,0.001255,0.030715,-0.004865,0.008556,0.006059,-0.005822,-0.004241,-0.002636,-0.00488,-0.000613,0.001227,-0.004084,0.009227,-0.000406,0.003455,0.00162,0.000404,0.001617,-0.009687,-0.003057,-0.012878,-0.001243,-0.014929,0.003578,0.022022,0.002257,0.008804,-0.006495,0.012053,-0.004845,0.005274,0.001614,-0.004633,-0.013762,-0.006362,0.002891,0.011532,-0.009976,0.005963,0.011243,0.003234,-0.007254,0.008322,-0.002443,0.004285,-0.003657,0.002855,0.00427,-0.00243,-0.00751,0.009816,-0.004253,0.008135,0.009683,-0.0004,0.000999,0.009385,-0.001583,-0.000594
10104,204940282.2,ORACLE CORP,0.018859,0.008435,-0.014405,0.017445,-0.004171,0.009772,0.013595,-0.014322,0.012223,0.000911,-0.002049,0.005931,0.000227,-0.007708,0.000228,0.002284,-0.003418,0.003659,-0.001595,0.004792,-0.014763,0.005302,0.004357,-0.03242,0.007315,-0.02038,-0.008369,0.003617,0.018261,0.024304,-0.01244,0.029391,0.00068,0.005661,-0.003603,-0.012203,-0.017845,0.001398,-0.008141,0.018762,-0.006676,-0.004867,-0.003959,0.007977,0.0,0.003492,0.002088,0.007176,-0.009883,-0.008124,0.029488,-0.012048,-0.010584,0.007442,0.002308,0.002994,-0.003674,-0.007144,0.012303,0.020408,0.005169,-0.024816
84788,196414932.17999998,AMAZON COM INC,0.028037,-0.002524,0.003301,0.025058,0.001043,-0.009939,0.006571,0.005751,0.005411,0.012355,-0.016761,-0.005487,0.015066,0.012309,-0.009175,-0.004077,0.017909,-0.001479,-0.012058,0.014454,-0.00271,-0.004914,0.013352,-0.019957,-0.004025,-0.023906,-0.008498,0.021481,-0.00978,0.007475,-0.00383,0.008644,-0.005052,0.014066,-0.00893,-0.002719,-0.008367,-0.009731,0.008738,0.010875,-0.006647,-0.004958,0.005388,0.012868,-0.006975,0.018135,0.006139,-0.002321,-0.000758,0.007192,-0.00431,0.006754,-0.027148,0.037145,0.004287,-0.003528,0.000487,0.141311,-0.014693,-0.021092,0.00014,-0.017677
26403,184776489.35999998,DISNEY WALT CO,0.010664,0.023605,0.076302,0.013428,-0.006041,-0.002843,0.001868,-0.000491,0.016786,0.005696,-0.00048,-0.002497,0.000289,0.006353,0.004208,-0.003048,0.008598,-0.009567,-0.004591,0.01739,0.004344,-0.007334,-0.005115,-0.011521,0.01387,-0.020616,-0.00194,0.041598,-0.006812,0.008737,-0.003819,0.009443,-0.005557,0.009872,-0.001937,-0.010257,-0.019699,0.002286,0.002281,0.006067,-0.011591,0.005244,0.005311,-0.003491,-0.001893,0.008821,0.003855,0.001686,-0.004114,0.001408,0.003,0.010469,-0.013043,0.014341,-0.00499,0.002415,0.00982,0.004862,0.005752,-0.002179,-0.001001,-0.009926
