permno,mkt_cap,asset_name,2015-05-01,2015-05-04,2015-05-05,2015-05-06,2015-05-07,2015-05-08,2015-05-11,2015-05-12,2015-05-13,2015-05-14,2015-05-15,2015-05-18,2015-05-19,2015-05-20,2015-05-21,2015-05-22,2015-05-26,2015-05-27,2015-05-28,2015-05-29,2015-06-01,2015-06-02,2015-06-03,2015-06-04,2015-06-05,2015-06-08,2015-06-09,2015-06-10,2015-06-11,2015-06-12,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-29,2015-06-30,2015-07-01,2015-07-02,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31
14593,691740178.6,APPLE INC,0.030364,-0.001939,-0.022533,-0.00628,0.00616,0.018841,-0.010187,-0.003602,0.001152,0.023331,-0.001396,0.011027,-0.000922,-7.7e-05,0.010226,0.008753,-0.022031,0.018709,-0.002007,-0.011383,0.001957,-0.004405,0.001231,-0.005841,-0.005489,-0.006607,-0.002973,0.011458,-0.00225,-0.011043,-0.001966,0.005358,-0.002351,0.004556,-0.010009,0.007978,-0.004545,0.008502,-0.004762,-0.005882,-0.017515,0.007187,0.009368,-0.001264,-0.00348,-0.00246,-0.024823,-0.020397,0.026734,0.019306,-0.000398,0.009633,0.013326,0.008637,0.018902,-0.009995,-0.042294,-0.000479,-0.005273,-0.013896,0.004969,-0.003161,-0.005041,-0.008744
10107,373505712.70000005,MICROSOFT CORP,0.000308,-0.008529,-0.013267,-0.027731,0.009075,0.022484,-0.007958,-0.000422,0.005808,0.022992,-0.008723,-0.005901,-0.002499,0.0,-0.003363,-0.010966,-0.00661,0.021893,-0.003361,-0.012434,0.007896,-0.006564,-0.001492,-0.010459,-0.004746,-0.008886,-0.001749,0.02103,-0.003647,-0.010121,-0.010768,0.007807,0.003055,0.016315,-0.013271,0.00282,-0.006922,-0.00599,0.000329,-0.008543,-0.019664,-0.004958,0.006682,-0.001012,-0.000225,-0.002027,-0.001354,0.006329,0.002022,0.020847,0.001757,0.003069,0.019668,-0.000857,0.006435,0.007673,-0.036802,0.012517,-0.003687,-0.012843,-0.00022,0.020953,0.012746,-0.00384
11850,331185564.67999995,EXXON MOBIL CORP,0.016939,0.002926,-0.005611,-0.00474,-0.00669,0.015868,-0.016631,0.002766,-0.005286,0.004737,0.004369,-0.005724,0.001612,0.001609,0.000918,-0.007912,-0.013523,-0.002812,0.0,0.001057,-0.000822,0.000117,-0.002232,-0.008593,0.000712,0.006763,-0.003182,0.007449,-0.001408,-0.012575,-0.003571,0.011467,0.00059,0.008852,-0.003159,-0.000469,-0.001174,-0.004584,-0.008857,-0.000834,-0.012402,0.004588,-0.009976,0.009348,-0.007337,0.00412,-0.01086,-0.004514,0.007598,0.002432,0.008372,-0.004211,0.001812,-0.003618,-0.010289,-0.001223,0.001592,-0.007947,-0.014789,-0.008506,0.040626,0.008002,-0.001564,-0.045778
38703,297752724.0,WELLS FARGO & CO NEW,0.001633,0.009784,-0.000179,-0.007627,-0.002003,0.022624,-0.009634,-0.000721,0.002344,0.007914,-0.009279,0.004143,0.011659,-0.005674,-0.001248,-0.000179,-0.006071,0.007366,0.002497,-0.004448,0.00143,0.002498,0.012994,-0.01353,0.008372,-0.008656,0.010335,0.008995,0.000874,-0.002969,-0.001927,0.004212,-0.000874,0.009271,-0.011265,0.015075,-0.000345,-0.006046,-0.00643,0.004723,-0.024025,0.003211,0.011913,-0.002987,-0.005287,-0.003366,-0.017778,0.004525,0.010451,0.011769,0.008988,0.009258,0.00675,-0.003954,0.001899,-0.001723,0.009836,-0.005297,-0.007387,-0.003288,-0.003299,0.009756,0.003278,-0.004815
22111,277492112.26,JOHNSON & JOHNSON,0.009375,0.002197,-0.00847,-0.003317,0.004941,0.018162,-0.004336,-0.005543,0.000796,0.01273,0.004616,0.010948,0.005221,-0.003463,-0.004151,-0.010447,-0.005229,0.003075,0.000198,-0.009985,-0.000999,-0.0006,0.0011,-0.008592,-0.00645,-0.00639,0.002552,0.006822,0.003641,-0.008968,-0.008744,0.008924,0.003762,0.01651,-0.004982,0.002303,-0.003097,-0.00451,-0.002114,0.005246,-0.019671,-0.002252,0.010363,-0.000305,-0.002438,0.007332,-0.011626,0.006444,0.011484,0.007435,-0.004887,0.006414,0.006871,-0.010187,0.002898,-0.000299,-0.001595,0.0002,-0.010479,-0.008775,0.007529,0.00717,0.001103,0.003706
12060,263516796.9,GENERAL ELECTRIC CO,0.008493,-0.001465,-0.012835,-0.004086,0.008579,0.011834,-0.016082,0.004086,0.006659,0.00735,-0.005108,0.001467,0.001465,0.010603,0.002894,-0.001443,-0.00578,0.0,0.003997,-0.013029,0.000367,0.001833,0.007318,-0.009808,0.001101,-0.001832,0.003304,0.010977,-0.004343,-0.004362,-0.006572,0.000368,0.001837,0.012101,-0.00475,0.006608,0.004741,-0.010526,-0.00807,0.001849,-0.016611,-0.002628,0.003387,0.004501,-0.017551,0.006081,-0.021912,0.005021,0.009608,0.007613,0.007178,0.004126,0.010086,0.007396,-0.003671,-0.010685,-0.008194,-0.013894,-0.019421,0.007767,0.00578,0.00613,-0.005331,-0.000766
47896,254320792.11,JPMORGAN CHASE & CO,0.005533,0.01745,-0.004944,-0.007453,0.009074,0.015349,-0.000611,-0.001375,0.002448,0.008089,-0.002574,0.008197,0.008883,-0.007909,0.002557,-0.002701,-0.011133,0.011258,-0.004062,-0.006344,0.004561,-0.000908,0.0103,-0.005547,0.016433,-0.007861,0.004335,0.016076,0.003809,-0.00394,-0.00381,0.005589,-0.003364,0.009392,-0.010177,0.012926,0.011456,-0.010466,-0.005361,0.00437,-0.025381,0.008333,0.011068,-0.00808,-0.002814,-0.007872,-0.020509,0.010393,0.014219,0.015511,0.013952,0.002173,0.005348,-0.005032,0.000722,-0.00231,0.014182,-0.006279,-0.010482,-0.013061,0.000588,0.013079,0.001451,-0.007387
84788,250762725.8542,AMAZON COM INC,0.002584,0.000402,-0.004373,-0.004962,0.018564,0.015953,-0.001937,-0.004228,-0.009628,0.012674,-0.014528,-0.001784,-0.008301,0.005098,0.018332,-0.009267,-0.005051,0.013985,-0.011242,0.006236,0.003937,0.000162,0.012993,-0.013308,-0.008891,-0.008081,0.004675,0.012433,0.005107,-0.007044,-0.014538,0.008474,0.001287,0.027068,-0.010173,0.00315,0.022233,-0.011547,-0.001679,-0.004544,-0.018809,0.00984,0.007602,0.000732,-0.003815,0.001559,-0.016074,0.010915,0.020995,0.027192,0.021951,-0.009408,0.030985,0.015837,0.010538,-0.000205,0.000553,-0.012473,0.097972,0.003759,-0.010124,0.005646,0.014669,-0.001136
55976,231815117.02,WAL MART STORES INC,0.007047,0.007379,-0.013261,0.000128,0.004894,0.006408,-0.005476,0.011012,-0.010132,0.007165,0.006606,0.008582,-0.043669,-0.006934,0.002767,-0.003285,-0.012655,0.003872,-0.004655,-0.007616,0.006194,-0.002676,0.00483,-0.009881,-0.0147,-0.006159,-0.001928,0.006347,0.000137,-0.006992,-0.006903,0.005839,0.005252,0.003437,-0.003289,0.000687,-0.003022,-0.002618,-0.007184,0.003618,-0.009706,-0.006861,0.013393,-0.000278,0.009324,0.017372,-0.009893,-0.003832,0.004672,0.010394,-0.001218,-0.001897,0.002444,-0.00596,-0.003952,-0.004925,0.005774,-0.008885,-0.012826,-0.002794,0.010087,0.001803,-0.000969,-0.002494
21936,222045580.20000002,PFIZER INC,0.004421,0.007042,-0.005828,-0.011137,0.003586,0.013103,-0.001764,-0.0053,-0.007401,0.012228,0.001473,-0.000294,0.006769,0.002631,0.001749,-0.002328,-0.004959,0.00557,0.004082,0.009001,-0.005468,-0.002025,-0.00232,-0.00494,-0.004381,-0.003227,0.000883,0.008821,0.004372,-0.007255,-0.004969,0.0,-0.001763,0.011477,-0.005528,0.003803,0.005538,-0.007826,-0.006135,-0.00294,-0.009729,-0.001786,0.004772,-0.009498,-0.003596,0.014436,-0.008301,0.012257,0.014767,0.013388,0.007467,-0.002851,0.003431,-0.000855,0.004848,-0.002838,-0.007399,-0.002867,-0.014951,0.002335,0.029412,0.011598,-0.000839,0.009236
