permno,mkt_cap,asset_name,2021-04-01,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30
14593,2267638941.88942,APPLE INC,0.006959,0.023577,0.002462,0.01339,0.019234,0.020213,-0.013196,0.024307,-0.017853,0.018708,-0.002528,0.005069,-0.01283,0.00293,-0.011685,0.018039,0.002978,-0.00245,-0.006027,-0.000749,-0.015133,0.008215,-0.035386,0.001955,0.012803,0.005318,-0.025805,-0.00741,-0.024939,0.01792,0.019845,-0.009259,-0.011246,-0.001282,0.021012,-0.014767,0.013314,-0.001574,-0.000394,-0.012377,-0.005348,-0.002648,0.006276,-0.012154,0.019022,7.9e-05,0.006672,0.003077,-0.008023,0.009833,0.024578,-0.006438,0.003934,0.012601,-0.010092,0.014104,0.012698,-0.00209,-0.002169,-0.002249,0.012546,0.0115,0.004621
10107,2036897024.81,MICROSOFT CORP,0.027909,0.027729,-0.004858,0.00823,0.013405,0.010267,0.000235,0.010082,-0.011219,0.015298,0.004778,-0.00767,-0.001855,0.008983,-0.013086,0.015476,0.001532,0.001606,-0.028286,-0.008053,-0.001307,-0.001269,-0.01616,-0.005327,0.013227,0.010932,-0.020914,-0.003843,-0.029363,0.016862,0.021067,-0.011969,-0.008565,0.002468,0.01382,-0.005315,0.022882,0.003748,-0.000914,-0.008668,0.001484,-0.009132,-0.000404,-0.006429,0.020675,0.012042,-0.004886,0.004038,0.014393,0.002527,0.007755,-0.005887,-0.003793,0.013676,-0.005634,0.012335,0.010966,-0.000885,0.005334,-0.006262,0.013961,0.009973,-0.001842
84788,1740720914.46,AMAZON COM INC,0.021628,0.020794,-0.000902,0.017237,0.006071,0.022096,0.002132,0.006099,-0.019706,0.013828,0.006022,-0.008069,-0.011068,0.008196,-0.015758,0.009622,0.02039,0.002473,0.012018,0.003704,-0.001121,-0.02334,-0.022035,-0.012479,0.010955,-0.004464,-0.030721,0.010475,-0.022324,0.003024,0.019431,0.014735,-0.011653,-0.000148,0.004914,-0.013733,0.013084,0.004333,0.001875,-0.010735,-0.00218,-0.001371,0.004766,-0.014527,0.006028,-0.002561,0.020669,0.00522,0.020877,-0.000842,0.011067,-0.000219,0.009494,0.021665,-0.000671,-0.009447,0.014905,-0.000462,-0.015623,-0.013807,0.012474,0.001234,-0.002314
13407,830679166.11,FACEBOOK INC,0.014022,0.03432,-0.008579,0.022301,-0.000224,-0.001789,-0.002944,-0.005714,-0.022404,0.016512,-0.005328,-0.012868,0.001357,-0.003899,-0.01642,0.015547,0.006343,0.001749,0.011628,0.072973,-0.013444,-0.00769,-0.013082,-0.010491,0.015872,-0.002937,-0.041087,0.00183,-0.012984,0.008957,0.034987,-0.001519,-0.017435,0.011711,0.016008,-0.00747,0.026563,0.009734,-0.000397,0.015534,-0.012081,0.001217,6.1e-05,-0.009449,0.013219,0.018859,-0.008616,-0.010279,0.006692,-0.003609,0.016633,-5.9e-05,-0.016838,0.016401,-0.020356,0.007978,0.020284,0.004601,0.007604,-0.005274,0.041802,-0.010544,-0.011879
14542,804656564.79357,ALPHABET INC,0.033414,0.041071,-0.000359,0.011206,0.007005,0.009023,-0.013601,0.005535,-0.005482,0.018547,0.000479,0.002019,-0.003809,-0.000148,-0.011063,0.020891,0.004941,-0.008432,0.03155,0.021001,-0.008136,-0.006203,-0.017084,0.001058,0.010442,0.007282,-0.023776,-0.01405,-0.030181,0.010223,0.023957,0.002267,-0.007745,0.002292,0.020522,-0.004665,0.026255,0.000997,0.010153,-0.012747,0.003767,0.007568,-0.003511,-0.006885,0.019608,0.005845,0.006796,0.003444,0.012122,-0.003042,0.005215,-0.002525,-0.00267,0.005366,-0.006358,0.007068,0.004306,-0.004236,0.006488,-0.002255,-0.001382,-0.006316,-0.005575
90319,735076473.6416,ALPHABET INC,0.032611,0.041873,-0.004371,0.013475,0.005091,0.008994,-0.011472,0.00437,-0.005554,0.019332,-0.001094,0.003071,-0.004695,-0.00029,-0.011337,0.021048,0.004348,-0.008204,0.029708,0.014294,-0.016408,-0.004427,-0.015471,0.003442,0.009755,0.006238,-0.025588,-0.009464,-0.030753,0.013085,0.022135,0.004626,-0.011556,0.003991,0.015606,-0.005557,0.029166,0.000775,0.007381,-0.007407,-0.002467,0.010323,-0.004447,-0.009706,0.01959,0.003647,-0.001607,0.003961,0.011292,-0.002025,0.007699,-0.008379,-0.005329,0.00804,-0.013409,0.014166,0.004252,-0.001664,0.003054,6.9e-05,0.000224,-0.00215,-0.001497
93436,668826848.94003,TESLA INC,-0.009252,0.044277,0.000825,-0.029858,0.019122,-0.009915,0.036867,0.085957,-0.039472,0.009041,0.001259,-0.033997,0.006101,0.034952,-0.032831,0.013492,0.012065,-0.045327,-0.014672,-0.025058,0.047917,-0.034591,-0.016499,-0.003949,-0.011029,0.013307,-0.064444,-0.018822,-0.044248,-0.030853,0.031573,-0.021891,0.001803,-0.024936,0.041387,-0.010055,0.044002,-0.002886,0.02388,0.01893,-0.008924,-0.002111,-0.030101,-0.053345,0.045754,0.010149,-0.002545,-0.007969,0.018939,-0.000377,0.012789,-0.029675,0.009193,0.019393,0.010882,-0.003979,0.004639,0.052685,0.035411,-0.011694,0.025079,-0.011558,-0.001557
86580,498462287.53999996,NVIDIA CORP,0.034724,0.012725,-0.009008,0.020344,0.012267,0.005797,0.056181,0.030936,-0.02567,0.05631,-0.013927,-0.034611,-0.012401,0.012474,-0.033218,0.027946,0.013937,-0.006218,-0.006826,0.003142,-0.020571,-0.011509,-0.032723,0.007473,0.004461,0.019917,-0.036895,0.002839,-0.038287,-0.006778,0.042279,-0.005441,-0.010571,0.003567,0.038871,0.025954,0.041373,0.00229,0.003339,-0.013503,0.048844,0.001231,0.031587,0.011414,0.035858,0.002318,-0.009195,-0.005428,0.003845,0.02297,0.010855,-0.012778,0.001223,0.047557,-0.000992,-0.011347,0.024936,0.009028,0.007779,-0.009086,0.050129,0.002089,-0.001211
47896,470870566.84672,JPMORGAN CHASE & CO,0.009722,0.00527,-0.00703,0.015668,0.001226,0.007478,-0.002112,-0.011927,-0.01869,0.006349,0.007426,-0.00424,-0.022142,0.008508,-0.021058,0.019136,0.002464,0.004583,0.006479,0.019444,-0.008892,-0.002926,0.013824,0.013121,0.020124,0.003423,-0.000124,-0.016623,-0.006875,0.025723,0.015542,0.004024,-0.014089,-0.007638,-0.001738,0.011379,0.00541,-0.010334,-0.000124,0.015572,-0.000669,0.01102,6e-05,0.000662,0.001625,-0.004686,-0.003984,-0.012485,-0.015589,-0.000686,-0.016969,-0.015168,0.007024,-0.02886,-0.025303,0.016969,-0.001462,0.006058,0.009198,0.010098,0.001818,-0.001231,0.009083
22111,433825683.37396,JOHNSON & JOHNSON,-0.009249,0.003685,-0.000245,0.001346,-0.003912,-0.010554,0.002419,-0.013363,0.002759,0.002939,0.011534,0.002774,0.023296,0.000661,-0.008464,0.002058,-0.008458,-0.005728,-0.007354,0.013705,-0.008953,0.01524,0.015495,-0.004172,0.00401,0.004531,0.010505,-0.008164,-0.004027,0.010464,0.00153,0.000999,0.000352,-0.002171,0.005821,-0.000643,0.003802,-0.002756,-0.005938,-0.001538,0.002607,-0.021979,0.004048,-0.000963,-0.000422,-0.006808,-0.008796,0.013465,0.008998,-0.012689,0.002485,-0.005321,-0.000365,0.004805,-0.01961,0.011483,-0.001343,-0.006051,0.00455,0.005142,-0.001157,6.1e-05,0.004329
