permno,mkt_cap,asset_name,2016-12-01,2016-12-02,2016-12-05,2016-12-06,2016-12-07,2016-12-08,2016-12-09,2016-12-12,2016-12-13,2016-12-14,2016-12-15,2016-12-16,2016-12-19,2016-12-20,2016-12-21,2016-12-22,2016-12-23,2016-12-27,2016-12-28,2016-12-29,2016-12-30,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-09,2017-01-10,2017-01-11,2017-01-12,2017-01-13,2017-01-17,2017-01-18,2017-01-19,2017-01-20,2017-01-23,2017-01-24,2017-01-25,2017-01-26,2017-01-27,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-10,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-02-27,2017-02-28
14593,718723567.0654001,APPLE INC,-0.00932,0.003745,-0.007188,0.007699,0.009823,0.009817,0.016322,-0.005704,0.016681,0.0,0.005469,0.001295,0.005777,0.002658,0.000941,-0.006578,0.001978,0.006351,-0.004264,-0.000257,-0.007796,0.002849,-0.001119,0.005085,0.011148,0.009159,0.001009,0.005373,-0.004175,-0.001761,0.008065,-8.3e-05,-0.00175,0.001837,0.000667,-0.000916,0.015921,0.000492,8.2e-05,-0.002624,-0.002302,0.060981,-0.001709,0.004279,0.009374,0.009517,0.003877,0.007195,-0.002266,0.008856,0.012979,0.003629,-0.001218,0.002771,0.007221,0.002999,-0.00423,0.000952,0.001976,0.000438
10107,494407369.4,MICROSOFT CORP,-0.01759,0.000845,0.016371,-0.004484,0.023686,-0.005866,0.015735,0.003227,0.013029,-0.004763,-0.001595,-0.004474,0.021188,-0.001257,0.0,0.000157,-0.004878,0.000632,-0.004583,-0.001429,-0.012083,0.007081,-0.004474,0.0,0.008668,-0.003183,-0.000319,0.009103,-0.009179,0.001437,-0.002711,-0.00048,-0.0032,0.007063,0.003506,0.008895,0.002519,0.009265,0.023495,-0.009881,-0.00737,-0.016551,-0.006449,0.008073,-0.000628,-0.0033,-0.001419,0.011367,-0.000937,0.01125,0.003708,-0.000619,-0.000155,0.00155,-0.002012,-0.002016,0.00404,0.0,-0.006035,-0.003892
84788,403603770.0477,AMAZON COM INC,-0.00922,-0.004451,0.025691,0.007059,0.007454,-0.004011,0.001733,-0.01111,0.018708,-0.007129,-0.010171,-0.004244,0.010861,0.006815,-0.000804,-0.005528,-0.007503,0.014213,0.000946,-0.00904,-0.01997,0.005068,0.004657,0.030733,0.019912,0.001168,-0.00128,0.00392,0.018297,0.004302,-0.009081,-0.002766,0.001932,-0.000878,0.011815,0.005575,0.01712,0.003144,-0.004028,-0.006449,-0.008309,0.010771,0.009131,-0.035419,-0.00316,0.006018,0.008874,0.002013,0.007427,0.010961,-0.000167,0.007544,0.001709,0.001102,0.013455,-0.000969,-0.003997,-0.008155,0.004023,-0.004242
11850,337194518.47999996,EXXON MOBIL CORP,-0.000687,-0.002292,0.005055,0.000914,0.005825,0.002839,0.007699,0.022247,0.017586,-0.021603,0.003422,0.003191,-0.008335,0.000111,-0.001659,0.006535,-0.001761,0.000441,-0.004959,0.000554,-0.000996,0.00698,-0.011002,-0.014907,-0.000565,-0.016497,-0.012753,0.010241,-0.005414,0.000116,0.011697,-0.012363,-0.017965,0.013691,-0.010711,0.001412,0.002938,0.003047,-0.001051,-0.007601,-0.011431,-0.011324,0.006149,0.001079,-0.002753,-0.006482,-0.006524,0.004418,0.008309,0.005817,-0.002169,0.004105,-0.010342,-0.006561,0.00159,-0.011723,0.010503,-0.00856,0.005673,-0.002698
22111,331598136.87,JOHNSON & JOHNSON,0.000719,0.005207,-0.000179,0.001072,-0.008567,-0.00099,0.011443,0.027615,0.004594,-0.007766,0.007827,-8.6e-05,0.001208,-0.003103,-0.003026,0.001127,0.004504,-0.000431,-0.006988,0.003388,-0.002424,0.005468,-0.00164,0.010463,-0.004792,-0.000172,-0.001032,-0.012311,-0.000959,-0.000175,0.002356,-0.00148,-0.004359,-0.000438,-0.002102,-0.018875,0.009306,-0.008511,0.01377,-0.002205,0.001061,-0.000177,0.003003,0.000616,-0.002112,0.000705,-0.000705,0.005996,0.010168,0.005554,0.004142,0.007219,0.007509,0.006606,0.006731,-0.00117,0.01824,0.015037,-0.002689,-0.001552
47896,324262283.68,JPMORGAN CHASE & CO,0.020207,-0.002323,0.020343,0.005165,0.004541,0.01249,0.004347,-0.00889,0.000354,-0.000354,0.014989,-0.012326,0.005769,0.012876,0.002542,0.001614,0.001841,0.000919,-0.007231,-0.007052,0.004657,0.010894,0.001834,-0.009205,0.000116,0.000697,0.002901,0.007521,-0.009646,0.005334,-0.036332,0.004668,-0.007624,0.004442,0.000478,0.012066,0.015463,0.008369,0.002075,-0.010353,-0.016273,0.003781,-0.004238,0.030618,-0.004703,-0.000576,-0.008764,0.014425,-0.002294,0.013218,0.015995,0.011501,-0.000662,-0.003314,0.008645,0.000549,0.000769,-0.008779,0.001107,0.002101
13407,319219447.16832,FACEBOOK INC,-0.028036,0.002606,0.017591,-0.001022,0.005456,0.008139,0.006475,-0.015959,0.021568,-0.000831,0.002995,-0.005806,-0.005256,-0.001258,-0.00042,-0.013777,-0.001107,0.00631,-0.009237,-0.004875,-0.011173,0.015732,0.01566,0.016682,0.022707,0.012074,-0.004404,0.013993,0.004203,0.013584,-0.003662,0.000391,-0.002892,-0.003998,0.014877,0.003413,0.01631,0.009887,-0.004519,-0.009079,-0.005039,0.02233,-0.017939,0.00107,0.008246,-0.001666,0.017901,-0.000447,0.000373,-0.001043,-0.001492,-0.003063,0.002998,-0.002316,0.001423,0.017948,-0.005583,0.000591,0.007162,-0.006378
38703,290326080.0,WELLS FARGO & CO NEW,0.026833,-0.013986,0.014371,0.022079,0.031143,0.000175,-0.002618,-0.023801,0.001076,-0.020416,0.008958,0.002718,-0.002168,0.015936,-0.006952,0.000718,0.003767,-0.000179,-0.01126,-0.008677,0.004923,0.01615,0.000893,-0.015522,-0.002537,-0.014535,0.007006,0.003296,-0.005474,0.014862,-0.027662,0.009111,0.005712,0.008978,-0.01489,0.008295,0.035101,0.009891,-0.010318,-0.009012,0.004458,-0.00071,-0.002862,0.027265,-0.012572,-0.003714,-0.012602,0.019774,0.002292,0.003869,0.015767,0.009831,-0.007344,-0.000516,0.002754,0.001888,0.002228,-0.011626,0.004325,-0.0031
14542,285598721.86866,ALPHABET INC,-0.01335,0.00345,0.016016,-0.004472,0.015913,0.006782,0.016576,-2.5e-05,0.008654,0.001218,0.000979,-0.008836,0.004299,0.002795,-0.002335,-0.004153,-0.001706,0.002076,-0.008212,-0.002879,-0.014014,0.018554,0.000967,0.009048,0.015277,0.00062,-0.002306,0.003877,-0.001919,0.001885,-0.004048,0.001815,-0.004832,0.003547,0.017751,0.005566,0.014323,-0.004212,-0.010623,-0.025495,-0.006893,-0.001374,0.003563,0.003707,-0.000187,0.007026,0.001747,0.00146,0.005077,0.006846,0.001477,-0.001792,0.006325,0.004744,0.004335,-0.001082,0.000686,-0.003236,0.000772,-0.00732
12060,260085781.23,GENERAL ELECTRIC CO,0.020481,-0.001593,-0.007339,0.001929,0.013795,-0.002215,0.007929,0.002517,-0.003767,-0.007561,-0.007619,0.015675,0.005354,0.010338,-0.003721,-0.002179,0.001886,0.000627,-0.00627,0.000315,-0.003469,0.002848,0.000316,-0.005678,0.002855,-0.004745,-0.002861,0.003188,-0.002542,-0.000956,-0.00287,-0.001279,-0.00064,-0.021788,-0.025549,0.008403,0.012333,-0.001646,-0.010224,-0.001666,-0.008678,-0.000337,-0.000337,0.000674,-0.001347,-0.003372,-0.004398,0.005437,0.004393,0.010767,0.007989,0.002312,0.003295,-0.002627,0.004939,-0.006225,-0.002308,0.005663,-0.008281,-0.004342
