permno,mkt_cap,asset_name,2019-11-01,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-25,2019-11-26,2019-11-27,2019-11-29,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-23,2019-12-24,2019-12-26,2019-12-27,2019-12-30,2019-12-31,2020-01-02,2020-01-03,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31
14593,1354254858.5548,APPLE INC,0.028381,0.006567,-0.001437,0.000428,0.011507,0.002737,0.007919,-0.000915,0.009582,-0.006919,0.011879,0.005042,-0.003033,-0.011642,-0.004483,-0.000878,0.017534,-0.007809,0.013432,-0.002203,-0.011562,-0.01783,0.008826,0.014671,0.019316,-0.014,0.005844,0.008529,0.002548,0.013593,0.017118,0.001965,-0.002389,0.001001,-0.002071,0.016318,0.000951,0.01984,-0.000379,0.005935,0.007307,0.022816,-0.009722,0.007968,-0.004703,0.016086,0.021241,0.002261,0.021364,-0.013503,-0.004286,0.012527,0.011071,-0.006777,0.00357,0.004816,-0.002882,-0.029405,0.028289,0.020932,-0.001449,-0.044339
10107,1294777380.81,MICROSOFT CORP,0.002441,0.005775,-0.000623,-0.002769,0.001388,0.011784,0.001028,0.00657,0.001632,0.005091,0.0129,0.002467,0.000333,-0.001729,-0.000936,0.000736,0.010963,0.00529,0.001908,-0.006171,-0.012089,-0.001605,0.003617,0.000534,0.012139,-0.00257,-0.00152,0.003772,0.010152,0.008418,0.006471,-0.005401,-0.002069,0.008681,0.010918,0.0,-0.000191,0.008197,0.001828,-0.008619,0.000698,0.018516,-0.012452,0.002585,-0.009118,0.015928,0.012493,-0.004627,0.012024,-0.007043,0.006476,0.018323,0.005597,-0.003591,-0.004805,0.006156,-0.010077,-0.016723,0.019596,0.015593,0.028208,-0.014759
84788,999960888.2657001,AMAZON COM INC,0.008319,0.00738,-0.001635,-0.003297,-0.004216,-0.001297,-0.007968,0.003584,-0.013999,0.00085,-0.008612,0.007496,0.000148,-0.004142,-0.006199,0.006347,0.016108,0.013023,0.012004,-0.009739,-0.010662,-0.006533,-0.005237,-0.011478,0.006389,-0.001193,-0.005887,0.005468,0.006639,0.000347,0.004696,0.012124,-0.003703,0.004624,-0.003225,0.003638,-0.002114,0.044467,0.000551,-0.012253,0.000514,0.027151,-0.012139,0.014886,0.002092,-0.007809,0.004799,-0.009411,0.004323,-0.011558,-0.003969,0.00855,-0.00704,0.01463,-0.0024,-0.001526,-0.012172,-0.017888,0.013624,0.002563,0.006825,0.073791
14542,489043738.58040005,ALPHABET INC,0.010817,0.013841,0.000511,-0.000178,0.013206,0.001918,-0.009288,-0.0003,-0.000616,0.01037,0.01785,-0.010615,-0.003968,-0.009434,-0.001305,-0.004618,0.008762,0.00525,-0.000426,-0.006116,-0.011525,0.004155,0.019502,0.005748,0.009404,0.002193,0.000819,0.000268,0.003903,-0.001807,0.009897,-0.004445,-0.001845,0.002528,-0.004757,-0.000556,-0.003914,0.012534,-0.006256,-0.01165,0.000659,0.0227,-0.004907,0.024657,-0.000624,0.00788,0.011045,0.006973,0.006645,-0.005802,0.005815,0.008685,0.019763,0.002709,0.001044,0.000471,-0.013413,-0.02237,0.013014,0.004179,-0.001913,-0.014844
13407,485744174.86,FACEBOOK INC,0.010279,0.005681,-0.002054,-0.014255,-0.005899,0.002206,-0.006445,0.025632,-0.006582,-0.000207,0.010096,0.011789,0.009727,-0.009081,0.002126,0.004497,0.004879,-0.004104,0.015228,-0.001782,-0.009621,-0.004407,-0.000553,0.003271,0.008477,0.001442,-0.002334,0.00692,-0.027242,-0.013418,0.019628,0.002375,0.020717,0.01758,0.001165,-0.000582,-0.005141,0.013017,0.001492,-0.017732,0.004109,0.022071,-0.005291,0.018834,0.002164,0.010138,0.014311,-0.001099,0.017656,-0.012843,0.009541,0.002804,0.001668,-0.003151,-0.000542,-0.007049,-0.008282,-0.014087,0.01359,0.024978,-0.061372,-0.036367
90319,429683567.09685,ALPHABET INC,0.010685,0.013645,0.001419,-0.000333,0.012339,0.001576,-0.008189,-0.000824,-0.000794,0.010006,0.01863,-0.010274,-0.005493,-0.008175,-0.001321,-0.004976,0.009253,0.005637,-0.000663,-0.006127,-0.011679,0.004562,0.018691,0.006081,0.009367,0.002688,-7.4e-05,0.001013,0.003154,-0.001201,0.010268,-0.00427,-0.002199,0.003351,-0.003848,-0.000437,-0.00459,0.013418,-0.005747,-0.011021,-0.000239,0.021868,-0.005231,0.026654,-0.001932,0.007118,0.010498,0.006459,0.007747,-0.006555,0.006018,0.007615,0.020246,0.001845,0.001295,0.00035,-0.012474,-0.02349,0.01311,0.004274,-0.001682,-0.014764
47896,415145154.6,JPMORGAN CHASE & CO,0.023055,0.007981,0.002174,0.001549,0.005414,0.002923,-0.003528,-0.00585,-0.005265,0.000934,0.007232,0.008415,-0.000306,-0.007275,0.002314,0.006619,0.005352,0.001369,0.002962,-0.002272,-0.002201,-0.012855,0.019726,0.005441,0.014881,-0.004665,0.00067,-0.002379,0.028618,-0.008767,0.003874,0.006116,-0.001013,-0.004998,-0.000801,-0.000292,0.00277,0.010612,0.000719,-0.003665,0.005554,0.012123,-0.013112,-0.000795,-0.017001,0.007801,0.003651,-0.009968,0.008304,0.011662,-0.014986,0.003877,0.006922,-0.009841,-0.001169,-0.001024,-0.024828,-0.008412,0.018178,-0.001488,0.012367,-0.025977
22111,391806784.64,JOHNSON & JOHNSON,-0.006362,-0.007393,0.001459,0.004141,0.003589,0.011946,-0.007669,-0.004773,-0.000609,-0.002362,0.030391,-0.000815,-7.4e-05,0.008307,0.003678,0.011947,0.000434,-7.3e-05,0.004228,-0.001887,-0.000946,-0.001456,0.016186,0.001291,0.005876,0.000855,-0.00363,0.007072,0.002554,0.000283,0.0029,0.012483,-0.002577,0.015085,0.004885,0.002602,-0.003483,-0.000685,-0.000549,-0.003087,0.003923,0.000686,-0.011578,-0.001248,0.006107,-0.000138,0.002966,-0.00227,0.004412,0.005628,0.003344,0.008095,0.006545,0.00067,-0.006833,0.001889,-0.001414,0.002899,0.005042,0.006956,-0.001196,-0.00991
14888,353936598.88,ALIBABA GROUP HOLDING LTD,-0.001189,0.018304,0.012856,0.011868,0.013575,0.002679,-0.002404,0.001393,-0.024015,0.001754,0.014716,-0.004744,0.003467,-0.015655,0.013765,0.010386,0.019649,0.022316,0.031433,-0.004083,-0.01845,-0.007183,-0.005952,0.032311,0.00945,-0.015603,0.008604,0.020903,-0.000684,0.002005,0.010053,0.005846,0.008742,0.000619,0.010089,0.012156,-0.002653,0.009895,-0.004206,-0.011881,-0.003804,0.036162,-0.012604,-0.001659,0.00457,0.0017,0.017339,0.009243,0.02971,-0.017312,-0.006314,-0.004976,0.015585,-0.022732,0.000495,-0.01457,-0.024552,-0.038737,0.023166,0.008515,-0.016225,-0.009541
92611,339447595.28,VISA INC,0.011573,-0.010943,-0.014417,0.002268,0.009391,0.003026,0.003185,0.001114,-0.001836,0.003567,0.000111,-0.000612,0.017311,-0.006073,-0.009744,-0.002335,0.008358,0.008731,0.00997,0.000759,-0.014742,0.000605,-0.007147,0.007143,0.001539,0.004117,-0.003608,-0.001372,0.003461,0.013688,0.005941,-0.003866,-0.003342,0.00887,0.007827,-0.004894,0.002619,0.008477,0.001216,-0.008237,0.000373,0.017137,-0.007953,-0.002162,-0.002643,0.017118,0.00693,0.002691,0.008051,0.003686,0.019128,0.005756,0.018661,0.012653,0.002943,-0.006638,-0.00736,-0.016146,0.005751,0.009909,0.016353,-0.044378
