permno,mkt_cap,asset_name,2015-03-02,2015-03-03,2015-03-04,2015-03-05,2015-03-06,2015-03-09,2015-03-10,2015-03-11,2015-03-12,2015-03-13,2015-03-16,2015-03-17,2015-03-18,2015-03-19,2015-03-20,2015-03-23,2015-03-24,2015-03-25,2015-03-26,2015-03-27,2015-03-30,2015-03-31,2015-04-01,2015-04-02,2015-04-06,2015-04-07,2015-04-08,2015-04-09,2015-04-10,2015-04-13,2015-04-14,2015-04-15,2015-04-16,2015-04-17,2015-04-20,2015-04-21,2015-04-22,2015-04-23,2015-04-24,2015-04-27,2015-04-28,2015-04-29,2015-04-30,2015-05-01,2015-05-04,2015-05-05,2015-05-06,2015-05-07,2015-05-08,2015-05-11,2015-05-12,2015-05-13,2015-05-14,2015-05-15,2015-05-18,2015-05-19,2015-05-20,2015-05-21,2015-05-22,2015-05-26,2015-05-27,2015-05-28,2015-05-29
14593,750709577.84,APPLE INC,0.004904,0.002092,-0.006339,-0.016571,0.001503,0.004265,-0.020686,-0.018232,0.018079,-0.00691,0.011004,0.016727,0.011256,-0.007589,-0.01251,0.010405,-0.004088,-0.026127,0.00697,-0.007968,0.025314,-0.015352,-0.001447,0.008612,0.016199,-0.010522,-0.003254,0.007643,0.004267,-0.001967,-0.004336,0.0038,-0.004811,-0.011255,0.022846,-0.005407,0.013474,0.008164,0.004704,0.018192,-0.015756,-0.014706,-0.02713,0.030364,-0.001939,-0.022533,-0.00628,0.00616,0.018841,-0.010187,-0.003602,0.001152,0.023331,-0.001396,0.011027,-0.000922,-7.7e-05,0.010226,0.008753,-0.022031,0.018709,-0.002007,-0.011383
10107,379077484.5,MICROSOFT CORP,0.000684,-0.013674,-0.005199,0.001277,-0.017397,0.011568,-0.019137,-0.00119,-0.022868,0.008776,0.00435,0.003248,0.019307,-0.005059,0.014071,-0.000583,0.00105,-0.033567,-0.00603,-0.005824,-0.000244,-0.007446,0.001599,-0.01056,0.031149,-0.000361,-0.002649,0.001449,0.005786,0.000959,-0.002634,0.014526,-0.002248,-0.012927,0.030998,-0.006293,0.008209,0.008259,0.104522,0.003342,0.023423,-0.001933,-0.008561,0.000308,-0.008529,-0.013267,-0.027731,0.009075,0.022484,-0.007958,-0.000422,0.005808,0.022992,-0.008723,-0.005901,-0.002499,0.0,-0.003363,-0.010966,-0.00661,0.021893,-0.003361,-0.012434
11850,356230401.6,EXXON MOBIL CORP,-0.005647,-0.004771,-0.005022,-0.005047,-0.012797,-0.005489,-0.010568,-0.002848,0.00238,-0.004156,0.010612,-0.008023,0.023668,-0.019287,0.00154,0.010528,-0.010652,0.004023,-0.006363,-0.008776,0.024527,-0.007357,-0.006353,-0.001894,0.009846,0.007283,-0.019709,0.007019,0.01075,-0.002571,0.015116,0.016738,-0.003974,-0.009119,0.003566,-0.004127,0.006676,0.000915,-0.006511,0.00046,0.009079,0.000797,-0.00569,0.016939,0.002926,-0.005611,-0.00474,-0.00669,0.015868,-0.016631,0.002766,-0.005286,0.004737,0.004369,-0.005724,0.001612,0.001609,0.000918,-0.007912,-0.013523,-0.002812,0.0,0.001057
38703,288149511.8,WELLS FARGO & CO NEW,0.013871,-0.0018,-0.011362,0.000365,-0.004559,0.001465,-0.025242,0.007694,0.035196,-0.004497,0.007047,0.00323,0.00465,-0.01175,0.009007,-0.004106,-0.007709,-0.014634,-0.000733,-0.006973,0.01201,-0.006756,-0.008456,0.007972,-0.005334,-0.001109,-0.00037,0.003518,0.002399,0.004971,-0.007327,0.011441,0.0,-0.013866,0.005735,-0.001472,0.007185,0.003475,-0.002917,0.004936,0.008004,0.000902,-0.006491,0.001633,0.009784,-0.000179,-0.007627,-0.002003,0.022624,-0.009634,-0.000721,0.002344,0.007914,-0.009279,0.004143,0.011659,-0.005674,-0.001248,-0.000179,-0.006071,0.007366,0.002497,-0.004448
22111,277692726.3,JOHNSON & JOHNSON,0.006926,-0.008526,-0.006742,0.008559,-0.023508,0.005494,-0.011226,-0.012157,0.015358,-0.006211,0.018647,-0.011577,0.015717,0.002267,0.006982,0.005664,-0.009905,-0.015889,-0.001993,0.001997,0.012059,-0.009355,-0.014414,0.004942,-0.004817,0.00948,0.000599,0.011681,0.007204,-0.014795,-0.000298,0.000796,-0.008052,-0.002104,0.006327,0.000898,0.001296,0.000299,0.006172,-0.004947,0.001591,-0.003474,-0.011854,0.009375,0.002197,-0.00847,-0.003317,0.004941,0.018162,-0.004336,-0.005543,0.000796,0.01273,0.004616,0.010948,0.005221,-0.003463,-0.004151,-0.010447,-0.005229,0.003075,0.000198,-0.009985
12060,274770583.83,GENERAL ELECTRIC CO,0.004617,-0.009575,-0.007734,0.006235,-0.015492,0.008655,-0.018331,0.000795,0.008337,-0.014173,0.016374,-0.005501,0.013038,-0.012091,0.002764,0.002756,-0.007852,-0.014246,-0.004416,0.002419,0.010459,-0.012341,0.001209,0.004026,0.009623,-0.006354,-0.0004,0.028789,0.108045,-0.030866,0.003619,-0.009737,-0.006555,-0.0011,-0.00844,-0.014804,0.010894,-0.00223,-0.001862,0.002985,0.008929,-0.001106,-0.000369,0.008493,-0.001465,-0.012835,-0.004086,0.008579,0.011834,-0.016082,0.004086,0.006659,0.00735,-0.005108,0.001467,0.001465,0.010603,0.002894,-0.001443,-0.00578,0.0,0.003997,-0.013029
47896,244115302.86,JPMORGAN CHASE & CO,0.007996,0.003238,0.002582,-0.002092,-0.017903,0.010018,-0.025041,0.00467,0.018758,-0.006029,0.013934,-0.00388,0.002272,-0.008907,0.008987,-0.009879,-0.011122,-0.014059,-0.001174,0.000168,0.023678,-0.006234,-0.003797,0.009508,-0.000826,0.006284,0.003287,0.00688,0.003742,0.005997,0.015628,0.01856,-0.00623,-0.015201,0.006365,-0.014706,0.010111,-0.002224,-0.003185,-0.004153,0.006737,0.013384,-0.005346,0.005533,0.01745,-0.004944,-0.007453,0.009074,0.015349,-0.000611,-0.001375,0.002448,0.008089,-0.002574,0.008197,0.008883,-0.007909,0.002557,-0.002701,-0.011133,0.011258,-0.004062,-0.006344
55976,239558107.80999997,WAL MART STORES INC,0.000357,-0.007027,-0.009476,0.011988,-0.011727,0.003511,-0.009773,-0.010844,0.014996,0.0,0.016972,-0.008044,-0.001089,-0.012238,0.021099,0.000841,-0.003121,-0.020831,0.007009,-0.006594,0.014505,-0.003393,-0.018723,0.000248,0.003221,-0.00605,0.006584,-0.002345,-0.00235,-0.004464,-0.001744,-0.005115,-0.00627,-0.017163,0.003339,-0.001408,0.005126,0.009563,0.008335,-0.005887,-0.003402,-0.015424,0.002183,0.007047,0.007379,-0.013261,0.000128,0.004894,0.006408,-0.005476,0.011012,-0.010132,0.007165,0.006606,0.008582,-0.043669,-0.006934,0.002767,-0.003285,-0.012655,0.003872,-0.004655,-0.007616
21936,213979032.5,PFIZER INC,0.013112,-0.00604,0.002315,-0.004908,-0.014505,0.001766,-0.007346,-0.00444,0.011002,0.0,0.012941,-0.00784,0.006146,-0.00669,0.002928,0.023358,-0.015121,-0.006373,-0.004082,0.010831,0.013611,-0.006,-0.013222,0.001456,0.002909,0.00174,0.002895,0.011259,0.011704,-0.009876,-0.00171,0.005138,-0.000568,-0.004263,-0.000856,-0.003428,0.001146,0.01231,-0.002545,-0.01928,-0.00318,-0.00551,-0.010499,0.004421,0.007042,-0.005828,-0.011137,0.003586,0.013103,-0.001764,-0.0053,-0.007401,0.012228,0.001473,-0.000294,0.006769,0.002631,0.001749,-0.002328,-0.004959,0.00557,0.004082,0.009001
18163,212671756.44,PROCTER & GAMBLE CO,0.003289,-0.002927,-0.009512,0.003319,-0.023278,0.005202,-0.018654,-0.00184,0.008601,-0.003167,0.021141,-0.008497,0.010863,-0.004418,0.016311,0.001416,-0.011077,-0.010844,-0.01036,0.001948,0.004981,-0.009429,0.004638,0.001336,0.0074,-0.007828,0.004612,0.00145,0.00555,0.00096,0.002038,-0.001077,-0.00012,-0.011617,0.00412,0.002534,0.00012,-0.017777,0.000618,-0.004938,-0.002233,-0.007088,-0.004258,0.00981,0.000747,-0.003485,0.004121,-0.002488,0.009476,-0.008523,-0.003987,-0.003127,0.010916,0.005958,-0.003825,0.001115,-0.00433,-0.00087,-0.005721,-0.010131,0.003159,-0.000756,-0.011849
