asset_name,2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-21,2022-11-22,2022-11-23,2022-11-25,2022-11-28,2022-11-29,2022-11-30,2022-12-01,2022-12-02,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-30,2023-01-31
VICI PROPERTIES INC,0.021237,-0.021101,-0.000625,-0.017506,0.011772,-0.000629,-0.007867,0.03457,-0.015021,-0.014939,0.006319,-0.006279,0.005371,0.015085,0.011455,0.017141,-0.000301,0.004214,-0.003597,0.012936,0.015741,-0.009942,0.005021,-0.021452,0.007207,0.005665,-0.001482,0.007423,0.004421,0.009096,-0.005816,-0.00702,-0.017968,-0.007798,0.001209,0.00151,-0.017389,0.014281,0.001531,-0.016198,0.006834,-0.000308,-0.020062,0.006299,-0.015024,0.010486,0.00566,0.012508,0.035825,0.014311,-0.025573,0.01448,-0.027951,0.014989,0.012056,0.001787,0.009512,-0.006773,0.007412,0.004709,-0.007616,0.008855
CUMMINS INC,0.008957,-0.022092,-0.035192,0.024102,-0.007635,0.011076,-0.006188,0.01868,0.024945,0.003627,0.006584,-0.002952,-8e-05,0.00777,-0.013823,0.013855,0.002357,-0.001754,-0.019088,0.003175,0.019236,-0.007565,0.001966,-0.017618,0.001753,-0.007486,-0.001476,-0.022334,0.016713,0.002602,-0.003749,-0.024479,-0.001356,0.006749,0.001138,0.020046,-0.006358,0.00241,0.01173,-0.01143,0.001782,0.002317,-0.005159,-0.002406,-0.015554,0.030331,0.001599,0.014041,0.00989,-0.00024,0.010156,-0.013893,-0.031187,-0.024402,0.000297,0.031076,0.020546,-0.006455,0.006172,0.003673,-0.007519,0.01102
M P L X L P,0.028324,-0.012467,-0.001762,0.002059,0.009392,-0.009014,-0.02054,0.018274,-0.001765,0.01341,-0.022315,0.001522,-0.018232,0.026617,-0.01025,0.03381,-0.016794,0.007791,-0.0113,0.014737,0.00741,-0.004413,-0.000591,-0.014193,-0.020696,-0.022358,-0.005326,-0.011969,0.030284,0.014852,-0.014024,-0.006803,0.001868,-0.006837,0.0,0.012203,-0.005564,0.017097,-0.006724,-0.017539,0.013154,0.015147,-0.007917,0.007366,0.004266,0.019114,0.000595,-0.00476,0.006876,0.013361,-0.000879,0.004399,-0.008467,0.012368,0.002618,0.011604,-0.003728,0.0,0.006045,-0.002861,-0.005165,0.007211
AMERISOURCEBERGEN CORP,-0.005724,-0.00966,0.019572,0.024075,0.002289,-0.014505,-0.009207,-0.0171,-0.012839,0.011241,-0.012603,0.019767,0.020026,0.019381,-0.010494,0.027511,0.004978,0.013109,-0.00316,0.004367,0.016617,0.005507,0.013751,-0.015576,-0.011443,0.005729,0.000998,-0.030095,0.011311,-0.012979,0.001454,0.001997,0.007186,0.002578,0.000957,0.01159,-0.000295,0.004372,-0.005941,-0.009704,-0.007827,-0.002048,-0.008569,-0.008643,0.001289,0.016127,-0.004466,0.013881,-0.01118,-0.002963,-0.00376,-0.00073,-0.007371,-6.1e-05,-0.00448,-0.003021,-0.001793,0.012575,0.008871,-0.004548,0.007005,0.02208
BARRICK GOLD CORP,0.007319,-0.05284,-0.086471,0.083969,0.026056,0.07138,-0.016656,0.070358,0.000609,-0.015207,-0.011736,-0.013125,-0.013933,0.003211,-0.017286,0.042997,0.013741,-0.012939,-0.03246,0.033548,0.028355,0.047181,-0.006437,-0.027091,-0.004237,0.024924,-0.003559,-0.013095,0.009047,0.042439,-0.002867,-0.042553,0.015015,-0.02071,0.044109,0.012731,-0.011429,0.005202,0.021852,-0.031514,0.002324,-0.004058,0.037835,0.05889,-0.005297,0.013845,-0.003677,0.02214,-0.008767,0.010926,0.010808,-0.045316,-0.019733,0.018498,0.013355,0.013706,0.00988,0.019053,-0.005053,-0.001016,-0.009659,0.003593
OTIS WORLDWIDE CORP,0.012316,-0.018179,0.0,0.042871,0.007102,-0.007865,-0.007518,0.041179,0.023413,0.00517,0.012087,-0.003938,-0.009694,0.005301,0.00553,0.000767,-0.001917,0.007298,-0.029617,0.007074,0.015739,0.009476,0.011671,-0.015925,0.009047,-0.002399,0.009367,-0.016052,0.02651,0.005091,-0.008647,-0.017819,-0.002791,-0.009287,0.000642,0.014245,-0.011262,0.002815,0.001914,-0.014138,0.021576,-0.009612,0.010344,0.020854,-0.007924,0.021465,-0.004643,0.002455,0.002816,0.01221,0.004222,-0.003243,-0.014341,-0.026165,0.014564,0.006682,0.009342,-0.014006,0.001482,0.00148,-0.002956,0.015687
WASTE CONNECTIONS INC NEW,-0.007657,-0.007181,0.065713,-0.014802,0.021546,-0.000287,-0.012056,0.014092,-0.024067,-0.008147,0.009065,0.016751,0.002746,0.010305,0.002996,0.008463,0.001199,0.001338,-0.000141,-0.009356,0.026133,-0.003806,0.01042,-0.016501,-0.01489,-0.003974,0.001211,-0.004198,0.004145,0.001494,-0.001776,-0.022423,-0.020607,-0.008848,-0.004876,0.0098,-0.013512,0.009232,0.003824,-0.010607,0.007927,-0.007116,-0.006412,0.005466,-0.028845,0.032657,-0.004668,-0.007489,0.008003,-0.032212,0.020314,0.008117,-0.02613,-0.006708,0.009972,0.004354,0.003948,0.015576,-0.007365,0.00413,-0.002133,0.014504
METTLER TOLEDO INTERNATIONAL INC,0.012578,-0.032814,-0.010446,0.047835,0.011055,0.040232,-0.010903,0.084506,0.01051,-0.014737,-0.024099,-0.008721,-0.004958,0.008986,-0.006694,0.034355,0.00109,0.005807,-0.00676,-0.019224,0.04061,0.014133,-0.002838,-0.021351,-0.000392,0.005345,0.014478,-0.018324,0.02015,0.018944,-0.025287,-0.03844,0.007136,-0.021188,0.005093,0.027736,-0.003864,0.000424,0.005691,-0.011788,0.025822,-0.014764,0.01136,0.020316,-0.001381,-0.026814,0.004719,0.044253,0.021613,-0.011276,0.014041,-0.016999,0.005453,-0.013763,0.028364,0.009702,-0.026594,-0.002072,-0.005132,0.003964,-0.014604,0.016923
ALLSTATE CORP,-0.00396,-0.019165,0.005027,0.041626,-0.002323,0.011178,-0.017811,0.017586,0.014594,-0.02309,0.023171,0.002121,0.017383,-0.013892,0.011451,-0.002905,0.003586,0.007964,-0.019938,0.011377,0.003899,-0.014115,-0.008787,-0.018418,0.014559,-0.001535,-0.000615,-0.011382,0.002178,0.011566,-0.003223,0.018399,-0.008315,-0.001524,0.020536,0.007181,0.005867,0.006941,-0.002566,-0.004338,0.00731,-0.006011,0.007817,0.01683,0.002735,0.014569,-0.00962,0.008928,-0.02145,-0.008392,0.013862,-0.024826,-0.022801,-0.058824,0.008103,-0.003263,0.016129,0.010687,-0.000155,-0.005988,0.00133,0.003672
COGNIZANT TECHNOLOGY SOLS CORP,0.004498,-0.036303,-0.137736,0.012895,0.021281,-0.00986,0.015032,0.060533,0.019724,-0.00582,0.032369,-0.009173,0.005555,0.008408,-0.029515,0.017698,0.013507,0.014826,-0.01346,-0.007987,0.043442,0.006591,-0.003673,-0.031095,-0.0134,-0.004024,-0.001684,-0.016189,0.011999,0.002371,-0.016053,-0.032286,-0.01402,-0.010439,0.001091,0.01072,-0.003056,0.010097,0.008211,-0.015935,0.027888,0.00105,0.006994,0.008161,-0.00844,0.037867,0.018577,0.005751,0.004738,0.058537,-0.015975,-0.017171,-0.03129,0.00623,0.022324,0.023908,-0.004981,0.003442,0.008107,0.016239,-0.006696,0.022675
