Period,Method,Portfolio_Volatility,Sharpe_Ratio,Max_Drawdown,VaR_95,Turnover,Mean_Return,Std_Return
2023-01,Raw,0.10687217426587642,2.1727760706135504,-0.03712636287228862,-0.01026730571007004,0,0.2303290346439055,0.10600679828863589
2023-01,PCA,0.02651525892604578,0.15683272549491759,-0.02623548434215092,-0.00821561639773255,0,0.010196968562623991,0.06501811742699365
2023-01,JSE,0.04064262010352482,-0.03442237730694726,-0.04276066192008903,-0.012027732219457053,0,-0.0035181981623952064,0.10220671660830209
2023-02,Raw,0.10851833983188562,0.37399320463451496,-0.03630219516039518,-0.011616297780379488,0,0.040245491255283594,0.10761022060444574
2023-02,PCA,0.025071247582675996,-2.944097075861204,-0.053373478009112775,-0.007259230642376744,0,-0.18633544694509252,0.0632912034296919
2023-02,JSE,0.04363421367179434,2.00925220876857,-0.024311180252916113,-0.008541304117192033,0,0.18945507750502524,0.09429133718416487
2023-03,Raw,,14684446500.991014,0.0,0.014199715776633162,0,3.5783283829723174,2.436815292435015e-10
2023-03,PCA,0.032447598331436456,3.914494589989098,-0.023030014677516423,-0.007349723460850812,0,0.29374602564451097,0.07504060074466194
2023-03,JSE,0.055843495803464545,8.47776347867947,-0.02528903113047856,-0.011203234851959868,0,1.1849512173457888,0.13977167684918257
2023-04,Raw,0.10078824425350273,0.4447296603218385,-0.065690804885009,-0.00744293884079985,0,0.04445459748409902,0.09995869727224505
2023-04,PCA,0.02693681346390475,5.297042854047931,-0.01631285391283512,-0.004999533859699364,0,0.38694002903728875,0.07304831010411673
2023-04,JSE,0.04193845321103361,7.449216125990875,-0.022554346944497514,-0.008928167488668622,0,0.9002114914504266,0.12084647246433364
2023-05,Raw,0.09675797880104958,0.877537726493921,-0.06076987003987119,-0.009159108517948203,0,0.08424281526502148,0.0959990809758138
2023-05,PCA,0.02739584081721512,5.554180164167901,-0.016191442907256295,-0.005309607097809618,0,0.3823045783109034,0.06883186483169805
2023-05,JSE,0.05049077000511242,7.363006241185847,-0.016628088658361007,-0.008186835044194528,0,0.9211101898473484,0.1250997431857398
2023-06,Raw,0.07856441242005432,2.48132917360891,-0.021024900415250587,-0.006406131228094415,0,0.19336564727427114,0.07792825286176565
2023-06,PCA,0.022856193184211726,3.6716468505839823,-0.013971596627233164,-0.004833781127155186,0,0.19074401217664785,0.051950533354347427
2023-06,JSE,0.04767309182150167,2.827064967980598,-0.045016781427156934,-0.007580192905332114,0,0.3132826113092794,0.11081549764774616
2023-07,Raw,0.07689653646454704,1.2411740913757165,-0.019872984399900293,-0.007910134145353395,0,0.09468148272203877,0.07628380529365864
